"FIPS","Region","State","1969.1","1969.2","1969.3","1969.4","1970.1","1970.2","1970.3","1970.4","1971.1","1971.2","1971.3","1971.4","1972.1","1972.2","1972.3","1972.4","1973.1","1973.2","1973.3","1973.4","1974.1","1974.2","1974.3","1974.4","1975.1","1975.2","1975.3","1975.4","1976.1","1976.2","1976.3","1976.4","1977.1","1977.2","1977.3","1977.4","1978.1","1978.2","1978.3","1978.4","1979.1","1979.2","1979.3","1979.4","1980.1","1980.2","1980.3","1980.4","1981.1","1981.2","1981.3","1981.4","1982.1","1982.2","1982.3","1982.4","1983.1","1983.2","1983.3","1983.4","1984.1","1984.2","1984.3","1984.4","1985.1","1985.2","1985.3","1985.4","1986.1","1986.2","1986.3","1986.4","1987.1","1987.2","1987.3","1987.4","1988.1","1988.2","1988.3","1988.4","1989.1","1989.2","1989.3","1989.4","1990.1","1990.2","1990.3","1990.4","1991.1","1991.2","1991.3","1991.4","1992.1","1992.2","1992.3","1992.4","1993.1","1993.2","1993.3","1993.4","1994.1","1994.2","1994.3","1994.4","1995.1","1995.2","1995.3","1995.4","1996.1","1996.2","1996.3","1996.4","1997.1","1997.2","1997.3","1997.4","1998.1","1998.2","1998.3","1998.4","1999.1","1999.2","1999.3","1999.4","2000.1","2000.2","2000.3","2000.4","2001.1","2001.2","2001.3","2001.4","2002.1","2002.2","2002.3","2002.4","2003.1","2003.2","2003.3","2003.4","2004.1","2004.2","2004.3","2004.4","2005.1"
"11","2","Dist. of Columbia",3313,3350,3470,3558,3580,3777,3801,3862,3983,4112,4199,4220,4366,4434,4461,4668,4655,4684,4774,4880,4957,5155,5312,5487,5483,5635,5790,5929,5934,5975,6099,6313,6310,6509,6637,6852,6799,6894,6959,7146,7097,7234,7408,7726,7543,7653,7897,8288,8346,8445,8756,8894,9085,9280,9424,9619,9566,9721,9861,10037,10464,10695,11003,11156,11393,11431,11501,11739,11908,12052,12222,12358,12523,12659,12866,13267,13551,13831,14337,14448,14827,14959,15085,15382,15551,15888,16249,16411,16376,16531,16578,16773,16974,17209,17415,17518,17815,17782,17910,17921,17886,18254,18251,18287,18373,18126,18062,18041,18773,18748,18690,18853,19404,19622,19754,19540,20612,20541,20440,20656,21015,21127,21268,21050,23293,22517,23106,23493,25154,25488,25634,25824,25934,26255,26156,26468,26466,26913,27112,27567,28114,28446,28743,29542,29934
"12","5","Florida",23039,23658,24740,25625,26100,27241,27868,28439,29316,30385,31181,32095,33543,34380,35608,38055,38931,40608,42401,43805,44795,46029,47441,48014,48736,50082,51035,52111,53592,54700,55697,57523,58751,60813,63000,65692,67986,70082,73194,75301,78648,80635,84077,87659,92584,95183,98928,104268,108094,111143,116447,118466,118762,121368,124512,126034,131650,134340,136826,141333,145120,150095,155103,158309,162705,165859,167468,171315,175948,178634,181713,184204,188395,191606,196794,203169,206161,210117,216562,222494,232202,236205,239548,244242,249008,253826,257840,259260,260846,263650,264981,268320,271465,275489,279757,288089,286467,292505,294496,299201,298606,306621,311289,317515,324400,327584,331320,336237,343386,349631,353991,358413,364651,368410,374615,380699,392239,400106,406286,411185,415982,421050,425401,432903,447358,454869,462063,465868,472962,478190,479864,483533,486865,493343,494019,497420,502335,507533,513828,522866,532295,544073,546968,572174,577142
"13","5","Georgia",13673,14099,14611,14887,15096,15524,15594,16010,16494,17080,17421,17794,18502,18829,19527,20501,20914,21608,22292,23136,23469,23932,24588,24953,24933,25690,26309,27422,28134,28756,29480,30251,30609,31729,32849,34087,35063,36158,37343,38403,39601,40492,41811,43265,44402,45110,46500,48755,50305,51595,53450,54228,55298,56435,57373,58230,59866,61412,62796,65082,67909,70176,72532,74332,76203,77513,78851,80761,83057,84083,85709,87148,88753,89986,92161,94679,95883,98302,100507,102918,105023,106308,107534,109413,112274,114129,116091,116076,117448,119523,120844,123075,126250,128749,130804,134361,133574,137114,138280,141460,142515,147419,149726,153277,155737,157018,159507,163170,166704,171551,173988,176209,179456,180895,183828,187292,192826,196594,201105,204603,207827,209846,212534,218118,226099,228977,232442,233905,238053,240398,241314,242700,243480,245925,244804,245790,248202,249819,252447,256014,260073,263589,266200,275435,277560
"15","8","Hawaii",3204,3260,3440,3597,3698,3875,3962,4009,4110,4195,4267,4330,4436,4551,4706,4918,5026,5083,5190,5387,5596,5824,6104,6256,6275,6396,6508,6752,6824,6951,7104,7287,7395,7515,7673,8016,8119,8294,8607,8839,9216,9456,9729,10007,10662,10876,11140,11615,11781,11691,12262,12327,12155,12576,12939,13189,13977,13956,13959,14457,14747,15278,15581,15802,16065,16223,16345,16611,16877,17077,17347,17600,17876,18144,18538,18986,19492,19863,20359,20932,21725,22221,22688,23215,23750,24390,25012,25664,25629,25817,26096,26563,27390,27821,27767,28661,28618,28963,28753,28862,29102,29299,29522,29774,29865,30009,29866,29966,29887,30070,30219,30313,30765,30876,31211,31155,31631,31647,31737,32012,32079,32365,32937,33202,33825,34388,34593,34998,34756,34940,35404,35405,36000,36453,36595,36881,37399,37813,38124,38717,39543,40108,40862,42165,42263
"16","7","Idaho",2183,2279,2327,2371,2448,2497,2561,2594,2671,2730,2765,2856,2939,3032,3205,3398,3415,3558,3704,3953,4155,4195,4423,4489,4433,4521,4680,4870,5063,5140,5253,5414,5460,5558,5755,6088,6243,6511,6705,6922,6998,7099,7333,7626,7960,7861,8228,8743,8820,8941,9231,9135,9180,9312,9407,9573,10022,10086,10075,10390,10616,10878,11110,11288,11510,11556,11538,11683,11689,11754,11920,11967,12081,12240,12436,12707,12769,13149,13540,13740,14366,14542,14665,15016,15631,15846,16023,16173,16322,16566,16730,17151,17794,18182,18483,18814,19442,19936,20110,20801,20620,21309,21765,21995,22527,22635,22869,23453,23835,24496,24436,24673,24910,25122,25580,25855,26736,26991,27445,27976,28448,28691,29143,29990,30766,31170,31412,31811,32694,33132,33069,33322,33997,34477,34448,34602,34844,35091,35588,36114,36715,37558,37914,39310,39725
"17","3","Illinois",46450,47528,48570,49175,49743,50196,51361,52043,52583,54400,55108,56128,57510,58307,59354,61822,63608,65376,67059,69455,70249,71138,73768,75857,76717,78120,80149,82095,84008,85407,87474,89502,91702,94213,96396,99370,101479,104342,106996,109170,111543,113923,117860,120538,123438,122694,126474,130746,134962,137347,142123,143844,144312,147470,148904,149731,149674,151503,154181,158827,163980,168430,171985,174549,175716,177438,179029,181932,183209,186193,188521,190178,193283,195442,198921,202767,208818,209995,213471,215759,222664,224411,226163,229058,233685,237481,240088,242744,240937,244174,246631,249993,256746,261578,264746,271738,264099,270385,272114,278098,276533,284064,288585,292966,298450,299759,302217,306327,313240,318072,322447,326565,330149,334717,340228,346494,351549,358252,363349,367228,367352,371943,373052,381191,394056,397564,403785,406087,407423,406676,407531,407384,406185,411474,409271,409631,411327,415509,418853,422225,428026,433205,437389,450683,453890
"18","3","Indiana",18331,18806,19250,19438,19342,19566,19888,19916,20584,21396,21570,22080,22755,22965,23507,24585,25840,26614,27323,28418,28114,28367,29411,30009,30113,30415,31701,32614,33533,34517,35314,36285,36716,38316,39342,40494,41047,42742,43996,45305,46578,47089,48146,49309,50459,49859,51537,54021,55038,55752,57593,57567,57454,58338,58664,59337,59493,60185,61493,63323,66045,67608,68782,69671,70759,71454,71984,73155,74131,74895,75762,76725,77715,78860,80392,82418,82800,84396,85948,86730,91477,92038,92338,93511,95386,96510,98238,98720,98182,99549,100859,102852,104898,107257,108757,111202,109969,113049,113960,116734,117158,119059,121523,123372,124253,124815,125434,126572,128997,131620,133239,134557,136310,137662,139121,142084,145934,148375,150347,152688,152536,153556,154765,158510,163918,164993,166899,165331,168071,167966,167446,168042,169420,172163,172940,174216,175588,177342,179219,182996,183133,186931,188433,192924,195251
"19","4","Iowa",9763,10141,10473,10648,10789,10837,10989,11111,11151,11400,11471,11778,12201,12408,12764,13968,14220,15098,15903,16668,15915,15431,16121,16674,17264,17541,18205,18664,18646,18834,19227,19738,20480,20870,21189,22040,23530,24211,24726,25267,25602,25805,26515,26960,27577,26377,28217,29549,30666,30918,32422,32269,31629,32145,32504,33628,32712,33017,32745,34140,35914,36697,37183,37550,37910,38077,38153,38545,38822,39080,39677,39978,40250,41019,41356,42342,42380,42377,43011,41893,45427,45671,45924,46903,47428,48171,48853,48980,49057,49627,49993,50554,51995,52846,53353,54133,52575,53666,51997,54154,56546,57675,58130,59142,59326,59511,60102,61110,63786,65161,64888,65611,67571,67471,68382,69766,70074,71042,72141,73558,71722,72619,73450,75350,76681,77603,78507,78260,79192,79522,79452,79658,81058,81978,81801,82144,82021,82708,83720,85053,88311,89646,89959,94179,94784
"20","4","Kansas",7651,7790,8038,8269,8342,8511,8712,8767,9022,9318,9367,9571,9922,10176,10513,11032,11122,11489,12144,12991,12749,12643,13000,13378,13540,13883,14427,14692,15020,15216,15528,15963,16060,16394,16908,18142,17422,18322,19150,19954,20311,20983,21740,22655,23081,22874,23492,24865,25760,26344,27210,27744,28313,29060,28874,29706,29412,29852,30391,31227,32223,32949,33710,34214,34596,34945,35212,35561,35992,36219,36635,37157,37394,37931,38356,38902,39184,39909,40251,40936,41532,41916,42250,42927,44108,44695,45312,45388,45600,46102,46847,47613,48789,49590,49973,51117,50662,51725,51624,52906,52748,53998,54540,55371,55538,55802,56258,56691,58531,59374,60096,60916,62002,62772,63800,64848,66240,67515,68336,69110,68819,69563,69955,72296,72957,74464,75681,75178,77015,77440,77678,78122,77677,78640,78292,78463,79350,79574,80460,81468,82347,83584,84539,86803,87434
"21","5","Kentucky",9163,9374,9581,9657,9850,10131,10394,10540,10803,11089,11218,11418,11858,12020,12368,13072,13348,13604,14052,14601,14886,15413,16020,16362,16391,16828,17298,17959,18581,18852,19491,20064,20658,21498,21906,22747,22710,24268,24962,25572,26749,27120,28014,28861,29020,29156,30245,31440,32165,32322,34260,34437,35046,35424,35814,35622,35603,36064,36947,37906,39699,40829,41693,42334,42457,42902,43004,43532,43850,44147,44803,45170,45864,46550,47581,48690,48390,49543,50477,51246,52959,53245,53860,54869,55991,56650,57385,58075,58533,59530,60675,61902,63306,64267,64896,66213,65257,66396,67114,68395,68243,69914,70601,71835,72591,73124,73467,74376,75871,77628,78503,79275,81220,81755,82690,84079,85983,87439,88444,89538,89718,90640,91603,93886,97540,98471,99664,99707,100664,101213,101543,101966,103996,105477,105731,106512,107555,108739,109835,111640,112613,114121,114945,118376,119711
