CRUISEINFO ,,,,,,,,,,
90,COUNTRY CODE,RUSSIA,,,,,,,,
224,PROJECT,DATA ARCHAEOLOGY AND RESCUE,,,,,,,,
1037,INSTITUTE,ZOOLOGICAL INSTITUTE RUSSIAN ACADEMY OF SCIENCE,,,,,,,,
,PLATFORM,,,,,,,,,
,CRUISE,,,,,,,,,
,REFERENCE,,,,,,,,,
1037,COUNTING,ZOOLOGICAL INSTITUTE RUSSIAN ACADEMY OF SCIENCE,,,,,,,,
1037,VOUCHER,ZOOLOGICAL INSTITUTE RUSSIAN ACADEMY OF SCIENCE,,,,,,,,
,NUMBER,,,,,,,,,

STATION,5889,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,2,15,1977

HEADERS,,, , , ,,,,,
,,,,0,3,27,METRIDIA LONGA   Cop 3
,,,,0,2,54,METRIDIA LONGA   Cop 2
,,,,0,2,27,METRIDIA LONGA   Cop 1
,,,,1,1,1,MICROSETELLA NORVEGICA   Cop 
,,,,10,1,0,OICOPLEURA VANHOFFENIS
,,,,300,13,3,OITHONA SIMILIS   Female  Cop 6
,,,,5,1,1,OITHONA SIMILIS   Male  Cop 6
,,,,1400,67,27,OITHONA SIMILIS   Cop 
,,,,10,3,0,OITHONA SIMILIS   Juv 
,,,,5,100,95,ONCAEA BOREALIS   Female  Cop 6
,,,,0,13,6,ONCAEA BOREALIS   Male  Cop 6
,,,,5,20,5,ONCAEA BOREALIS   Cop 
,,,,0,0,1,POLYCHAETA Larvae
,,,,3,33,54,PSEUDOCALANUS MINUTUS   Female  Cop 6
,,,,0,7,3,PSEUDOCALANUS MINUTUS   Male  Cop 6
,,,,5,67,40,PSEUDOCALANUS MINUTUS   Cop 5,,,
,,,,50,134,190,PSEUDOCALANUS MINUTUS   Cop 4,,,
,,,,150,33,133,PSEUDOCALANUS MINUTUS   Cop 3,,,
,,,,0,0,5,PSEUDOCALANUS MINUTUS   Cop 2,,,
,,,,0,0,3,PSEUDOCALANUS MINUTUS   Cop 1,,,
,,,,0,5,3,SAGITTA ELEGANS,,,
STATION,5949,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,4,16,1977

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
