Table with row headers in column F and column headers in rows 11 through 12.,,,,,,,,,
"Census 2000 PHC-T-29.  Ranking Tables for Population of Metropolitan Statistical Areas, Micropolitan Statistical Areas, Combined Statistical Areas, New England City and Town Areas, and Combined New England City and Town Areas: 1990 and 2000
(Areas defined by the Office of Management and Budget as of June 6, 2003.)",,,,,,,,,
,,,,,,,,,
Table 13.  Population in Combined New England City and Town Areas (CNECTAs) and Their Geographic Components in Alphabetical Order and Numerical and Percent Change:  1990 and 2000,,,,,,,,,
,,,,,,,,,
"Source:  U.S. Census Bureau, Census 2000 and 1990 Census.",,,,,,,,,
"Internet Release date:  December 30, 2003",,,,,,,,,
(leading dots indicate sub-parts),,,,,,,,,
"[For information on confidentiality and nonsampling error, see www.census.gov/prod/cen2000/doc/sf1.pdf.  For information on definitions, see http://www.census.gov/population/www/estimates/aboutmetro.html]",,,,,,,,,
(x) Not applicable. ,,,,,,,,,
"CNECTA
Code","NECTA
Code","NECTA
Div.
Code","State/
County
Code","City/
Town
Code",Combined New England City and Town Area and Components,Population,,"Change
1990 to 2000",
,,,,,,"April 1, 2000","April 1, 1990",Number,Percent
775,76750,,23005,60545,"...Portland city, ME","64,249","64,358",-109,-0.2
775,76750,,23005,60685,"...Pownal town, ME","1,491","1,262",229,18.1
775,76750,,23005,61945,"...Raymond town, ME","4,299","3,311",988,29.8
775,76750,,23005,66145,"...Scarborough town, ME","16,970","12,518","4,452",35.6
775,76750,,23005,66775,"...Sebago town, ME","1,433","1,259",174,13.8
775,76750,,23005,71990,"...South Portland city, ME","23,324","23,163",161,0.7
775,76750,,23005,73670,"...Standish town, ME","9,285","7,678","1,607",20.9
775,76750,,23005,82105,"...Westbrook city, ME","16,142","16,121",21,0.1
775,76750,,23005,86025,"...Windham town, ME","14,904","13,020","1,884",14.5
775,76750,,23005,87845,"...Yarmouth town, ME","8,360","7,862",498,6.3
775,76750,,23017,,..Oxford County (pt.),"2,861","2,561",300,11.7
775,76750,,23017,33315,"...Hiram town, ME","1,423","1,260",163,12.9
775,76750,,23017,60405,"...Porter town, ME","1,438","1,301",137,10.5
775,76750,,23031,,..York County (pt.),"98,760","86,245","12,515",14.5
775,76750,,23031,00730,"...Alfred town, ME","2,497","2,238",259,11.6
775,76750,,23031,01605,"...Arundel town, ME","3,571","2,669",902,33.8
775,76750,,23031,04860,"...Biddeford city, ME","20,942","20,710",232,1.1
775,76750,,23031,09410,"...Buxton town, ME","7,452","6,494",958,14.8
775,76750,,23031,14485,"...Cornish town, ME","1,269","1,178",91,7.7
775,76750,,23031,16725,"...Dayton town, ME","1,805","1,197",608,50.8
775,76750,,23031,33665,"...Hollis town, ME","4,114","3,573",541,15.1
775,76750,,23031,36535,"...Kennebunk town, ME","10,476","8,004","2,472",30.9
775,76750,,23031,36745,"...Kennebunkport town, ME","3,720","3,356",364,10.8
775,76750,,23031,39195,"...Limerick town, ME","2,240","1,688",552,32.7
775,76750,,23031,39405,"...Limington town, ME","3,403","2,796",607,21.7
775,76750,,23031,41750,"...Lyman town, ME","3,795","3,390",405,11.9
775,76750,,23031,55085,"...Old Orchard Beach town, ME","8,856","7,789","1,067",13.7
775,76750,,23031,56870,"...Parsonsfield town, ME","1,584","1,472",112,7.6
775,76750,,23031,64675,"...Saco city, ME","16,822","15,181","1,641",10.8
775,76750,,23031,80530,"...Waterboro town, ME","6,214","4,510","1,704",37.8
775,77950,,,,".Sanford, ME Micropolitan NECTA","23,132","22,374",758,3.4
775,77950,,23031,,..York County (pt.),"23,132","22,374",758,3.4
775,77950,,23031,65760,"...Sanford town, ME","20,806","20,463",343,1.7
775,77950,,23031,67475,"...Shapleigh town, ME","2,326","1,911",415,21.7
780,,,,,"Providence-New Bedford-Fall River, RI-MA Combined New England City and Town Area","1,462,093","1,409,017","53,076",3.8
780,75550,,,,".New Bedford, MA Metropolitan NECTA","170,161","171,243","-1,082",-0.6
780,75550,,25005,,..Bristol County (pt.),"159,226","161,374","-2,148",-1.3
780,75550,,25005,00520,"...Acushnet town, MA","10,161","9,554",607,6.4
780,75550,,25005,16425,"...Dartmouth town, MA","30,666","27,244","3,422",12.6
780,75550,,25005,22130,"...Fairhaven town, MA","16,159","16,132",27,0.2
780,75550,,25005,25240,"...Freetown town, MA","8,472","8,522",-50,-0.6
780,75550,,25005,45000,"...New Bedford city, MA","93,768","99,922","-6,154",-6.2
780,75550,,25007,,..Dukes County (pt.),86,98,-12,-12.2
780,75550,,25007,26325,"...Gosnold town, MA",86,98,-12,-12.2
780,75550,,25023,,..Plymouth County (pt.),"10,849","9,771","1,078",11.0
780,75550,,25023,39450,"...Mattapoisett town, MA","6,268","5,850",418,7.1
780,75550,,25023,57600,"...Rochester town, MA","4,581","3,921",660,16.8
780,77200,,,,".Providence-Fall River-Warwick, RI-MA Metropolitan NECTA","1,291,932","1,237,774","54,158",4.4
780,77200,,25005,,"..Bristol County, MA (pt.)","233,064","224,744","8,320",3.7
780,77200,,25005,02690,"...Attleboro city, MA","42,068","38,383","3,685",9.6
780,77200,,25005,23000,"...Fall River city, MA","91,938","92,703",-765,-0.8
780,77200,,25005,46575,"...North Attleborough town, MA","27,143","25,038","2,105",8.4
780,77200,,25005,56375,"...Rehoboth town, MA","10,172","8,656","1,516",17.5
780,77200,,25005,60645,"...Seekonk town, MA","13,425","13,046",379,2.9
780,77200,,25005,62430,"...Somerset town, MA","18,234","17,655",579,3.3
780,77200,,25005,68750,"...Swansea town, MA","15,901","15,411",490,3.2
780,77200,,25005,77570,"...Westport town, MA","14,183","13,852",331,2.4
780,77200,,25021,,"..Norfolk County, MA (pt.)","22,997","21,748","1,249",5.7
780,77200,,25021,04930,"...Bellingham town, MA","15,314","14,877",437,2.9
780,77200,,25021,54100,"...Plainville town, MA","7,683","6,871",812,11.8
780,77200,,25027,,"..Worcester County, MA (pt.)","11,528","10,259","1,269",12.4
780,77200,,25027,06015,"...Blackstone town, MA","8,804","8,023",781,9.7
780,77200,,25027,41585,"...Millville town, MA","2,724","2,236",488,21.8
780,77200,,44001,,"..Bristol County, RI","50,648","48,859","1,789",3.7
780,77200,,44001,05140,"...Barrington town, RI","16,819","15,849",970,6.1
780,77200,,44001,09280,"...Bristol town, RI","22,469","21,625",844,3.9
780,77200,,44001,73760,"...Warren town, RI","11,360","11,385",-25,-0.2
780,77200,,44003,,"..Kent County, RI","167,090","161,135","5,955",3.7
780,77200,,44003,18640,"...Coventry town, RI","33,668","31,083","2,585",8.3
780,77200,,44003,22240,"...East Greenwich town, RI","12,948","11,865","1,083",9.1
780,77200,,44003,74300,"...Warwick city, RI","85,808","85,427",381,0.4
780,77200,,44003,77720,"...West Greenwich town, RI","5,085","3,492","1,593",45.6
780,77200,,44003,78440,"...West Warwick town, RI","29,581","29,268",313,1.1
780,77200,,44005,,"..Newport County, RI","85,433","87,194","-1,761",-2.0
780,77200,,44005,36820,"...Jamestown town, RI","5,622","4,999",623,12.5
780,77200,,44005,42400,"...Little Compton town, RI","3,593","3,339",254,7.6
780,77200,,44005,45460,"...Middletown town, RI","17,334","19,460","-2,126",-10.9
780,77200,,44005,49960,"...Newport city, RI","26,475","28,227","-1,752",-6.2
780,77200,,44005,57880,"...Portsmouth town, RI","17,149","16,857",292,1.7
780,77200,,44005,70880,"...Tiverton town, RI","15,260","14,312",948,6.6
780,77200,,44007,,"..Providence County, RI","621,602","596,270","25,332",4.2
780,77200,,44007,11800,"...Burrillville town, RI","15,796","16,230",-434,-2.7
780,77200,,44007,14140,"...Central Falls city, RI","18,928","17,637","1,291",7.3
780,77200,,44007,19180,"...Cranston city, RI","79,269","76,060","3,209",4.2
780,77200,,44007,20080,"...Cumberland town, RI","31,840","29,038","2,802",9.6
780,77200,,44007,22960,"...East Providence city, RI","48,688","50,380","-1,692",-3.4
780,77200,,44007,27460,"...Foster town, RI","4,274","4,316",-42,-1.0
780,77200,,44007,30340,"...Glocester town, RI","9,948","9,227",721,7.8
780,77200,,44007,37720,"...Johnston town, RI","28,195","26,542","1,653",6.2
780,77200,,44007,41500,"...Lincoln town, RI","20,898","18,045","2,853",15.8
780,77200,,44007,51760,"...North Providence town, RI","32,411","32,090",321,1.0
780,77200,,44007,52480,"...North Smithfield town, RI","10,618","10,497",121,1.2
780,77200,,44007,54640,"...Pawtucket city, RI","72,958","72,644",314,0.4
780,77200,,44007,59000,"...Providence city, RI","173,618","160,728","12,890",8.0
780,77200,,44007,64220,"...Scituate town, RI","10,324","9,796",528,5.4
780,77200,,44007,66200,"...Smithfield town, RI","20,613","19,163","1,450",7.6
780,77200,,44007,80780,"...Woonsocket city, RI","43,224","43,877",-653,-1.5
780,77200,,44009,,"..Washington County, RI (pt.)","99,570","87,565","12,005",13.7
780,77200,,44009,14500,"...Charlestown town, RI","7,859","6,478","1,381",21.3
780,77200,,44009,25300,"...Exeter town, RI","6,045","5,461",584,10.7
780,77200,,44009,35380,"...Hopkinton town, RI","7,836","6,873",963,14.0
780,77200,,44009,48340,"...Narragansett town, RI","16,361","14,985","1,376",9.2
780,77200,,44009,51580,"...North Kingstown town, RI","26,326","23,786","2,540",10.7
780,77200,,44009,61160,"...Richmond town, RI","7,222","5,351","1,871",35.0
780,77200,,44009,67460,"...South Kingstown town, RI","27,921","24,631","3,290",13.4
790,,,,,"Springfield-Amherst Center-Greenfield, MA Combined New England City and Town Area","754,519","745,950","8,569",1.1
790,70300,,,,".Amherst Center, MA Micropolitan NECTA","43,527","43,346",181,0.4
790,70300,,25011,,..Franklin County (pt.),"7,250","6,745",505,7.5
790,70300,,25011,35180,"...Leverett town, MA","1,663","1,785",-122,-6.8
790,70300,,25011,61905,"...Shutesbury town, MA","1,810","1,561",249,16.0
790,70300,,25011,68400,"...Sunderland town, MA","3,777","3,399",378,11.1
790,70300,,25015,,..Hampshire County (pt.),"36,277","36,601",-324,-0.9
790,70300,,25015,01325,"...Amherst town, MA","34,874","35,228",-354,-1.0
790,70300,,25015,52560,"...Pelham town, MA","1,403","1,373",30,2.2
790,73300,,,,".Greenfield, MA Micropolitan NECTA","42,032","41,898",134,0.3
790,73300,,25011,,..Franklin County (pt.),"42,032","41,898",134,0.3
790,73300,,25011,05560,"...Bernardston town, MA","2,155","2,048",107,5.2
790,73300,,25011,09595,"...Buckland town, MA","1,991","1,928",63,3.3
790,73300,,25011,14885,"...Colrain town, MA","1,813","1,757",56,3.2
790,73300,,25011,21780,"...Erving town, MA","1,467","1,372",95,6.9
790,73300,,25011,25730,"...Gill town, MA","1,363","1,583",-220,-13.9
790,73300,,25011,27025,"...Greenfield town, MA","18,168","18,666",-498,-2.7
790,73300,,25011,29650,"...Heath town, MA",805,716,89,12.4
790,73300,,25011,35285,"...Leyden town, MA",772,662,110,16.6
790,73300,,25011,42285,"...Montague town, MA","8,489","8,316",173,2.1
790,73300,,25011,47835,"...Northfield town, MA","2,951","2,838",113,4.0
790,73300,,25011,61135,"...Shelburne town, MA","2,058","2,012",46,2.3
790,78100,,,,".Springfield, MA-CT Metropolitan NECTA","668,960","660,706","8,254",1.2
790,78100,,09003,,"..Hartford County, CT (pt.)","80,625","79,398","1,227",1.5
790,78100,,09003,24800,"...East Windsor town, CT","9,818","10,081",-263,-2.6
790,78100,,09003,25990,"...Enfield town, CT","45,212","45,532",-320,-0.7
790,78100,,09003,74540,"...Suffield town, CT","13,552","11,427","2,125",18.6
790,78100,,09003,87070,"...Windsor Locks town, CT","12,043","12,358",-315,-2.5
790,78100,,09013,,"..Tolland County, CT (pt.)","10,417","9,108","1,309",14.4
790,78100,,09013,69220,"...Somers town, CT","10,417","9,108","1,309",14.4
790,78100,,25011,,"..Franklin County, MA (pt.)","8,123","8,108",15,0.2
790,78100,,25011,02095,"...Ashfield town, MA","1,800","1,715",85,5.0
790,78100,,25011,16670,"...Deerfield town, MA","4,750","5,018",-268,-5.3
790,78100,,25011,79110,"...Whately town, MA","1,573","1,375",198,14.4
790,78100,,25013,,"..Hampden County, MA (pt.)","453,821","454,125",-304,-0.1
790,78100,,25013,00765,"...Agawam city, MA","28,144","27,323",821,3.0
790,78100,,25013,06085,"...Blandford town, MA","1,214","1,187",27,2.3
790,78100,,25013,08470,"...Brimfield town, MA","3,339","3,001",338,11.3
790,78100,,25013,13485,"...Chester town, MA","1,308","1,280",28,2.2
790,78100,,25013,13660,"...Chicopee city, MA","54,653","56,632","-1,979",-3.5
790,78100,,25013,19645,"...East Longmeadow town, MA","14,100","13,367",733,5.5
790,78100,,25013,26675,"...Granville town, MA","1,521","1,403",118,8.4
790,78100,,25013,28075,"...Hampden town, MA","5,171","4,709",462,9.8
790,78100,,25013,30840,"...Holyoke city, MA","39,838","43,704","-3,866",-8.8
790,78100,,25013,36300,"...Longmeadow town, MA","15,633","15,467",166,1.1
790,78100,,25013,37175,"...Ludlow town, MA","21,209","18,820","2,389",12.7
790,78100,,25013,42145,"...Monson town, MA","8,359","7,776",583,7.5
790,78100,,25013,42530,"...Montgomery town, MA",654,759,-105,-13.8
790,78100,,25013,52105,"...Palmer town, MA","12,497","12,054",443,3.7
790,78100,,25013,58650,"...Russell town, MA","1,657","1,594",63,4.0
790,78100,,25013,65825,"...Southwick town, MA","8,835","7,667","1,168",15.2
790,78100,,25013,67000,"...Springfield city, MA","152,082","156,983","-4,901",-3.1
790,78100,,25013,70045,"...Tolland town, MA",426,289,137,47.4
790,78100,,25013,72390,"...Wales town, MA","1,737","1,566",171,10.9
790,78100,,25013,76030,"...Westfield city, MA","40,072","38,372","1,700",4.4
790,78100,,25013,77850,"...West Springfield town, MA","27,899","27,537",362,1.3
790,78100,,25013,79740,"...Wilbraham town, MA","13,473","12,635",838,6.6
790,78100,,25015,,"..Hampshire County, MA (pt.)","115,974","109,967","6,007",5.5
790,78100,,25015,04825,"...Belchertown town, MA","12,968","10,579","2,389",22.6
790,78100,,25015,13590,"...Chesterfield town, MA","1,201","1,048",153,14.6
790,78100,,25015,16040,"...Cummington town, MA",978,785,193,24.6
790,78100,,25015,19330,"...Easthampton city, MA","15,994","15,537",457,2.9
790,78100,,25015,26290,"...Goshen town, MA",921,830,91,11.0
790,78100,,25015,26535,"...Granby town, MA","6,132","5,565",567,10.2
790,78100,,25015,27690,"...Hadley town, MA","4,793","4,231",562,13.3
790,78100,,25015,29265,"...Hatfield town, MA","3,249","3,184",65,2.0
790,78100,,25015,31785,"...Huntington town, MA","2,174","1,987",187,9.4
790,78100,,25015,40990,"...Middlefield town, MA",542,392,150,38.3
790,78100,,25015,46330,"...Northampton city, MA","28,978","29,289",-311,-1.1
790,78100,,25015,54030,"...Plainfield town, MA",589,571,18,3.2
790,78100,,25015,62745,"...Southampton town, MA","5,387","4,478",909,20.3
790,78100,,25015,64145,"...South Hadley town, MA","17,196","16,685",511,3.1
790,78100,,25015,72880,"...Ware town, MA","9,707","9,808",-101,-1.0
790,78100,,25015,76380,"...Westhampton town, MA","1,468","1,327",141,10.6
790,78100,,25015,79915,"...Williamsburg town, MA","2,427","2,515",-88,-3.5
790,78100,,25015,82175,"...Worthington town, MA","1,270","1,156",114,9.9
