Table with row headers in column F and column headers in rows 11 through 12.,,,,,,,,,
"Census 2000 PHC-T-29.  Ranking Tables for Population of Metropolitan Statistical Areas, Micropolitan Statistical Areas, Combined Statistical Areas, New England City and Town Areas, and Combined New England City and Town Areas: 1990 and 2000
(Areas defined by the Office of Management and Budget as of June 6, 2003.)",,,,,,,,,
,,,,,,,,,
Table 13.  Population in Combined New England City and Town Areas (CNECTAs) and Their Geographic Components in Alphabetical Order and Numerical and Percent Change:  1990 and 2000,,,,,,,,,
,,,,,,,,,
"Source:  U.S. Census Bureau, Census 2000 and 1990 Census.",,,,,,,,,
"Internet Release date:  December 30, 2003",,,,,,,,,
(leading dots indicate sub-parts),,,,,,,,,
"[For information on confidentiality and nonsampling error, see www.census.gov/prod/cen2000/doc/sf1.pdf.  For information on definitions, see http://www.census.gov/population/www/estimates/aboutmetro.html]",,,,,,,,,
(x) Not applicable. ,,,,,,,,,
"CNECTA
Code","NECTA
Code","NECTA
Div.
Code","State/
County
Code","City/
Town
Code",Combined New England City and Town Area and Components,Population,,"Change
1990 to 2000",
,,,,,,"April 1, 2000","April 1, 1990",Number,Percent
740,73900,,33001,04740,"...Belmont town, NH","6,716","5,796",920,15.9
740,73900,,33001,28740,"...Gilford town, NH","6,803","5,867",936,16.0
740,73900,,33001,28980,"...Gilmanton town, NH","3,060","2,609",451,17.3
740,73900,,33001,40180,"...Laconia city, NH","16,411","15,743",668,4.2
740,73900,,33001,47140,"...Meredith town, NH","5,943","4,837","1,106",22.9
770,,,,,"Pittsfield-North Adams, MA-VT Combined New England City and Town Area","108,479","113,929","-5,450",-4.8
770,76150,,,,".North Adams, MA-VT Micropolitan NECTA","35,182","37,837","-2,655",-7.0
770,76150,,25003,,"..Berkshire County, MA (pt.)","34,276","36,949","-2,673",-7.2
770,76150,,25003,00555,"...Adams town, MA","8,809","9,445",-636,-6.7
770,76150,,25003,14010,"...Clarksburg town, MA","1,686","1,745",-59,-3.4
770,76150,,25003,24120,"...Florida town, MA",676,742,-66,-8.9
770,76150,,25003,46225,"...North Adams city, MA","14,681","16,797","-2,116",-12.6
770,76150,,25003,79985,"...Williamstown town, MA","8,424","8,220",204,2.5
770,76150,,25011,,"..Franklin County, MA (pt.)",93,115,-22,-19.1
770,76150,,25011,42040,"...Monroe town, MA",93,115,-22,-19.1
770,76150,,50003,,"..Bennington County, VT (pt.)",813,773,40,5.2
770,76150,,50003,69775,"...Stamford town, VT",813,773,40,5.2
770,76600,,,,".Pittsfield, MA Metropolitan NECTA","73,297","76,092","-2,795",-3.7
770,76600,,25003,,..Berkshire County (pt.),"73,297","76,092","-2,795",-3.7
770,76600,,25003,04545,"...Becket town, MA","1,755","1,481",274,18.5
770,76600,,25003,13345,"...Cheshire town, MA","3,401","3,479",-78,-2.2
770,76600,,25003,16180,"...Dalton town, MA","6,892","7,155",-263,-3.7
770,76600,,25003,28180,"...Hancock town, MA",721,628,93,14.8
770,76600,,25003,30315,"...Hinsdale town, MA","1,872","1,959",-87,-4.4
770,76600,,25003,34340,"...Lanesborough town, MA","2,990","3,032",-42,-1.4
770,76600,,25003,34970,"...Lenox town, MA","5,077","5,069",8,0.2
770,76600,,25003,44385,"...New Ashford town, MA",247,192,55,28.6
770,76600,,25003,53050,"...Peru town, MA",821,779,42,5.4
770,76600,,25003,53960,"...Pittsfield city, MA","45,793","48,622","-2,829",-5.8
770,76600,,25003,56795,"...Richmond town, MA","1,604","1,677",-73,-4.4
770,76600,,25003,60225,"...Savoy town, MA",705,634,71,11.2
770,76600,,25003,73335,"...Washington town, MA",544,615,-71,-11.5
770,76600,,25003,80685,"...Windsor town, MA",875,770,105,13.6
775,,,,,"Portland-South Portland-Sanford, ME Combined New England City and Town Area","356,756","322,139","34,617",10.7
775,76750,,,,".Portland-South Portland, ME Metropolitan NECTA","333,624","299,765","33,859",11.3
775,76750,,23005,,..Cumberland County (pt.),"232,003","210,959","21,044",10.0
775,76750,,23005,02655,"...Baldwin town, ME","1,290","1,219",71,5.8
775,76750,,23005,10180,"...Cape Elizabeth town, ME","9,068","8,854",214,2.4
775,76750,,23005,11125,"...Casco town, ME","3,469","3,018",451,14.9
775,76750,,23005,15430,"...Cumberland town, ME","7,159","5,836","1,323",22.7
775,76750,,23005,24495,"...Falmouth town, ME","10,310","7,610","2,700",35.5
775,76750,,23005,26525,"...Freeport town, ME","7,800","6,905",895,13.0
775,76750,,23005,27025,"...Frye Island town, ME",0,(x),(x),(x)
775,76750,,23005,28240,"...Gorham town, ME","14,141","11,856","2,285",19.3
775,76750,,23005,28870,"...Gray town, ME","6,820","5,904",916,15.5
775,76750,,23005,41067,"...Long Island town, ME",202,(x),(x),(x)
775,76750,,23005,48085,"...Naples town, ME","3,274","2,860",414,14.5
775,76750,,23005,48820,"...New Gloucester town, ME","4,803","3,916",887,22.7
775,76750,,23005,53860,"...North Yarmouth town, ME","3,210","2,429",781,32.2
