"Location","ST","CO","Median Value (Dollars) for Specified Owner-Occupied Housing Units","Disabilities- White Alone Males","Disabilities- White Alone Females","Disabilities- Black Alone Males","Disabilities- Black Alone Females","Disabilities- American Indian and Alaska Native Alone Males","Disabilities- American Indian and Alaska Native Alone Females","Disabilities- Asian Alone Males","Disabilities -PCT68D- Asian Alone Females","Disabilities- Native Hawaiian or Pacific Islander Alone Males","Disabilities- Native Hawaiian or Pacific Islander Alone Females","Disabilities- Some Other Race Males","Disabilities- Some Other Race Females","Disabilities- Two or More Races Males","Disabilities- Two or More Races Females","Disabilities- Hispanic Males","Disabilities- Hispanic Females","Disabilities- White Alone, Not Hispanic Males","Disabilities- White Alone, Not Hispanic Females","Per Capita Income 2001","Per Capita Income 2002","Per Capita Income 2003","75% of 3 Year Average Per Capita Income","Unemployment Rate, 2002","Unemployment Rate, 2003","Unemployment Rate, 2004"
"Location","ST","CO","EWP001","EWP03","EWP02A2","EWP02A3","EWP02A4","EWP02A5","EWP02A6","EWP02A7","EWP02A8","EWP02A9","EWP02A10","EWP02A11","EWP02A12","EWP02A13","EWP02A14","EWP02A15","EWP02A16","EWP02A17","EWP02A18","EWP02A19","EWP02A20","EWP02A21","EWP02A22","EWP02A23","EWP02A24","EWP02A25","EWP02A26","EWP02A27","EWP031","EWP04","EWP05","EWP052","EWP06","EWP07","EWP08"
"Letcher County","21","133","39500","17445     ","4279      ","3827      ","87        ","17        ","22        ","26        ","2         ","16        ","2         ","0         ","2         ","0         ","0         ","0         ","0         ","0         ","0         ","68        ","12        ","13        ","60        ","15        ","14        ","17393     ","4266      ","3813      ","18976","19211","19367","14388     ","     8.4","    10.3","     7.1"
"Lewis County","21","135","44700","8231      ","2128      ","1747      ","65        ","11        ","11        ","70        ","27        ","4         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","45        ","15        ","19        ","17        ","0         ","11        ","8214      ","2128      ","1736      ","14190","14788","15328","11076     ","     7.8","     8.0","     8.1"
"Lincoln County","21","137","65100","11692     ","2944      ","2940      ","373       ","92        ","134       ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","11        ","11        ","0         ","170       ","35        ","22        ","22        ","11        ","11        ","11681     ","2944      ","2929      ","18154","18476","18690","13830     ","     6.9","     7.7","     6.8"
"Livingston County","21","139","58200","3782      ","1056      ","893       ","0         ","0         ","0         ","6         ","0         ","6         ","0         ","0         ","0         ","0         ","0         ","0         ","2         ","2         ","0         ","46        ","4         ","8         ","18        ","2         ","8         ","3766      ","1056      ","885       ","21911","22676","23607","17048     ","     6.6","     7.0","     6.0"
"Logan County","21","141","67100","9501      ","2355      ","2681      ","828       ","222       ","235       ","30        ","0         ","8         ","2         ","0         ","2         ","0         ","0         ","0         ","10        ","5         ","0         ","98        ","17        ","41        ","40        ","19        ","16        ","9473      ","2341      ","2667      ","20922","20692","21616","15807     ","     6.7","     6.3","     5.4"
"Lyon County","21","143","80700","3341      ","1043      ","947       ","58        ","16        ","22        ","2         ","0         ","2         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","18        ","6         ","0         ","25        ","11        ","0         ","3316      ","1032      ","947       ","19573","20430","20825","15207     ","     6.6","     8.3","     6.7"
"Madison County","21","151","93500","23426     ","6215      ","6422      ","1567      ","323       ","434       ","237       ","60        ","55        ","63        ","11        ","44        ","0         ","0         ","0         ","121       ","30        ","22        ","382       ","102       ","89        ","357       ","104       ","73        ","23210     ","6152      ","6382      ","20279","21082","21726","15771     ","     5.1","     5.1","     4.7"
"Magoffin County","21","153","55600","7906      ","1992      ","1874      ","7         ","7         ","0         ","21        ","7         ","0         ","8         ","0         ","8         ","0         ","0         ","0         ","6         ","3         ","0         ","0         ","0         ","0         ","13        ","10        ","0         ","7906      ","1992      ","1874      ","17332","17432","17255","13004     ","    11.5","    12.1","    12.6"
"Marion County","21","155","70300","7332      ","1907      ","1819      ","646       ","179       ","180       ","0         ","0         ","0         ","7         ","0         ","7         ","0         ","0         ","0         ","0         ","0         ","0         ","55        ","15        ","16        ","16        ","8         ","8         ","7324      ","1907      ","1811      ","20195","21121","22624","15984     ","     5.1","     5.7","     4.9"
"Marshall County","21","157","82800","11368     ","3163      ","3255      ","0         ","0         ","0         ","83        ","10        ","19        ","25        ","0         ","10        ","0         ","0         ","0         ","5         ","5         ","0         ","146       ","42        ","40        ","54        ","30        ","9         ","11319     ","3138      ","3246      ","24024","24470","24971","18366     ","     7.4","     7.5","     6.4"
"Martin County","21","159","62100","10310     ","2312      ","2023      ","0         ","0         ","0         ","26        ","4         ","11        ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","119       ","16        ","34        ","56        ","13        ","12        ","10254     ","2299      ","2011      ","16739","17241","18571","13137     ","     7.3","     8.5","     7.4"
"Mason County","21","161","71900","6297      ","1828      ","1642      ","342       ","98        ","148       ","27        ","7         ","6         ","0         ","0         ","0         ","0         ","0         ","0         ","15        ","9         ","6         ","73        ","16        ","19        ","100       ","32        ","19        ","6217      ","1810      ","1629      ","22346","22985","23932","17315     ","     5.2","     5.9","     5.5"
"McCracken County","21","145","84300","21850     ","5658      ","5987      ","3290      ","741       ","972       ","242       ","30        ","53        ","44        ","17        ","7         ","0         ","0         ","0         ","56        ","35        ","3         ","424       ","110       ","75        ","174       ","97        ","33        ","21788     ","5616      ","5973      ","28257","29681","30316","22063     ","     6.0","     6.4","     5.3"
"McCreary County","21","147","46300","11513     ","2766      ","2662      ","80        ","32        ","5         ","44        ","26        ","0         ","22        ","0         ","11        ","0         ","0         ","0         ","0         ","0         ","0         ","82        ","12        ","22        ","66        ","12        ","23        ","11447     ","2754      ","2639      ","14537","14812","15085","11108     ","     9.6","     9.8","     7.7"
"McLean County","21","149","58200","4414      ","1245      ","1106      ","34        ","7         ","10        ","4         ","2         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","71        ","5         ","29        ","42        ","7         ","26        ","4372      ","1238      ","1080      ","28328","24000","25374","19425     ","     6.4","     7.7","     6.3"
"Meade County","21","163","85500","7985      ","2178      ","2181      ","273       ","62        ","86        ","110       ","40        ","21        ","30        ","3         ","24        ","4         ","4         ","0         ","54        ","14        ","7         ","149       ","37        ","22        ","93        ","27        ","22        ","7952      ","2169      ","2168      ","22137","21126","22085","16336     ","     5.8","     6.2","     5.7"
"Menifee County","21","165","54500","3534      ","963       ","832       ","32        ","16        ","0         ","3         ","0         ","3         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","76        ","23        ","13        ","48        ","13        ","5         ","3502      ","958       ","827       ","14659","15186","15821","11416     ","     8.2","     9.3","     6.9"
"Mercer County","21","167","83800","7377      ","2173      ","2061      ","241       ","69        ","88        ","8         ","4         ","0         ","13        ","5         ","8         ","0         ","0         ","0         ","12        ","6         ","0         ","212       ","24        ","70        ","66        ","24        ","2         ","7323      ","2155      ","2059      ","22361","22708","23269","17084     ","     5.5","     6.2","     5.0"
"Metcalfe County","21","169","52600","5074      ","1192      ","1212      ","93        ","24        ","15        ","101       ","37        ","2         ","0         ","0         ","0         ","0         ","0         ","0         ","29        ","0         ","14        ","110       ","18        ","35        ","52        ","0         ","24        ","5051      ","1192      ","1202      ","17060","17730","18496","13321     ","     5.1","     5.4","     4.3"
"Monroe County","21","171","57600","6692      ","1562      ","1538      ","277       ","23        ","59        ","16        ","8         ","0         ","12        ","0         ","12        ","0         ","0         ","0         ","12        ","6         ","0         ","10        ","0         ","6         ","12        ","6         ","0         ","6692      ","1562      ","1538      ","18287","18623","19173","14020     ","     6.6","     7.2","     5.1"
"Montgomery County","21","173","82100","9441      ","2500      ","2505      ","403       ","67        ","129       ","62        ","6         ","15        ","3         ","1         ","0         ","0         ","0         ","0         ","13        ","2         ","7         ","112       ","32        ","17        ","81        ","21        ","12        ","9373      ","2481      ","2500      ","20618","21466","22115","16049     ","     6.5","     6.5","     6.2"
"Morgan County","21","175","55400","7128      ","1755      ","1597      ","15        ","0         ","5         ","14        ","0         ","7         ","2         ","0         ","2         ","4         ","2         ","0         ","0         ","0         ","0         ","54        ","10        ","4         ","22        ","11        ","0         ","7106      ","1744      ","1597      ","14661","15016","15339","11253     ","     9.1","     9.6","     8.4"
"Muhlenberg County","21","177","58200","14207     ","3667      ","3568      ","470       ","101       ","148       ","11        ","11        ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","16        ","8         ","0         ","123       ","24        ","26        ","53        ","26        ","15        ","14183     ","3658      ","3557      ","19876","20096","20658","15157     ","     8.0","     8.1","     7.3"
"Nelson County","21","179","87100","11713     ","3478      ","3159      ","754       ","196       ","241       ","103       ","34        ","22        ","33        ","6         ","16        ","0         ","0         ","0         ","18        ","9         ","0         ","164       ","48        ","13        ","71        ","17        ","30        ","11675     ","3475      ","3134      ","25151","25795","26906","19462     ","     5.9","     6.0","     5.0"
"Nicholas County","21","181","62000","3156      ","755       ","797       ","30        ","5         ","13        ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","20        ","0         ","10        ","0         ","0         ","0         ","3156      ","755       ","797       ","20497","20534","21213","15561     ","     6.9","     6.6","     6.0"
"Ohio County","21","183","56600","10219     ","2961      ","2524      ","117       ","40        ","33        ","93        ","4         ","23        ","0         ","0         ","0         ","0         ","0         ","0         ","37        ","26        ","7         ","114       ","24        ","25        ","45        ","31        ","10        ","10211     ","2956      ","2521      ","19070","19203","19956","14556     ","     7.0","     7.6","     6.0"
"Oldham County","21","185","158600","8443      ","2410      ","2409      ","137       ","51        ","43        ","63        ","11        ","17        ","7         ","0         ","5         ","0         ","0         ","0         ","47        ","29        ","2         ","239       ","23        ","106       ","94        ","66        ","6         ","8399      ","2377      ","2404      ","32186","32803","33460","24612     ","     3.9","     4.2","     3.7"
"Owen County","21","187","72800","4215      ","1356      ","1082      ","67        ","32        ","15        ","3         ","0         ","2         ","0         ","0         ","0         ","0         ","0         ","0         ","5         ","5         ","0         ","46        ","4         ","26        ","75        ","30        ","18        ","4145      ","1331      ","1064      ","17948","18375","18804","13781     ","     4.6","     4.9","     4.8"
"Owsley County","21","189","40800","3754      ","849       ","807       ","0         ","0         ","0         ","15        ","9         ","6         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","20        ","0         ","5         ","19        ","6         ","7         ","3735      ","843       ","800       ","17406","17304","17620","13082     ","     6.7","     8.7","     7.2"
"Pendleton County","21","191","77700","5702      ","1626      ","1372      ","11        ","11        ","0         ","2         ","0         ","2         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","71        ","5         ","16        ","3         ","0         ","1         ","5699      ","1626      ","1371      ","20050","20516","20801","15341     ","     5.0","     6.1","     4.7"
"Perry County","21","193","52500","18568     ","4334      ","4105      ","114       ","54        ","32        ","9         ","0         ","9         ","0         ","0         ","0         ","0         ","0         ","0         ","24        ","6         ","0         ","221       ","40        ","71        ","90        ","11        ","38        ","18496     ","4323      ","4085      ","20134","20826","21062","15505     ","     8.0","     9.1","     7.6"
"Pike County","21","195","65900","48991     ","11187     ","9625      ","251       ","35        ","52        ","70        ","26        ","3         ","52        ","16        ","10        ","0         ","0         ","0         ","3         ","3         ","0         ","336       ","66        ","77        ","161       ","41        ","32        ","48847     ","11156     ","9593      ","20595","21088","21141","15705     ","     6.9","     8.1","     6.5"
"Powell County","21","197","63000","7537      ","1992      ","1892      ","36        ","12        ","0         ","15        ","3         ","12        ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","83        ","24        ","11        ","14        ","0         ","7         ","7523      ","1992      ","1885      ","17289","18089","18627","13500     ","     7.1","     9.2","     8.0"
"Pulaski County","21","199","74100","28479     ","7285      ","7715      ","214       ","42        ","101       ","39        ","12        ","27        ","38        ","3         ","27        ","24        ","0         ","8         ","8         ","0         ","8         ","284       ","58        ","58        ","119       ","33        ","30        ","28362     ","7252      ","7687      ","21204","22086","22637","16481     ","     7.1","     6.8","     5.1"
"Robertson County","21","201","58500","891       ","266       ","196       ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","17        ","2         ","7         ","3         ","0         ","3         ","888       ","266       ","193       ","17547","16758","17286","12897     ","     4.9","     5.7","     5.4"
"Rockcastle County","21","203","57000","8614      ","2273      ","2015      ","5         ","5         ","0         ","37        ","3         ","25        ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","95        ","0         ","29        ","79        ","28        ","22        ","8535      ","2245      ","1993      ","15962","16558","17143","12415     ","     5.8","     5.7","     5.4"
"Rowan County","21","205","80000","8973      ","2190      ","2198      ","46        ","27        ","12        ","89        ","20        ","20        ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","85        ","29        ","25        ","51        ","23        ","20        ","8922      ","2167      ","2178      ","17957","19260","20041","14314     ","     5.6","     5.2","     4.6"
"Russell County","21","207","62000","9542      ","2161      ","2348      ","23        ","8         ","8         ","25        ","25        ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","7         ","0         ","7         ","53        ","4         ","11        ","47        ","30        ","8         ","9520      ","2156      ","2340      ","18113","18683","19201","13998     ","     7.6","     7.4","     5.7"
"Scott County","21","209","107900","9174      ","2378      ","2674      ","531       ","149       ","184       ","29        ","0         ","21        ","18        ","0         ","9         ","0         ","0         ","0         ","68        ","25        ","18        ","290       ","77        ","64        ","81        ","25        ","31        ","9162      ","2378      ","2662      ","27900","27736","28651","21071     ","     4.7","     5.2","     4.2"
"Shelby County","21","211","114600","8393      ","2177      ","2376      ","826       ","190       ","306       ","10        ","0         ","5         ","34        ","10        ","14        ","0         ","0         ","0         ","68        ","26        ","7         ","201       ","61        ","32        ","199       ","52        ","91        ","8291      ","2163      ","2301      ","27678","27749","28342","20942     ","     4.7","     5.1","     4.2"
"Simpson County","21","213","81400","5213      ","1445      ","1350      ","622       ","149       ","227       ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","64        ","12        ","20        ","0         ","0         ","0         ","5213      ","1445      ","1350      ","22205","22450","24146","17199     ","     5.8","     5.6","     4.6"
"Spencer County","21","215","122400","3691      ","1011      ","1056      ","105       ","19        ","23        ","5         ","0         ","5         ","1         ","0         ","1         ","0         ","0         ","0         ","23        ","13        ","10        ","84        ","5         ","49        ","55        ","18        ","13        ","3671      ","1006      ","1056      ","21709","20984","21130","15955     ","     3.9","     4.2","     4.2"
"Taylor County","21","217","70700","10769     ","2769      ","2653      ","690       ","134       ","203       ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","46        ","39        ","7         ","28        ","12        ","10        ","93        ","69        ","13        ","10728     ","2739      ","2653      ","19496","20192","20974","15165     ","     5.2","     5.7","     4.9"
"Todd County","21","219","58300","4482      ","1083      ","1249      ","533       ","101       ","176       ","53        ","2         ","19        ","3         ","0         ","3         ","0         ","0         ","0         ","15        ","6         ","9         ","81        ","19        ","14        ","24        ","15        ","9         ","4473      ","1074      ","1249      ","19872","19285","20870","15006     ","     5.1","     4.5","     4.3"
"Trigg County","21","221","74300","5060      ","1394      ","1449      ","617       ","112       ","163       ","4         ","0         ","4         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","116       ","22        ","40        ","20        ","17        ","3         ","5051      ","1385      ","1449      ","24066","24995","26473","18883     ","     6.7","     6.1","     5.0"
"Trimble County","21","223","82500","3133      ","876       ","861       ","0         ","0         ","0         ","12        ","0         ","6         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","37        ","15        ","9         ","23        ","3         ","5         ","3110      ","873       ","856       ","16517","16181","16505","12300     ","     4.8","     5.5","     5.1"
"Union County","21","225","59400","5475      ","1424      ","1447      ","911       ","300       ","204       ","40        ","15        ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","27        ","20        ","0         ","118       ","34        ","27        ","113       ","56        ","18        ","5448      ","1413      ","1439      ","22742","22558","23839","17284     ","     5.1","     6.1","     4.9"
"Warren County","21","227","100400","26154     ","6796      ","7085      ","3092      ","715       ","905       ","595       ","117       ","127       ","322       ","115       ","109       ","12        ","4         ","8         ","158       ","62        ","57        ","272       ","85        ","57        ","425       ","173       ","118       ","25896     ","6694      ","7024      ","24128","25148","26331","18901     ","     5.0","     5.4","     4.3"
"Washington County","21","229","72000","4018      ","1035      ","983       ","306       ","73        ","120       ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","5         ","4         ","0         ","17        ","0         ","15        ","54        ","18        ","7         ","3969      ","1021      ","976       ","20157","20741","21708","15651     ","     5.8","     5.7","     5.1"
"Wayne County","21","231","55400","12372     ","3112      ","3065      ","204       ","85        ","43        ","74        ","24        ","29        ","0         ","0         ","0         ","0         ","0         ","0         ","179       ","72        ","55        ","133       ","21        ","32        ","327       ","97        ","95        ","12292     ","3101      ","3040      ","16602","17030","17748","12844     ","     6.5","     6.7","     5.3"
"Webster County","21","233","45800","5851      ","1728      ","1436      ","250       ","102       ","55        ","0         ","0         ","0         ","6         ","0         ","2         ","0         ","0         ","0         ","12        ","2         ","4         ","60        ","6         ","20        ","131       ","64        ","45        ","5739      ","1670      ","1398      ","25576","24398","26485","19114     ","     5.1","     6.7","     4.3"
"Whitley County","21","235","62100","21378     ","4943      ","4942      ","25        ","7         ","7         ","89        ","19        ","18        ","40        ","16        ","15        ","14        ","0         ","7         ","41        ","20        ","21        ","204       ","28        ","59        ","127       ","49        ","49        ","21331     ","4914      ","4930      ","18837","19151","19372","14340     ","     7.0","     7.3","     5.5"
"Wolfe County","21","237","45300","4820      ","1174      ","1112      ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","5         ","0         ","5         ","0         ","0         ","0         ","5         ","0         ","5         ","4820      ","1174      ","1112      ","15990","16209","16523","12180     ","     8.4","     9.9","     9.4"
"Woodford County","21","239","117100","7037      ","1878      ","1997      ","573       ","149       ","135       ","10        ","7         ","3         ","35        ","10        ","15        ","0         ","0         ","0         ","34        ","14        ","6         ","179       ","53        ","41        ","220       ","123       ","10        ","6865      ","1783      ","1993      ","33262","32972","33830","25015     ","     4.0","     4.0","     3.6"

Median Value (Dollars) for Specified Owner-Occupied Housing Units: sf 3 SF30060 H076001
			
Disabilities- White Alone Males: sf 3 SF30037 PCT068A002
			
Disabilities- White Alone Females: sf 3 SF30037 PCT068A026
			
Disabilities- Black Alone Males: sf 3 SF30037 PCT068B002
			
Disabilities- Black Alone Females: sf 3 SF30037 PCT068B026
			
through
			
Disabilities- White Alone Not Hispanic Males: sf 3 SF30039 PCT068I002
			
Disabilities- White Alone Not Hispanic Females: sf 3 SF30039 PCT068I026
			
Per Capita Income 2001: bea PerCapitIncome2001.Income2001
			
Per Capita Income 2002: bea PerCapitIncome2002.Income2002
			
Per Capita Income 2003: bea PerCapitIncome2003.Income2003
			
75% of 3 Year Average Per Capita Income: calculated
			
Unemployment Rate 2002: bls
			
Unemployment Rate 2003: bls
			
Unemployment Rate 2004: bls
			
Purpose of data: Help with demographic needs of Emergency Watershed Protection Program including 'limited resource area' determinations and Damage Survey Reports.
		
