"Location","ST","CO","Median Value (Dollars) for Specified Owner-Occupied Housing Units","Disabilities- White Alone Males","Disabilities- White Alone Females","Disabilities- Black Alone Males","Disabilities- Black Alone Females","Disabilities- American Indian and Alaska Native Alone Males","Disabilities- American Indian and Alaska Native Alone Females","Disabilities- Asian Alone Males","Disabilities -PCT68D- Asian Alone Females","Disabilities- Native Hawaiian or Pacific Islander Alone Males","Disabilities- Native Hawaiian or Pacific Islander Alone Females","Disabilities- Some Other Race Males","Disabilities- Some Other Race Females","Disabilities- Two or More Races Males","Disabilities- Two or More Races Females","Disabilities- Hispanic Males","Disabilities- Hispanic Females","Disabilities- White Alone, Not Hispanic Males","Disabilities- White Alone, Not Hispanic Females","Per Capita Income 2001","Per Capita Income 2002","Per Capita Income 2003","75% of 3 Year Average Per Capita Income","Unemployment Rate, 2002","Unemployment Rate, 2003","Unemployment Rate, 2004"
"Location","ST","CO","EWP001","EWP03","EWP02A2","EWP02A3","EWP02A4","EWP02A5","EWP02A6","EWP02A7","EWP02A8","EWP02A9","EWP02A10","EWP02A11","EWP02A12","EWP02A13","EWP02A14","EWP02A15","EWP02A16","EWP02A17","EWP02A18","EWP02A19","EWP02A20","EWP02A21","EWP02A22","EWP02A23","EWP02A24","EWP02A25","EWP02A26","EWP02A27","EWP031","EWP04","EWP05","EWP052","EWP06","EWP07","EWP08"
"Butler County","21","031","59900","5468      ","1368      ","1407      ","3         ","3         ","0         ","0         ","0         ","0         ","38        ","6         ","19        ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","5468      ","1368      ","1407      ","18590","18325","18476","13847     ","     8.1","     9.7","     6.8"
"Caldwell County","21","033","53600","5324      ","1438      ","1403      ","419       ","95        ","105       ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","12        ","0         ","6         ","6         ","0         ","6         ","56        ","13        ","6         ","5280      ","1425      ","1403      ","21655","21992","22960","16651     ","     5.1","     5.9","     4.8"
"Calloway County","21","035","83100","12038     ","3250      ","3268      ","231       ","55        ","84        ","22        ","18        ","4         ","103       ","33        ","34        ","0         ","0         ","0         ","0         ","0         ","0         ","244       ","45        ","91        ","149       ","48        ","45        ","12016     ","3239      ","3268      ","23468","23067","23729","17565     ","     6.9","     7.5","     4.9"
"Campbell County","21","037","101000","28027     ","7296      ","7933      ","546       ","183       ","133       ","100       ","18        ","28        ","115       ","36        ","33        ","0         ","0         ","0         ","21        ","0         ","7         ","377       ","69        ","112       ","233       ","61        ","52        ","27825     ","7240      ","7888      ","27119","28424","29450","21248     ","     4.4","     5.1","     4.7"
"Carlisle County","21","039","49400","2115      ","582       ","575       ","22        ","6         ","4         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","15        ","9         ","0         ","4         ","1         ","1         ","2111      ","581       ","574       ","22902","21613","23255","16942     ","     6.6","     7.9","     7.0"
"Carroll County","21","041","79900","4069      ","957       ","1075      ","111       ","45        ","20        ","29        ","0         ","29        ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","120       ","40        ","12        ","56        ","37        ","0         ","4013      ","920       ","1075      ","22636","23639","24786","17765     ","     7.3","     6.9","     5.2"
"Carter County","21","043","57100","12572     ","3077      ","2778      ","27        ","13        ","0         ","12        ","0         ","4         ","17        ","17        ","0         ","0         ","0         ","0         ","5         ","0         ","5         ","90        ","26        ","16        ","66        ","6         ","17        ","12511     ","3071      ","2766      ","17077","17574","18359","13252     ","     9.2","     9.0","     8.2"
"Casey County","21","045","49500","8482      ","2217      ","1964      ","19        ","6         ","7         ","69        ","13        ","7         ","10        ","0         ","10        ","0         ","0         ","0         ","0         ","0         ","0         ","77        ","13        ","24        ","31        ","10        ","7         ","8472      ","2207      ","1964      ","17718","17876","18050","13410     ","     6.6","     6.7","     5.8"
"Christian County","21","047","72500","16852     ","4578      ","4788      ","5635      ","1340      ","1848      ","154       ","19        ","52        ","5         ","0         ","5         ","70        ","16        ","38        ","101       ","12        ","36        ","405       ","114       ","141       ","293       ","99        ","66        ","16769     ","4523      ","4778      ","21517","22933","24464","17228     ","     6.3","     7.2","     6.2"
"Clark County","21","049","93700","12434     ","3240      ","3375      ","961       ","250       ","303       ","18        ","0         ","9         ","7         ","0         ","7         ","0         ","0         ","0         ","38        ","32        ","0         ","89        ","53        ","18        ","52        ","37        ","9         ","12420     ","3235      ","3366      ","25992","26959","27682","20157     ","     5.6","     5.7","     4.9"
