"Location","ST","CO","Total Males""Total Females""White - All Males""White - All Females""White - Not Hispanic Males""White - Not Hispanic Females""White - Hispanic Males""White - Hispanic Females""Black or African American - All Males""Black or African American - All Females""Black or African American - Not Hispanic Males""Black or African American - Not Hispanic Females""Black or African American - Hispanic Males""Black or African American - Hispanic Females""American Indian and Alaska Native - All Males""American Indian and Alaska Native - All Females""American Indian and Alaska Native - Not Hispanic Males""American Indian and Alaska Native - Not Hispanic Females""American Indian and Alaska Native - Hispanic Males""American Indian and Alaska Native - Hispanic Females""Asian - All Males""Asian - All Females""Asian - Not Hispanic Males""Asian - Not Hispanic Females""Asian - Hispanic Males""Asian - Hispanic Females""Native Hawaiian and Other Pacific Islander - All Males""Native Hawaiian and Other Pacific Islander - All Females""Native Hawaiian and Other Pacific Islander - Not Hispanic Males""Native Hawaiian and Other Pacific Islander - Not Hispanic Females""Native Hawaiian and Other Pacific Islander - Hispanic Males""Native Hawaiian and Other Pacific Islander - Hispanic Females""Some Other Race - All Males""Some Other Race - All Females""Some Other Race - Not Hispanic Males""Some Other Race - Not Hispanic Females""Some Other Race - Hispanic Males""Some Other Race - Hispanic Females""Two or More Races - All Males""Two or More Races - All Females""Two or More Races - Not Hispanic Males""Two or More Races - Not Hispanic Females""Two or More Races - Hispanic Males""Two or More Races - Hispanic Females"
"Location","ST","CO","EWPPCT012002","EWPPCT012106","EWP01","EWP112","EWP113","EWP114","White","EWP116","EWP117","EWP118","EWP119","EWP1110","Black","EWP1112","EWP1113","EWP1114","EWP1115","EWP1116","AI_AL","EWP1118","EWP1119","EWP1120","EWP1121","EWP1122","Asian","EWP1124","EWP1125","EWP1126","EWP1127","EWP1128","PI_Ma","PI_Fe","EWP1131","EWP1132","EWP1133","EWP1134","Other","EWP1136","EWP1137","EWP1138","EWP1139","EWP1140","TwoPl","EWP1142"
"Humphreys County","47","085","8819","9110","8434      ","8691      ","8397      ","8633      ","37        ","58        ","255       ","272       ","252       ","270       ","3         ","2         ","21        ","27        ","18        ","25        ","3         ","2         ","19        ","27        ","19        ","27        ","0         ","0         ","1         ","1         ","1         ","1         ","0         ","0         ","14        ","15        ","1         ","1         ","13        ","14        ","75        ","77        ","68        ","68        ","7         ","9         "
"Jackson County","47","087","5430","5554","5344      ","5490      ","5307      ","5456      ","37        ","34        ","12        ","4         ","12        ","4         ","0         ","0         ","19        ","18        ","19        ","18        ","0         ","0         ","2         ","5         ","2         ","5         ","0         ","0         ","2         ","1         ","0         ","1         ","2         ","0         ","8         ","5         ","0         ","0         ","8         ","5         ","43        ","31        ","42        ","29        ","1         ","2         "
"Jefferson County","47","089","21872","22422","20865     ","21505     ","20714     ","21388     ","151       ","117       ","534       ","493       ","528       ","488       ","6         ","5         ","79        ","59        ","67        ","52        ","12        ","7         ","48        ","70        ","48        ","70        ","0         ","0         ","10        ","8         ","5         ","4         ","5         ","4         ","172       ","108       ","12        ","16        ","160       ","92        ","164       ","179       ","148       ","166       ","16        ","13        "
"Johnson County","47","091","9344","8155","8851      ","8018      ","8788      ","7973      ","63        ","45        ","386       ","38        ","382       ","38        ","4         ","0         ","34        ","26        ","33        ","26        ","1         ","0         ","7         ","14        ","7         ","14        ","0         ","0         ","3         ","1         ","2         ","1         ","1         ","0         ","24        ","16        ","5         ","5         ","19        ","11        ","39        ","42        ","36        ","39        ","3         ","3         "
"Knox County","47","093","184577","197455","162976    ","173595    ","161625    ","172368    ","1351      ","1227      ","15300     ","17687     ","15210     ","17578     ","90        ","109       ","517       ","490       ","486       ","460       ","31        ","30        ","2452      ","2485      ","2436      ","2473      ","16        ","12        ","55        ","56        ","43        ","51        ","12        ","5         ","1047      ","855       ","204       ","224       ","843       ","631       ","2230      ","2287      ","2002      ","2069      ","228       ","218       "
"Lake County","47","095","4785","3169","2822      ","2478      ","2809      ","2459      ","13        ","19        ","1834      ","647       ","1820      ","644       ","14        ","3         ","29        ","2         ","28        ","2         ","1         ","0         ","7         ","4         ","7         ","4         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","33        ","16        ","1         ","0         ","32        ","16        ","60        ","22        ","53        ","18        ","7         ","4         "
"Lauderdale County","47","097","14076","13025","8696      ","8599      ","8625      ","8562      ","71        ","37        ","5059      ","4177      ","5033      ","4159      ","26        ","18        ","86        ","83        ","82        ","83        ","4         ","0         ","24        ","19        ","24        ","18        ","0         ","1         ","4         ","1         ","2         ","1         ","2         ","0         ","93        ","49        ","10        ","9         ","83        ","40        ","114       ","97        ","94        ","85        ","20        ","12        "
"Lawrence County","47","099","19380","20546","18737     ","19923     ","18609     ","19822     ","128       ","101       ","303       ","284       ","303       ","283       ","0         ","1         ","73        ","55        ","70        ","55        ","3         ","0         ","32        ","64        ","31        ","64        ","1         ","0         ","2         ","7         ","2         ","7         ","0         ","0         ","93        ","63        ","3         ","8         ","90        ","55        ","140       ","150       ","134       ","136       ","6         ","14        "
"Lewis County","47","101","5594","5773","5420      ","5614      ","5368      ","5572      ","52        ","42        ","87        ","78        ","86        ","78        ","1         ","0         ","13        ","10        ","13        ","10        ","0         ","0         ","8         ","13        ","8         ","13        ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","23        ","10        ","3         ","2         ","20        ","8         ","43        ","48        ","37        ","41        ","6         ","7         "
"Lincoln County","47","103","15177","16163","13757     ","14532     ","13657     ","14432     ","100       ","100       ","1038      ","1266      ","1034      ","1259      ","4         ","7         ","78        ","77        ","77        ","77        ","1         ","0         ","37        ","63        ","36        ","62        ","1         ","1         ","4         ","6         ","4         ","6         ","0         ","0         ","74        ","34        ","10        ","5         ","64        ","29        ","189       ","185       ","186       ","174       ","3         ","11        "
"Loudon County","47","105","19054","20032","18191     ","19291     ","18046     ","19164     ","145       ","127       ","216       ","231       ","211       ","229       ","5         ","2         ","57        ","69        ","56        ","58        ","1         ","11        ","31        ","53        ","30        ","53        ","1         ","0         ","4         ","2         ","3         ","2         ","1         ","0         ","364       ","194       ","4         ","9         ","360       ","185       ","191       ","192       ","156       ","171       ","35        ","21        "
"Macon County","47","111","10061","10325","9798      ","10151     ","9707      ","10077     ","91        ","74        ","28        ","16        ","21        ","15        ","7         ","1         ","40        ","45        ","32        ","45        ","8         ","0         ","17        ","31        ","17        ","28        ","0         ","3         ","8         ","6         ","8         ","5         ","0         ","1         ","118       ","39        ","3         ","1         ","115       ","38        ","52        ","37        ","47        ","31        ","5         ","6         "
"Madison County","47","113","44035","47802","29095     ","30782     ","28633     ","30520     ","462       ","262       ","13799     ","16011     ","13729     ","15928     ","70        ","83        ","68        ","82        ","63        ","74        ","5         ","8         ","263       ","315       ","250       ","309       ","13        ","6         ","9         ","4         ","9         ","4         ","0         ","0         ","401       ","215       ","34        ","22        ","367       ","193       ","400       ","393       ","339       ","351       ","61        ","42        "
"Marion County","47","115","13594","14182","12851     ","13350     ","12790     ","13299     ","61        ","51        ","526       ","623       ","522       ","622       ","4         ","1         ","35        ","37        ","35        ","37        ","0         ","0         ","23        ","35        ","23        ","34        ","0         ","1         ","0         ","3         ","0         ","3         ","0         ","0         ","55        ","21        ","5         ","2         ","50        ","19        ","104       ","113       ","95        ","107       ","9         ","6         "
"Marshall County","47","117","13069","13698","11704     ","12231     ","11489     ","12106     ","215       ","125       ","972       ","1109      ","970       ","1106      ","2         ","3         ","31        ","35        ","29        ","33        ","2         ","2         ","35        ","49        ","33        ","49        ","2         ","0         ","2         ","2         ","0         ","1         ","2         ","1         ","230       ","162       ","9         ","3         ","221       ","159       ","95        ","110       ","77        ","95        ","18        ","15        "
"Maury County","47","119","33782","35716","27976     ","29286     ","27423     ","28904     ","553       ","382       ","4537      ","5367      ","4490      ","5331      ","47        ","36        ","100       ","114       ","84        ","97        ","16        ","17        ","108       ","124       ","106       ","124       ","2         ","0         ","7         ","7         ","6         ","6         ","1         ","1         ","603       ","400       ","46        ","28        ","557       ","372       ","451       ","418       ","276       ","313       ","175       ","105       "
"McMinn County","47","107","23667","25348","21891     ","23554     ","21669     ","23361     ","222       ","193       ","1072      ","1123      ","1064      ","1108      ","8         ","15        ","65        ","68        ","57        ","64        ","8         ","4         ","166       ","178       ","164       ","176       ","2         ","2         ","6         ","6         ","1         ","3         ","5         ","3         ","218       ","149       ","3         ","8         ","215       ","141       ","249       ","270       ","213       ","240       ","36        ","30        "
"McNairy County","47","109","11958","12695","11026     ","11708     ","10938     ","11638     ","88        ","70        ","741       ","796       ","739       ","793       ","2         ","3         ","26        ","24        ","24        ","23        ","2         ","1         ","12        ","20        ","12        ","20        ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","29        ","30        ","0         ","5         ","29        ","25        ","124       ","117       ","121       ","111       ","3         ","6         "
"Meigs County","47","121","5544","5542","5419      ","5407      ","5402      ","5386      ","17        ","21        ","73        ","65        ","72        ","65        ","1         ","0         ","9         ","14        ","9         ","11        ","0         ","3         ","4         ","16        ","4         ","16        ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","7         ","5         ","1         ","0         ","6         ","5         ","32        ","35        ","28        ","29        ","4         ","6         "
"Monroe County","47","123","19201","19760","18174     ","18788     ","18014     ","18663     ","160       ","125       ","425       ","459       ","421       ","452       ","4         ","7         ","73        ","69        ","67        ","69        ","6         ","0         ","59        ","81        ","54        ","76        ","5         ","5         ","2         ","4         ","0         ","0         ","2         ","4         ","213       ","122       ","11        ","6         ","202       ","116       ","255       ","237       ","233       ","211       ","22        ","26        "
"Montgomery County","47","125","67775","66993","50119     ","48492     ","48430     ","47085     ","1689      ","1407      ","12858     ","12990     ","12662     ","12834     ","196       ","156       ","373       ","336       ","326       ","298       ","47        ","38        ","832       ","1623      ","806       ","1604      ","26        ","19        ","156       ","131       ","150       ","123       ","6         ","8         ","1561      ","1378      ","191       ","151       ","1370      ","1227      ","1876      ","2043      ","1499      ","1649      ","377       ","394       "
"Moore County","47","127","2843","2897","2718      ","2783      ","2712      ","2776      ","6         ","7         ","75        ","81        ","75        ","80        ","0         ","1         ","6         ","5         ","6         ","5         ","0         ","0         ","4         ","4         ","4         ","4         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","21        ","8         ","2         ","1         ","19        ","7         ","19        ","16        ","14        ","16        ","5         ","0         "
"Morgan County","47","129","10538","9219","10023     ","9086      ","9975      ","9041      ","48        ","45        ","429       ","11        ","429       ","11        ","0         ","0         ","15        ","25        ","15        ","25        ","0         ","0         ","4         ","19        ","4         ","19        ","0         ","0         ","1         ","0         ","1         ","0         ","0         ","0         ","13        ","14        ","5         ","7         ","8         ","7         ","53        ","64        ","48        ","57        ","5         ","7         "
"Obion County","47","131","15670","16780","13828     ","14779     ","13664     ","14671     ","164       ","108       ","1468      ","1728      ","1460      ","1714      ","8         ","14        ","21        ","23        ","18        ","21        ","3         ","2         ","23        ","38        ","22        ","36        ","1         ","2         ","12        ","3         ","4         ","3         ","8         ","0         ","198       ","98        ","6         ","12        ","192       ","86        ","120       ","111       ","100       ","103       ","20        ","8         "
"Overton County","47","133","9866","10252","9714      ","10120     ","9667      ","10085     ","47        ","35        ","33        ","23        ","31        ","23        ","2         ","0         ","26        ","30        ","23        ","28        ","3         ","2         ","10        ","9         ","8         ","9         ","2         ","0         ","7         ","3         ","5         ","3         ","2         ","0         ","27        ","18        ","1         ","0         ","26        ","18        ","49        ","49        ","49        ","48        ","0         ","1         "
"Perry County","47","135","3797","3834","3663      ","3705      ","3648      ","3685      ","15        ","20        ","66        ","64        ","66        ","64        ","0         ","0         ","18        ","8         ","18        ","8         ","0         ","0         ","2         ","5         ","2         ","5         ","0         ","0         ","7         ","4         ","1         ","3         ","6         ","1         ","12        ","13        ","5         ","2         ","7         ","11        ","29        ","35        ","28        ","35        ","1         ","0         "
"Pickett County","47","137","2432","2513","2412      ","2491      ","2393      ","2477      ","19        ","14        ","2         ","3         ","2         ","3         ","0         ","0         ","4         ","4         ","4         ","4         ","0         ","0         ","0         ","2         ","0         ","2         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","5         ","0         ","0         ","0         ","5         ","0         ","9         ","13        ","6         ","13        ","3         ","0         "
"Polk County","47","139","7955","8095","7824      ","7961      ","7775      ","7914      ","49        ","47        ","14        ","8         ","14        ","8         ","0         ","0         ","21        ","23        ","18        ","21        ","3         ","2         ","7         ","12        ","7         ","12        ","0         ","0         ","1         ","2         ","1         ","2         ","0         ","0         ","7         ","8         ","0         ","2         ","7         ","6         ","81        ","81        ","80        ","79        ","1         ","2         "
"Putnam County","47","141","30913","31402","28985     ","29918     ","28520     ","29568     ","465       ","350       ","599       ","465       ","578       ","461       ","21        ","4         ","70        ","57        ","63        ","54        ","7         ","3         ","319       ","262       ","315       ","259       ","4         ","3         ","34        ","22        ","29        ","19        ","5         ","3         ","617       ","379       ","13        ","19        ","604       ","360       ","289       ","299       ","255       ","271       ","34        ","28        "
"Rhea County","47","143","13785","14615","13129     ","13968     ","13011     ","13869     ","118       ","99        ","274       ","306       ","268       ","296       ","6         ","10        ","57        ","54        ","57        ","50        ","0         ","4         ","28        ","55        ","28        ","55        ","0         ","0         ","8         ","2         ","6         ","2         ","2         ","0         ","149       ","64        ","7         ","7         ","142       ","57        ","140       ","166       ","119       ","151       ","21        ","15        "
"Roane County","47","145","25150","26760","23977     ","25463     ","23867     ","25332     ","110       ","131       ","644       ","765       ","643       ","762       ","1         ","3         ","63        ","49        ","62        ","48        ","1         ","1         ","104       ","106       ","103       ","104       ","1         ","2         ","7         ","8         ","7         ","8         ","0         ","0         ","49        ","38        ","9         ","11        ","40        ","27        ","306       ","331       ","284       ","311       ","22        ","20        "
"Robertson County","47","147","27051","27382","24205     ","24313     ","23597     ","24047     ","608       ","266       ","2163      ","2528      ","2129      ","2502      ","34        ","26        ","79        ","75        ","58        ","66        ","21        ","9         ","75        ","94        ","75        ","94        ","0         ","0         ","6         ","6         ","2         ","5         ","4         ","1         ","305       ","146       ","13        ","26        ","292       ","120       ","218       ","220       ","182       ","190       ","36        ","30        "
"Rutherford County","47","149","90585","91438","77597     ","78453     ","76312     ","77450     ","1285      ","1003      ","8324      ","8988      ","8258      ","8939      ","66        ","49        ","254       ","268       ","226       ","244       ","28        ","24        ","1706      ","1761      ","1699      ","1744      ","7         ","17        ","41        ","33        ","38        ","30        ","3         ","3         ","1533      ","875       ","77        ","70        ","1456      ","805       ","1130      ","1060      ","948       ","923       ","182       ","137       "
"Scott County","47","151","10423","10704","10269     ","10548     ","10216     ","10505     ","53        ","43        ","11        ","8         ","11        ","8         ","0         ","0         ","20        ","32        ","20        ","32        ","0         ","0         ","10        ","15        ","10        ","15        ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","11        ","11        ","4         ","0         ","7         ","11        ","102       ","90        ","98        ","88        ","4         ","2         "
"Sequatchie County","47","153","5635","5735","5559      ","5659      ","5515      ","5628      ","44        ","31        ","11        ","11        ","8         ","11        ","3         ","0         ","22        ","16        ","22        ","16        ","0         ","0         ","6         ","9         ","6         ","9         ","0         ","0         ","1         ","2         ","1         ","1         ","0         ","1         ","11        ","8         ","3         ","3         ","8         ","5         ","25        ","30        ","24        ","30        ","1         ","0         "
"Sevier County","47","155","34839","36331","33834     ","35396     ","33558     ","35141     ","276       ","255       ","215       ","181       ","213       ","178       ","2         ","3         ","113       ","116       ","109       ","109       ","4         ","7         ","191       ","203       ","186       ","197       ","5         ","6         ","6         ","8         ","5         ","8         ","1         ","0         ","173       ","126       ","13        ","11        ","160       ","115       ","307       ","301       ","285       ","273       ","22        ","28        "
"Shelby County","47","157","428645","468827","207249    ","217585    ","201186    ","213702    ","6063      ","3883      ","201569    ","234255    ","200747    ","233454    ","822       ","801       ","958       ","831       ","797       ","741       ","161       ","90        ","7191      ","7503      ","7111      ","7441      ","80        ","62        ","181       ","153       ","126       ","122       ","55        ","31        ","6805      ","3997      ","424       ","522       ","6381      ","3475      ","4692      ","4503      ","3891      ","3844      ","801       ","659       "
"Smith County","47","159","8720","8992","8316      ","8584      ","8262      ","8547      ","54        ","37        ","206       ","242       ","205       ","242       ","1         ","0         ","33        ","32        ","31        ","30        ","2         ","2         ","14        ","16        ","14        ","16        ","0         ","0         ","1         ","0         ","1         ","0         ","0         ","0         ","68        ","36        ","7         ","6         ","61        ","30        ","82        ","82        ","75        ","76        ","7         ","6         "
"Stewart County","47","161","6158","6212","5888      ","5897      ","5848      ","5853      ","40        ","44        ","89        ","70        ","86        ","69        ","3         ","1         ","38        ","37        ","38        ","35        ","0         ","2         ","61        ","119       ","61        ","119       ","0         ","0         ","2         ","4         ","2         ","4         ","0         ","0         ","14        ","15        ","6         ","6         ","8         ","9         ","66        ","70        ","58        ","61        ","8         ","9         "
"Sullivan County","47","163","73860","79188","71202     ","76569     ","70825     ","76211     ","377       ","358       ","1470      ","1418      ","1461      ","1407      ","9         ","11        ","167       ","167       ","157       ","165       ","10        ","2         ","310       ","342       ","306       ","338       ","4         ","4         ","12        ","9         ","10        ","9         ","2         ","0         ","175       ","144       ","44        ","48        ","131       ","96        ","524       ","539       ","490       ","487       ","34        ","52        "
"Sumner County","47","165","63876","66573","58510     ","60834     ","57923     ","60298     ","587       ","536       ","3518      ","4022      ","3489      ","3999      ","29        ","23        ","195       ","178       ","176       ","166       ","19        ","12        ","396       ","460       ","393       ","456       ","3         ","4         ","16        ","22        ","14        ","18        ","2         ","4         ","628       ","419       ","70        ","64        ","558       ","355       ","613       ","638       ","527       ","565       ","86        ","73        "
"Tipton County","47","167","25250","26021","19862     ","20058     ","19702     ","19901     ","160       ","157       ","4794      ","5408      ","4770      ","5388      ","24        ","20        ","112       ","85        ","108       ","80        ","4         ","5         ","67        ","123       ","67        ","122       ","0         ","1         ","18        ","13        ","15        ","8         ","3         ","5         ","118       ","79        ","12        ","9         ","106       ","70        ","279       ","255       ","240       ","227       ","39        ","28        "
"Trousdale County","47","169","3573","3686","3087      ","3197      ","3071      ","3178      ","16        ","19        ","403       ","421       ","403       ","421       ","0         ","0         ","6         ","11        ","6         ","11        ","0         ","0         ","4         ","4         ","4         ","4         ","0         ","0         ","2         ","0         ","1         ","0         ","1         ","0         ","44        ","28        ","0         ","2         ","44        ","26        ","27        ","25        ","25        ","23        ","2         ","2         "
"Unicoi County","47","171","8613","9054","8423      ","8884      ","8335      ","8826      ","88        ","58        ","9         ","3         ","7         ","3         ","2         ","0         ","25        ","19        ","19        ","14        ","6         ","5         ","4         ","11        ","4         ","10        ","0         ","1         ","2         ","3         ","2         ","2         ","0         ","1         ","99        ","68        ","0         ","4         ","99        ","64        ","51        ","66        ","44        ","55        ","7         ","11        "
"Union County","47","173","8850","8958","8709      ","8825      ","8656      ","8770      ","53        ","55        ","13        ","5         ","13        ","5         ","0         ","0         ","23        ","18        ","23        ","18        ","0         ","0         ","11        ","18        ","10        ","15        ","1         ","3         ","3         ","0         ","3         ","0         ","0         ","0         ","17        ","13        ","4         ","1         ","13        ","12        ","74        ","79        ","72        ","78        ","2         ","1         "
"Van Buren County","47","175","2744","2764","2717      ","2737      ","2706      ","2731      ","11        ","6         ","4         ","3         ","4         ","3         ","0         ","0         ","5         ","5         ","5         ","5         ","0         ","0         ","0         ","4         ","0         ","4         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","2         ","3         ","1         ","3         ","1         ","0         ","16        ","12        ","16        ","12        ","0         ","0         "
"Warren County","47","177","18801","19475","16918     ","18165     ","16675     ","18013     ","243       ","152       ","579       ","632       ","569       ","627       ","10        ","5         ","37        ","42        ","33        ","39        ","4         ","3         ","71        ","89        ","71        ","88        ","0         ","1         ","13        ","5         ","3         ","5         ","10        ","0         ","1006      ","358       ","3         ","3         ","1003      ","355       ","177       ","184       ","123       ","139       ","54        ","45        "
"Washington County","47","179","52177","55021","48728     ","51738     ","48244     ","51334     ","484       ","404       ","2090      ","2001      ","2074      ","1984      ","16        ","17        ","142       ","110       ","133       ","105       ","9         ","5         ","391       ","391       ","387       ","387       ","4         ","4         ","7         ","13        ","7         ","13        ","0         ","0         ","309       ","236       ","50        ","38        ","259       ","198       ","510       ","532       ","469       ","491       ","41        ","41        "
"Wayne County","47","181","9244","7598","8028      ","7454      ","7972      ","7411      ","56        ","43        ","1091      ","54        ","1091      ","52        ","0         ","2         ","18        ","15        ","17        ","15        ","1         ","0         ","19        ","23        ","19        ","23        ","0         ","0         ","1         ","1         ","0         ","1         ","1         ","0         ","24        ","8         ","3         ","0         ","21        ","8         ","63        ","43        ","57        ","39        ","6         ","4         "
"Weakley County","47","183","16924","17971","15315     ","16186     ","15213     ","16105     ","102       ","81        ","1099      ","1325      ","1093      ","1316      ","6         ","9         ","21        ","31        ","21        ","28        ","0         ","3         ","234       ","228       ","234       ","227       ","0         ","1         ","1         ","1         ","1         ","1         ","0         ","0         ","105       ","77        ","4         ","9         ","101       ","68        ","149       ","123       ","134       ","107       ","15        ","16        "
"White County","47","185","11326","11776","10918     ","11405     ","10853     ","11343     ","65        ","62        ","193       ","185       ","192       ","185       ","1         ","0         ","27        ","19        ","27        ","18        ","0         ","1         ","23        ","31        ","23        ","29        ","0         ","2         ","6         ","6         ","6         ","6         ","0         ","0         ","65        ","41        ","8         ","8         ","57        ","33        ","94        ","89        ","84        ","81        ","10        ","8         "
"Williamson County","47","187","62358","64280","57092     ","58849     ","56156     ","58021     ","936       ","828       ","3121      ","3443      ","3107      ","3436      ","14        ","7         ","130       ","118       ","116       ","99        ","14        ","19        ","755       ","828       ","746       ","825       ","9         ","3         ","11        ","21        ","9         ","20        ","2         ","1         ","741       ","485       ","24        ","43        ","717       ","442       ","508       ","536       ","402       ","437       ","106       ","99        "
"Wilson County","47","189","43830","44979","40137     ","41124     ","39815     ","40823     ","322       ","301       ","2694      ","2869      ","2687      ","2858      ","7         ","11        ","146       ","142       ","138       ","138       ","8         ","4         ","184       ","242       ","179       ","240       ","5         ","2         ","10        ","14        ","9         ","12        ","1         ","2         ","242       ","186       ","25        ","24        ","217       ","162       ","417       ","402       ","376       ","358       ","41        ","44        "

Population data: Census 2000, sf1, PCT12 to PCT12N
			
Purpose of data: Help with demographic needs of Emergency Watershed Protection Program, Damage Survey Reports.
		
