SUMLEV,STATE,COUNTY,STNAME,CTYNAME,SEX,ORIGIN,RACE,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004
050,25,021,Massachussets,Norfolk County,0,0,03,882,882,851,910,908,932,928
050,25,021,Massachussets,Norfolk County,0,0,04,36278,36278,37006,39520,42091,43849,45974
050,25,021,Massachussets,Norfolk County,0,0,05,213,213,107,117,129,136,140
050,25,021,Massachussets,Norfolk County,0,0,06,5360,5360,5118,5385,5627,5858,6106
050,25,023,Massachussets,Plymouth County,0,0,01,432283,432283,433936,436190,438768,439740,440269
050,25,023,Massachussets,Plymouth County,0,0,02,29587,29587,29786,31920,33724,35605,37319
050,25,023,Massachussets,Plymouth County,0,0,03,1178,1178,1118,1159,1197,1213,1220
050,25,023,Massachussets,Plymouth County,0,0,04,4761,4761,4812,5159,5465,5803,5896
050,25,023,Massachussets,Plymouth County,0,0,05,263,263,194,207,211,222,222
050,25,023,Massachussets,Plymouth County,0,0,06,4750,4750,4684,4965,5249,5531,5729
050,25,025,Massachussets,Suffolk County,0,0,01,448155,448155,447233,448679,444176,437671,430975
050,25,025,Massachussets,Suffolk County,0,0,02,176960,176960,177210,176183,174467,172056,168624
050,25,025,Massachussets,Suffolk County,0,0,03,3244,3244,3395,3393,3317,3252,3225
050,25,025,Massachussets,Suffolk County,0,0,04,50192,50192,50604,51507,51508,51556,51430
050,25,025,Massachussets,Suffolk County,0,0,05,928,928,764,767,759,768,750
050,25,025,Massachussets,Suffolk County,0,0,06,10328,10328,10721,10827,10956,10996,11018
050,25,027,Massachussets,Worcester County,0,0,01,697240,696602,699063,704802,708715,711861,713124
050,25,027,Massachussets,Worcester County,0,0,02,23463,23149,23279,24705,26083,27003,27774
050,25,027,Massachussets,Worcester County,0,0,03,2110,2100,2079,2166,2208,2261,2266
050,25,027,Massachussets,Worcester County,0,0,04,20345,20329,20469,22099,23856,25570,26877
050,25,027,Massachussets,Worcester County,0,0,05,549,548,458,493,513,542,565
050,25,027,Massachussets,Worcester County,0,0,06,7256,7245,7384,7773,8177,8535,8882
050,25,001,Massachussets,Barnstable County,0,1,01,210180,210180,211529,213306,215162,216232,215610
050,25,001,Massachussets,Barnstable County,0,1,02,4328,4328,4396,4393,4464,4574,4565
050,25,001,Massachussets,Barnstable County,0,1,03,1245,1245,1145,1143,1122,1103,1125
050,25,001,Massachussets,Barnstable County,0,1,04,1415,1415,1451,1593,1732,1755,1821
050,25,001,Massachussets,Barnstable County,0,1,05,67,67,21,21,34,33,35
050,25,001,Massachussets,Barnstable County,0,1,06,1995,1995,1711,1768,1835,1868,1920
050,25,001,Massachussets,Barnstable County,0,2,01,2609,2609,2650,2818,2923,3143,3259
050,25,001,Massachussets,Barnstable County,0,2,02,158,158,164,167,160,169,153
050,25,001,Massachussets,Barnstable County,0,2,03,98,98,105,114,113,112,116
050,25,001,Massachussets,Barnstable County,0,2,04,39,39,19,19,15,21,20
050,25,001,Massachussets,Barnstable County,0,2,05,9,9,18,22,25,27,27
050,25,001,Massachussets,Barnstable County,0,2,06,87,87,25,29,28,28,32
050,25,003,Massachussets,Berkshire County,0,1,01,127191,127191,127251,126143,125158,124587,123688
050,25,003,Massachussets,Berkshire County,0,1,02,2618,2618,2623,2671,2711,2809,2907
050,25,003,Massachussets,Berkshire County,0,1,03,187,187,169,164,190,188,194
050,25,003,Massachussets,Berkshire County,0,1,04,1341,1341,1362,1391,1447,1495,1525
050,25,003,Massachussets,Berkshire County,0,1,05,40,40,6,6,6,6,7
050,25,003,Massachussets,Berkshire County,0,1,06,1290,1290,1117,1116,1210,1226,1310
050,25,003,Massachussets,Berkshire County,0,2,01,1939,1939,1977,2119,2281,2437,2552
050,25,003,Massachussets,Berkshire County,0,2,02,180,180,190,194,197,196,195
050,25,003,Massachussets,Berkshire County,0,2,03,19,19,22,22,23,24,19
050,25,003,Massachussets,Berkshire County,0,2,04,31,31,22,20,20,19,18
050,25,003,Massachussets,Berkshire County,0,2,05,9,9,13,13,14,15,13
050,25,003,Massachussets,Berkshire County,0,2,06,108,108,58,63,57,63,58
050,25,005,Massachussets,Bristol County,0,1,01,489223,489223,490452,491111,492432,492505,491280
050,25,005,Massachussets,Bristol County,0,1,02,12691,12691,12793,13407,14561,15560,16196
050,25,005,Massachussets,Bristol County,0,1,03,1194,1194,1192,1201,1219,1215,1264
050,25,005,Massachussets,Bristol County,0,1,04,7074,7074,7131,7512,8104,8571,9016
050,25,005,Massachussets,Bristol County,0,1,05,183,183,131,139,145,153,162
050,25,005,Massachussets,Bristol County,0,1,06,5071,5071,4961,5141,5454,5746,6000
050,25,005,Massachussets,Bristol County,0,2,01,15904,15904,16095,16976,18310,19497,20377
050,25,005,Massachussets,Bristol County,0,2,02,2262,2262,2230,2247,2338,2406,2406
050,25,005,Massachussets,Bristol County,0,2,03,399,399,379,413,454,496,543
050,25,005,Massachussets,Bristol County,0,2,04,85,85,86,97,102,108,109
050,25,005,Massachussets,Bristol County,0,2,05,76,76,67,74,70,74,84
050,25,005,Massachussets,Bristol County,0,2,06,516,516,601,623,674,719,739
050,25,007,Massachussets,Dukes County,0,1,01,13858,13858,14067,14215,14384,14539,14519
050,25,007,Massachussets,Dukes County,0,1,02,371,371,396,416,419,430,439
050,25,007,Massachussets,Dukes County,0,1,03,268,268,243,221,228,237,268
050,25,007,Massachussets,Dukes County,0,1,04,76,76,80,85,94,92,98
050,25,007,Massachussets,Dukes County,0,1,05,16,16,1,0,0,1,1
050,25,007,Massachussets,Dukes County,0,1,06,243,243,134,136,132,138,157
050,25,007,Massachussets,Dukes County,0,2,01,123,123,126,125,131,132,155
050,25,007,Massachussets,Dukes County,0,2,02,14,14,14,11,10,10,10
050,25,007,Massachussets,Dukes County,0,2,03,7,7,10,10,11,8,10
050,25,007,Massachussets,Dukes County,0,2,04,3,3,0,1,0,0,0
050,25,007,Massachussets,Dukes County,0,2,05,1,1,6,6,8,9,12
050,25,007,Massachussets,Dukes County,0,2,06,7,7,0,0,0,0,0
050,25,009,Massachussets,Essex County,0,1,01,604625,604625,603896,602831,600070,595923,591580
050,25,009,Massachussets,Essex County,0,1,02,15039,15039,14684,15419,15836,16276,16608
050,25,009,Massachussets,Essex County,0,1,03,1013,1013,1150,1142,1174,1240,1263
050,25,009,Massachussets,Essex County,0,1,04,17583,17583,17472,18756,19663,20252,20923
050,25,009,Massachussets,Essex County,0,1,05,178,178,283,312,329,337,343
050,25,009,Massachussets,Essex County,0,1,06,5110,5110,6299,6598,6895,7225,7492
050,25,009,Massachussets,Essex County,0,2,01,60265,60265,61864,65311,68114,70374,72061
050,25,009,Massachussets,Essex County,0,2,02,13536,13536,13756,15320,16871,18381,19842
050,25,009,Massachussets,Essex County,0,2,03,1128,1128,1142,1200,1252,1287,1310
050,25,009,Massachussets,Essex County,0,2,04,496,496,477,500,526,534,553
050,25,009,Massachussets,Essex County,0,2,05,419,419,331,367,379,396,389
050,25,009,Massachussets,Essex County,0,2,06,4027,4027,4242,4820,5426,6053,6620
050,25,011,Massachussets,Franklin County,0,1,01,67686,67686,67739,67797,67966,67932,67999
050,25,011,Massachussets,Franklin County,0,1,02,613,613,642,631,668,683,709
050,25,011,Massachussets,Franklin County,0,1,03,187,187,178,175,184,194,193
050,25,011,Massachussets,Franklin County,0,1,04,770,770,786,776,822,842,886
050,25,011,Massachussets,Franklin County,0,1,05,15,15,0,0,0,0,0
050,25,011,Massachussets,Franklin County,0,1,06,839,839,756,756,776,780,802
050,25,011,Massachussets,Franklin County,0,2,01,1209,1209,1231,1285,1349,1406,1465
050,25,011,Massachussets,Franklin County,0,2,02,83,83,91,93,95,95,93
050,25,011,Massachussets,Franklin County,0,2,03,33,33,31,32,32,29,33
050,25,011,Massachussets,Franklin County,0,2,04,18,18,14,8,12,8,13
050,25,011,Massachussets,Franklin County,0,2,05,4,4,6,6,4,5,5
050,25,011,Massachussets,Franklin County,0,2,06,78,78,38,33,39,42,37
050,25,013,Massachussets,Hampden County,0,1,01,341359,341359,340996,338988,338142,337326,334958
050,25,013,Massachussets,Hampden County,0,1,02,34621,34621,34636,34863,35225,35455,35615
050,25,013,Massachussets,Hampden County,0,1,03,807,807,880,900,922,933,931
050,25,013,Massachussets,Hampden County,0,1,04,5966,5966,5417,5718,6053,6344,6699
050,25,013,Massachussets,Hampden County,0,1,05,146,146,426,450,469,478,506
050,25,013,Massachussets,Hampden County,0,1,06,4132,4132,3934,4058,4230,4342,4466
050,25,013,Massachussets,Hampden County,0,2,01,58457,58457,58527,60251,62610,64659,66556
050,25,013,Massachussets,Hampden County,0,2,02,7960,7960,7942,7908,7950,7960,7952
050,25,013,Massachussets,Hampden County,0,2,03,608,608,596,604,619,645,652
050,25,013,Massachussets,Hampden County,0,2,04,242,242,447,456,464,466,475
050,25,013,Massachussets,Hampden County,0,2,05,809,809,1393,1374,1416,1421,1427
050,25,013,Massachussets,Hampden County,0,2,06,1121,1121,1424,1461,1527,1550,1607
050,25,015,Massachussets,Hampshire County,0,1,01,136775,136775,136960,136032,136771,137344,137295
050,25,015,Massachussets,Hampshire County,0,1,02,2816,2816,2904,2897,2982,3134,3118
050,25,015,Massachussets,Hampshire County,0,1,03,249,249,250,244,241,245,241
050,25,015,Massachussets,Hampshire County,0,1,04,5267,5267,5319,5280,5450,5638,5740
050,25,015,Massachussets,Hampshire County,0,1,05,67,67,26,24,25,28,28
050,25,015,Massachussets,Hampshire County,0,1,06,1865,1865,1716,1705,1760,1815,1853
050,25,015,Massachussets,Hampshire County,0,2,01,4373,4373,4428,4520,4638,4758,4880
050,25,015,Massachussets,Hampshire County,0,2,02,519,519,518,504,499,486,478
050,25,015,Massachussets,Hampshire County,0,2,03,70,70,67,66,67,69,66
050,25,015,Massachussets,Hampshire County,0,2,04,35,35,33,30,31,33,32
050,25,015,Massachussets,Hampshire County,0,2,05,12,12,6,6,6,6,10
050,25,015,Massachussets,Hampshire County,0,2,06,203,203,154,146,148,147,153
050,25,017,Massachussets,Middlesex County,0,1,01,1238708,1239124,1239473,1234485,1223361,1213506,1201822
050,25,017,Massachussets,Middlesex County,0,1,02,50090,50396,50649,51168,51716,53274,55210
050,25,017,Massachussets,Middlesex County,0,1,03,1794,1803,1851,1845,1784,1743,1745
050,25,017,Massachussets,Middlesex County,0,1,04,93452,93468,95077,101854,106228,110542,116026
050,25,017,Massachussets,Middlesex County,0,1,05,443,444,348,366,378,393,410
050,25,017,Massachussets,Middlesex County,0,1,06,14202,14209,14369,14874,15235,15690,16237
050,25,017,Massachussets,Middlesex County,0,2,01,58452,58682,59104,61142,62406,64016,65881
050,25,017,Massachussets,Middlesex County,0,2,02,5185,5193,5287,5153,4916,4733,4604
050,25,017,Massachussets,Middlesex County,0,2,03,794,795,757,775,778,781,792
050,25,017,Massachussets,Middlesex County,0,2,04,573,573,463,483,472,482,475
050,25,017,Massachussets,Middlesex County,0,2,05,212,212,74,82,79,75,80
050,25,017,Massachussets,Middlesex County,0,2,06,1491,1495,1325,1343,1329,1326,1346
050,25,019,Massachussets,Nantucket County,0,1,01,8365,8365,8454,8494,8600,8705,8730
050,25,019,Massachussets,Nantucket County,0,1,02,803,803,819,825,881,874,896
050,25,019,Massachussets,Nantucket County,0,1,03,2,2,0,0,0,0,0
050,25,019,Massachussets,Nantucket County,0,1,04,66,66,70,72,85,85,93
050,25,019,Massachussets,Nantucket County,0,1,05,4,4,0,0,0,0,0
050,25,019,Massachussets,Nantucket County,0,1,06,68,68,8,9,14,13,14
050,25,019,Massachussets,Nantucket County,0,2,01,179,179,179,205,260,286,349
050,25,019,Massachussets,Nantucket County,0,2,02,26,26,26,29,30,31,32
050,25,019,Massachussets,Nantucket County,0,2,03,0,0,0,0,0,0,0
050,25,019,Massachussets,Nantucket County,0,2,04,1,1,1,1,1,1,2
050,25,019,Massachussets,Nantucket County,0,2,05,5,5,8,7,8,8,7
050,25,019,Massachussets,Nantucket County,0,2,06,1,1,0,0,0,0,1
050,25,021,Massachussets,Norfolk County,0,1,01,575074,575074,575358,572422,568322,563679,558642
050,25,021,Massachussets,Norfolk County,0,1,02,21214,21214,21341,22559,23819,25450,27499
050,25,021,Massachussets,Norfolk County,0,1,03,746,746,702,750,743,756,741
050,25,021,Massachussets,Norfolk County,0,1,04,36133,36133,36884,39394,41957,43714,45827
050,25,021,Massachussets,Norfolk County,0,1,05,164,164,103,112,124,128,134
050,25,021,Massachussets,Norfolk County,0,1,06,4987,4987,4965,5229,5461,5683,5909
050,25,021,Massachussets,Norfolk County,0,2,01,10177,10177,10311,11002,11630,12143,13027
050,25,021,Massachussets,Norfolk County,0,2,02,1110,1110,1158,1158,1184,1209,1301
050,25,021,Massachussets,Norfolk County,0,2,03,136,136,149,160,165,176,187
050,25,021,Massachussets,Norfolk County,0,2,04,145,145,122,126,134,135,147
050,25,021,Massachussets,Norfolk County,0,2,05,49,49,4,5,5,8,6
050,25,021,Massachussets,Norfolk County,0,2,06,373,373,153,156,166,175,197
050,25,023,Massachussets,Plymouth County,0,1,01,423496,423496,425013,426864,429006,429513,429858
050,25,023,Massachussets,Plymouth County,0,1,02,27431,27431,27625,29718,31456,33274,34978
050,25,023,Massachussets,Plymouth County,0,1,03,1024,1024,964,1000,1034,1048,1047
