stcty,reg,div,stname,ctyname,time,popestimate,popest_nonhisp,popest_hisp,whiteac_tot,whiteac_nonhisp,whiteac_hisp,blackac_tot,blackac_nonhisp,blackac_hisp,aianac_tot,aianac_nonhisp,aianac_hisp,asiaac_tot,asiaac_nonhisp,asiaac_hisp,nhpiac_tot,nhpiac_nonhisp,nhpiac_hisp
39001,2,3,Ohio,Adams County,1,27330,27155,175,27035,26877,158,82,79,3,426,400,26,58,55,3,10,10,0
39003,2,3,Ohio,Allen County,1,108473,106928,1545,94160,92790,1370,14235,14080,155,707,660,47,794,768,26,24,22,2
39005,2,3,Ohio,Ashland County,1,52523,52184,339,51720,51397,323,530,515,15,248,228,20,351,343,8,34,34,0
39007,2,3,Ohio,Ashtabula County,1,102728,100436,2292,98792,96675,2117,3843,3687,156,671,636,35,494,479,15,61,52,9
39009,2,3,Ohio,Athens County,1,62223,61584,639,59240,58663,577,1800,1766,34,611,574,37,1397,1389,8,38,31,7
39011,2,3,Ohio,Auglaize County,1,46611,46301,310,46200,45911,289,221,212,9,265,251,14,243,242,1,22,16,6
39013,2,3,Ohio,Belmont County,1,70226,69952,274,67279,67034,245,2840,2818,22,300,282,18,307,297,10,27,21,6
39015,2,3,Ohio,Brown County,1,42285,42100,185,41745,41581,164,457,444,13,227,212,15,83,79,4,6,6,0
39017,2,3,Ohio,Butler County,1,332807,328036,4771,308757,304383,4374,19133,18860,273,2012,1866,146,5983,5914,69,250,202,48
39019,2,3,Ohio,Carroll County,1,28836,28678,158,28533,28387,146,201,196,5,213,206,7,54,54,0,9,9,0
39021,2,3,Ohio,Champaign County,1,38890,38621,269,37727,37472,255,1123,1116,7,293,280,13,137,135,2,17,14,3
39023,2,3,Ohio,Clark County,1,144742,143043,1699,130290,128791,1499,14123,13966,157,1349,1243,106,1068,1049,19,101,94,7
39025,2,3,Ohio,Clermont County,1,177977,176430,1547,174728,173261,1467,2044,2012,32,1022,965,57,1468,1444,24,69,59,10
39027,2,3,Ohio,Clinton County,1,40543,40277,266,39383,39136,247,1051,1045,6,265,246,19,221,220,1,7,6,1
39029,2,3,Ohio,Columbiana County,1,112075,110766,1309,109047,107854,1193,2824,2762,62,562,517,45,371,349,22,51,46,5
39031,2,3,Ohio,Coshocton County,1,36655,36439,216,36056,35854,202,525,520,5,212,201,11,146,146,0,16,14,2
39033,2,3,Ohio,Crawford County,1,46966,46605,361,46417,46071,346,364,350,14,254,246,8,184,181,3,20,20,0
39035,2,3,Ohio,Cuyahoga County,1,1393978,1346900,47078,975276,935552,39724,396099,389072,7027,8359,7474,885,29734,29180,554,1077,815,262
39037,2,3,Ohio,Darke County,1,53309,52852,457,52858,52414,444,347,342,5,262,243,19,190,188,2,26,24,2
39039,2,3,Ohio,Defiance County,1,39500,36643,2857,38489,35756,2733,865,765,100,242,191,51,177,167,10,17,4,13
39041,2,3,Ohio,Delaware County,1,109989,108880,1109,105142,104113,1029,3273,3198,75,624,603,21,2016,1992,24,76,70,6
