stcty,reg,div,stname,ctyname,time,popestimate,popest_male,popest_fem,under5_tot,under5_male,under5_fem,age513_tot,age513_male,age513_fem,age1417_tot,age1417_male,age1417_fem,age1824_tot,age1824_male,age1824_fem,age16plus_tot,age16plus_male,age16plus_fem,age18plus_tot,age18plus_male,age18plus_fem,age1544_tot,age1544_male,age1544_fem,age65plus_tot,age65plus_male,age65plus_fem,age85plus_tot,age85plus_male,age85plus_fem
30063,4,8,Montana,Missoula County,1,95802,47875,47927,5455,2766,2689,11015,5710,5305,5447,2823,2624,14740,7410,7330,76497,37933,38564,73885,36576,37309,46723,23661,23062,9585,4065,5520,1261,393,868
30065,4,8,Montana,Musselshell County,1,4497,2196,2301,222,111,111,516,238,278,313,162,151,256,137,119,3620,1778,1842,3446,1685,1761,1585,791,794,787,358,429,116,43,73
30067,4,8,Montana,Park County,1,15694,7745,7949,904,445,459,1878,949,929,913,471,442,1020,544,476,12436,6096,6340,11999,5880,6119,6075,3070,3005,2336,978,1358,304,95,209
30069,4,8,Montana,Petroleum County,1,493,259,234,35,19,16,58,29,29,35,19,16,30,16,14,381,200,181,365,192,173,166,87,79,84,45,39,2,0,2
30071,4,8,Montana,Phillips County,1,4601,2305,2296,227,123,104,660,352,308,369,195,174,255,126,129,3549,1743,1806,3345,1635,1710,1656,824,832,811,367,444,124,36,88
30073,4,8,Montana,Pondera County,1,6424,3169,3255,398,197,201,950,488,462,552,275,277,413,228,185,4789,2340,2449,4524,2209,2315,2404,1196,1208,1044,466,578,137,49,88
30075,4,8,Montana,Powder River County,1,1858,916,942,110,55,55,262,136,126,122,59,63,90,46,44,1434,704,730,1364,666,698,620,305,315,344,158,186,45,14,31
30077,4,8,Montana,Powell County,1,7180,4228,2952,332,191,141,778,391,387,415,240,175,558,380,178,5873,3534,2339,5655,3406,2249,3088,2052,1036,1004,449,555,131,41,90
30079,4,8,Montana,Prairie County,1,1199,619,580,50,27,23,102,52,50,72,38,34,52,35,17,1009,520,489,975,502,473,351,188,163,289,136,153,50,19,31
30081,4,8,Montana,Ravalli County,1,36070,17910,18160,2073,1087,986,4752,2451,2301,2406,1270,1136,2223,1221,1002,28070,13762,14308,26839,13102,13737,12951,6449,6502,5589,2616,2973,659,225,434
30083,4,8,Montana,Richland County,1,9667,4801,4866,558,302,256,1395,711,684,708,376,332,616,314,302,7361,3607,3754,7006,3412,3594,3753,1890,1863,1504,627,877,182,70,112
30085,4,8,Montana,Roosevelt County,1,10620,5264,5356,858,450,408,1907,1007,900,907,446,461,834,419,415,7387,3572,3815,6948,3361,3587,4230,2070,2160,1230,531,699,174,66,108
30087,4,8,Montana,Rosebud County,1,9383,4712,4671,723,362,361,1603,818,785,817,424,393,673,338,335,6626,3311,3315,6240,3108,3132,3683,1800,1883,833,407,426,88,30,58
30089,4,8,Montana,Sanders County,1,10227,5166,5061,482,257,225,1214,640,574,737,362,375,564,294,270,8139,4079,4060,7794,3907,3887,3355,1656,1699,1724,839,885,178,53,125
