Flights with Taxi-out Time Over Three Hours June 2007,,,,,,,,,,,,,,,,,,,,,,,,
Taxi-Out Time: The time elapsed between departure from the origin airport gate and wheels off.,,,,,,,,,,,,,,,,,,,,,,,,
Ranked by taxi-out time,,,,,,,,,,,,,,,,,,,,,,,,
Taxi-out Time over five hours,,,,,,,,,,,,,,,,,,,,,,,,
Airline,Flight Date,Taxi-Out Time (in mins.),Flight Number,Origin Airport,Origin City,Destination Airport,Destination City,Day of Week,Scheduled Departure Time,Actual Gate Departure Time,Departure Delay (in mins.),Wheels Off,Air Time,Wheels On,Taxi-In Time (in mins.),Scheduled Arrival Time,Actual Gate Arrival Time,Arrival Delay (in mins.),Distance,Air Carrier ,NAS ,Security ,Weather ,Late Arriving Aircraft
JetBlue,6/19,268,647,JFK,"New York, NY",SFO,"San Francisco, CA",2,1730,1743,13,2211,162,53,6,2102,59,237,2586,0,224,0,0,13
Delta,6/12,268,31,JFK,"New York, NY",LAX,"Los Angeles, CA",2,1620,1710,50,2138,312,2350,11,1930,1,271,2475,0,233,0,0,38
US Airways,6/27,268,863,PHL,"Philadelphia, PA",ORD,"Chicago, IL",3,1745,1925,100,2353,94,27,4,1904,31,327,678,100,227,0,0,0
Delta,6/1,267,79,JFK,"New York, NY",MIA,"Miami, FL",5,1850,1950,60,17,147,244,6,2233,250,257,1090,0,202,0,0,55
Delta,6/1,267,1871,JFK,"New York, NY",SAN,"San Diego, CA",5,1635,1645,10,2112,328,2340,5,1945,2345,240,2446,10,230,0,0,0
Delta,6/11,265,1037,JFK,"New York, NY",PHX,"Phoenix, AZ",1,1900,2158,178,223,268,351,7,2201,358,357,2153,21,179,0,0,157
US Airways,6/27,265,1571,PHL,"Philadelphia, PA",BDL,"Hartford, CT",3,2015,2111,56,136,36,212,5,2126,217,291,196,0,235,0,15,41
Continental,6/19,264,1185,EWR,"Newark, NJ",ORD,"Chicago, IL",2,1645,1641,-4,2105,131,2216,8,1828,2224,236,719,0,236,0,0,0
Comair,6/27,262,5077,PHL,"Philadelphia, PA",ATL,"Atlanta, GA",3,1915,2008,53,30,93,203,7,2118,210,292,665,0,239,0,0,53
American,6/26,261,1467,SAT,"San Antonio, TX",DFW,"Dallas/Ft.Worth, TX",2,1350,1558,128,2019,68,2127,50,1455,2217,442,247,0,435,0,0,7
Delta,6/11,261,1581,JFK,"New York, NY",SLC,"Salt Lake City, UT",1,1910,2216,186,237,259,456,11,2258,507,369,1989,19,183,0,0,167
US Airways,6/27,261,715,PHL,"Philadelphia, PA",LAX,"Los Angeles, CA",3,1855,1936,41,2357,304,201,4,2149,205,256,2401,28,215,0,0,13
Continental,6/12,259,820,JFK,"New York, NY",IAH,"Houston, TX",2,1329,1326,-3,1745,183,1948,10,1621,1958,217,1417,0,217,0,0,0
ExpressJet,6/12,257,2726,EWR,"Newark, NJ",OKC,"Oklahoma City, OK",2,1450,1444,-6,1901,170,2051,5,1748,2056,188,1325,0,188,0,0,0
Comair,6/12,254,5029,JFK,"New York, NY",CMH,"Columbus, OH",2,1350,1412,22,1826,79,1945,5,1540,1950,250,483,22,228,0,0,0
ExpressJet,6/8,254,2741,EWR,"Newark, NJ",CLT,"Charlotte, NC",5,2100,2055,-5,109,76,225,6,2320,231,191,529,0,191,0,0,0
ExpressJet,6/16,253,2052,PIT,"Pittsburgh, PA",EWR,"Newark, NJ",6,1415,1452,37,1905,58,2003,11,1559,2014,255,319,0,255,0,0,0
Continental,6/21,252,1174,ORD,"Chicago, IL",EWR,"Newark, NJ",4,1800,1810,10,2222,113,115,12,2145,127,222,719,0,222,0,0,0
Comair,6/1,252,5652,JFK,"New York, NY",CVG,"Cincinnati, OH",5,1915,1948,33,2400,150,230,0,2156,230,274,589,0,241,0,33,0
Continental,6/12,251,505,EWR,"Newark, NJ",JAX,"Jacksonville, FL",2,1520,1520,0,1931,119,2130,9,1800,2139,219,821,0,219,0,0,0
Delta,6/1,251,1901,JFK,"New York, NY",SEA,"Seattle, WA",5,1830,1830,0,2241,304,45,9,2203,54,171,2421,0,171,0,0,0
US Airways,6/12,251,2176,DCA,"Washington, DC",LGA,"New York, NY",2,1500,1514,14,1925,51,2016,5,1609,2021,252,214,0,238,0,14,0
JetBlue,6/1,250,1309,JFK,"New York, NY",IAD,"Washington, DC",5,1725,1738,13,2148,79,2307,5,1908,2312,244,228,0,234,0,0,10
Northwest,6/21,250,597,LGA,"New York, NY",MSP,"Minneapolis/St. Paul, MN",4,1759,1821,22,2231,144,2355,8,1959,3,244,1020,22,222,0,0,0
Continental,6/8,249,225,EWR,"Newark, NJ",CLE,"Cleveland, OH",5,1555,1618,23,2027,64,2131,9,1748,2140,232,404,23,209,0,0,0
Continental,6/19,248,1483,EWR,"Newark, NJ",SAN,"San Diego, CA",2,2015,2011,-4,19,334,253,3,2320,256,216,2425,0,216,0,0,0
Continental,6/8,248,709,JFK,"New York, NY",IAH,"Houston, TX",5,1620,2021,241,29,180,229,4,1916,233,437,1417,15,196,0,0,226
ExpressJet,6/15,248,2385,OKC,"Oklahoma City, OK",IAH,"Houston, TX",5,1300,1302,2,1710,87,1837,30,1430,1907,277,395,0,277,0,0,0
ExpressJet,6/19,248,2996,EWR,"Newark, NJ",STL,"St. Louis, MO",2,1920,2032,72,40,139,159,4,2129,203,274,872,0,209,0,0,65
American,6/26,247,1876,DFW,"Dallas/Ft.Worth, TX",BOS,"Boston, MA",2,1435,1444,9,1851,202,2313,4,1920,2317,237,1562,0,228,0,8,1
JetBlue,6/8,247,165,JFK,"New York, NY",PDX,"Portland, OR",5,1930,1957,27,4,151,235,2,2255,237,222,2454,0,222,0,0,0
Continental,6/8,247,348,EWR,"Newark, NJ",SFO,"San Francisco, CA",5,1730,1808,38,2215,323,38,7,2059,45,226,2565,0,226,0,0,0
ExpressJet,6/19,247,2877,EWR,"Newark, NJ",MSP,"Minneapolis/St. Paul, MN",2,1840,2024,104,31,149,200,3,2109,203,294,1008,0,221,0,0,73
Delta,6/1,246,155,JFK,"New York, NY",CVG,"Cincinnati, OH",5,1640,1658,18,2104,95,2239,6,1859,2245,226,589,18,208,0,0,0
Comair,6/11,246,5189,JFK,"New York, NY",STL,"St. Louis, MO",1,1745,2105,200,111,145,236,4,1953,240,407,892,0,207,0,200,0
American,6/12,243,370,ORD,"Chicago, IL",LGA,"New York, NY",2,1250,1311,21,1714,119,2013,4,1600,2017,257,733,0,236,0,0,21
Continental,6/27,243,1861,EWR,"Newark, NJ",SLC,"Salt Lake City, UT",3,1915,1929,14,2332,276,208,4,2245,212,207,1968,0,207,0,0,0
Delta,6/8,243,1581,JFK,"New York, NY",SLC,"Salt Lake City, UT",5,1910,2052,102,55,282,337,7,2258,344,286,1989,43,184,0,0,59
Continental,6/12,242,225,EWR,"Newark, NJ",CLE,"Cleveland, OH",2,1555,1554,-1,1956,63,2059,5,1748,2104,196,404,0,196,0,0,0
United,6/8,242,563,PHL,"Philadelphia, PA",ORD,"Chicago, IL",5,1721,1800,39,2202,119,2301,5,1847,2306,259,678,0,245,0,0,14
Delta,6/11,241,2,JFK,"New York, NY",FLL,"Fort Lauderdale, FL",1,1900,2100,120,101,135,316,4,2231,320,289,1069,0,178,0,0,111
ExpressJet,6/27,241,2794,EWR,"Newark, NJ",MEM,"Memphis, TN",3,1550,2002,252,3,131,114,6,1752,120,448,946,252,196,0,0,0
ExpressJet,6/8,241,2939,EWR,"Newark, NJ",LEX,"Lexington, KY",5,1505,1532,27,1933,89,2102,4,1720,2106,226,588,0,201,0,0,25
Taxi-out Time over three hours,,,,,,,,,,,,,,,,,,,,,,,,
Airline,Flight Date,Taxi-Out Time (in mins.),Flight Number,Origin Airport,Origin City,Destination Airport,Destination City,Day of Week,Scheduled Departure Time,Actual Gate Departure Time,Departure Delay (in mins.),Wheels Off,Air Time,Wheels On,Taxi-In Time (in mins.),Scheduled Arrival Time,Actual Gate Arrival Time,Arrival Delay (in mins.),Distance,Air Carrier ,NAS ,Security ,Weather ,Late Arriving Aircraft
US Airways,6/27,240,1937,PHL,"Philadelphia, PA",MCO,"Orlando, FL",3,1900,2026,86,26,111,217,5,2140,222,282,861,57,196,0,0,29
JetBlue,6/8,239,1097,JFK,"New York, NY",CMH,"Columbus, OH",5,1615,1640,25,2039,71,2150,6,1823,2156,213,483,0,213,0,0,0
ExpressJet,6/1,239,2825,EWR,"Newark, NJ",BNA,"Nashville, TN",5,1715,1753,38,2152,114,2246,7,1850,2253,243,748,0,209,0,0,34
ExpressJet,6/21,238,2314,EWR,"Newark, NJ",ALB,"Albany, NY",4,1655,1803,68,2201,30,2231,5,1807,2236,269,143,0,201,0,9,59
JetBlue,6/8,237,179,JFK,"New York, NY",PHX,"Phoenix, AZ",5,1950,2018,28,15,111,206,4,2238,210,212,2153,28,184,0,0,0
Delta,6/27,237,1921,BOS,"Boston, MA",LGA,"New York, NY",3,1330,1328,-2,1725,46,1811,10,1441,1821,220,185,0,220,0,0,0
ExpressJet,6/8,237,2576,EWR,"Newark, NJ",BUF,"Buffalo, NY",5,2105,2116,11,113,49,202,7,2238,209,211,282,11,200,0,0,0
American,6/19,236,1317,EWR,"Newark, NJ",DFW,"Dallas/Ft.Worth, TX",2,1650,1706,16,2102,204,2326,3,1935,2329,234,1372,0,223,0,0,11
Continental,6/19,236,1802,EWR,"Newark, NJ",TUS,"Tucson, AZ",2,1900,1928,28,2324,284,108,4,2138,112,214,2116,0,214,0,0,0
Delta,6/21,236,133,JFK,"New York, NY",LAX,"Los Angeles, CA",4,1840,2029,109,25,301,226,8,2213,234,261,2475,13,152,0,0,96
Frontier,6/26,236,137,DFW,"Dallas/Ft.Worth, TX",DEN,"Denver, CO",2,1355,1412,17,1808,92,1840,9,1452,1849,237,641,0,222,0,0,15
US Airways,6/8,236,2049,BOS,"Boston, MA",DCA,"Washington, DC",5,1945,2131,106,127,61,228,4,2123,232,309,399,4,203,0,0,102
American,6/12,235,693,PHL,"Philadelphia, PA",ORD,"Chicago, IL",2,1445,1612,87,2007,100,2047,4,1605,2051,286,678,0,199,0,69,18
Delta,6/8,235,133,JFK,"New York, NY",LAX,"Los Angeles, CA",5,1840,2217,217,212,338,450,9,2213,459,406,2475,217,189,0,0,0
American,6/1,234,759,LGA,"New York, NY",DFW,"Dallas/Ft.Worth, TX",5,1605,1606,1,2000,189,2209,5,1905,2214,189,1389,0,189,0,0,0
Delta,6/8,234,697,JFK,"New York, NY",PDX,"Portland, OR",5,1835,2138,183,132,336,408,4,2208,412,364,2454,3,181,0,0,180
Delta,6/21,234,677,JFK,"New York, NY",ATL,"Atlanta, GA",4,1850,2036,106,30,100,210,13,2154,223,269,760,44,163,0,0,62
Delta,6/21,234,1287,JFK,"New York, NY",TPA,"Tampa, FL",4,1935,2032,57,26,150,256,5,2253,301,248,1005,0,200,0,0,48
Comair,6/11,234,5565,JFK,"New York, NY",BUF,"Buffalo, NY",1,2055,2118,23,112,58,210,10,2251,220,209,301,0,209,0,0,0
ExpressJet,6/8,234,2640,EWR,"Newark, NJ",GRR,"Grand Rapids, MI",5,1445,1516,31,1910,,,0,1648,,,605,0,0,0,0,0
JetBlue,6/21,233,6,JFK,"New York, NY",BUF,"Buffalo, NY",4,1720,1722,2,2115,55,2210,4,1912,2214,182,301,0,182,0,0,0
Southwest,6/19,233,1887,PHL,"Philadelphia, PA",MDW,"Chicago, IL",2,1900,2138,158,131,99,210,5,2030,215,345,668,0,187,0,0,158
JetBlue,6/8,232,171,JFK,"New York, NY",SMF,"Sacramento, CA",5,1935,1948,13,2340,157,217,6,2304,223,199,2521,13,186,0,0,0
JetBlue,6/12,232,917,JFK,"New York, NY",ORD,"Chicago, IL",2,1625,1616,-9,2008,49,2057,12,1814,2109,175,740,0,175,0,0,0
