Flights with Taxi-out Time Over Three Hours June 2007,,,,,,,,,,,,,,,,,,,,,,,,
Taxi-Out Time: The time elapsed between departure from the origin airport gate and wheels off.,,,,,,,,,,,,,,,,,,,,,,,,
Ranked by taxi-out time,,,,,,,,,,,,,,,,,,,,,,,,
Taxi-out Time over five hours,,,,,,,,,,,,,,,,,,,,,,,,
Airline,Flight Date,Taxi-Out Time (in mins.),Flight Number,Origin Airport,Origin City,Destination Airport,Destination City,Day of Week,Scheduled Departure Time,Actual Gate Departure Time,Departure Delay (in mins.),Wheels Off,Air Time,Wheels On,Taxi-In Time (in mins.),Scheduled Arrival Time,Actual Gate Arrival Time,Arrival Delay (in mins.),Distance,Air Carrier ,NAS ,Security ,Weather ,Late Arriving Aircraft
Northwest,6/21,218,529,LGA,"New York, NY",DTW,"Detroit, MI",4,1755,1753,-2,2131,87,2258,8,2001,2306,185,501,0,185,0,0,0
Southwest,6/27,218,2748,PHL,"Philadelphia, PA",LAS,"Las Vegas, NV",3,1835,2116,161,54,274,228,4,2110,232,322,2176,29,161,0,0,132
ExpressJet,6/19,218,2726,EWR,"Newark, NJ",OKC,"Oklahoma City, OK",2,1450,1546,56,1924,213,2157,5,1748,2202,254,1325,6,198,0,0,50
American,6/28,217,785,LGA,"New York, NY",DFW,"Dallas/Ft.Worth, TX",4,1800,1801,1,2138,179,2337,7,2055,2344,169,1389,0,169,0,0,0
JetBlue,6/11,217,1034,JFK,"New York, NY",BUF,"Buffalo, NY",1,1935,2026,51,3,60,103,2,2120,105,225,301,0,174,0,0,51
Continental,6/8,217,825,EWR,"Newark, NJ",CLE,"Cleveland, OH",5,1755,1929,94,2306,67,13,6,2004,19,255,404,0,176,0,0,79
Continental,6/27,217,1140,DFW,"Dallas/Ft.Worth, TX",EWR,"Newark, NJ",3,1715,1942,147,2319,191,330,19,2211,349,338,1372,0,338,0,0,0
Continental,6/27,217,1139,EWR,"Newark, NJ",DFW,"Dallas/Ft.Worth, TX",3,1805,1958,113,2335,176,131,4,2109,135,266,1372,0,185,0,0,81
Delta,6/10,217,741,JFK,"New York, NY",LAS,"Las Vegas, NV",7,1935,2138,123,115,311,326,7,2245,333,288,2248,0,165,0,0,123
US Airways,6/12,217,748,CLT,"Charlotte, NC",PHL,"Philadelphia, PA",2,1435,1613,98,1950,75,2105,60,1615,2205,350,448,0,326,0,0,24
Southwest,6/27,217,2252,PHL,"Philadelphia, PA",CMH,"Columbus, OH",3,2035,2101,26,38,58,136,4,2205,140,215,405,0,190,0,0,25
American,6/26,216,2445,DFW,"Dallas/Ft.Worth, TX",LAX,"Los Angeles, CA",2,1410,1438,28,1814,174,1908,8,1515,1916,241,1235,0,213,0,12,16
Southwest,6/27,216,291,ALB,"Albany, NY",BWI,"Baltimore, MD",3,1355,1707,192,2043,96,2219,5,1505,2224,439,288,0,247,0,175,17
Delta,6/28,215,523,LGA,"New York, NY",ATL,"Atlanta, GA",4,1700,1757,57,2132,147,2359,31,1938,30,292,761,0,235,0,0,57
ExpressJet,6/22,215,2185,ACK,"Nantucket, MA",EWR,"Newark, NJ",5,1215,1347,92,1722,58,1820,6,1330,1826,296,218,0,204,0,0,92
American,6/26,214,592,DFW,"Dallas/Ft.Worth, TX",BDL,"Hartford, CT",2,1225,1223,-2,1557,203,2020,3,1650,2023,213,1471,0,213,0,0,0
JetBlue,6/1,214,359,JFK,"New York, NY",BUR,"Burbank, CA",5,1820,1829,9,2203,155,38,2,2158,40,162,2465,2,153,0,0,7
Delta,6/27,214,741,JFK,"New York, NY",LAS,"Las Vegas, NV",3,1935,7,272,341,299,540,6,2245,546,421,2248,93,149,0,0,179
SkyWest,6/18,214,5816,MCI,"Kansas City, MO",ORD,"Chicago, IL",1,1412,1504,52,1838,59,1937,5,1544,1942,238,403,0,238,0,0,0
American,6/27,213,751,LGA,"New York, NY",DFW,"Dallas/Ft.Worth, TX",3,1445,1630,105,2003,208,2231,18,1730,2249,319,1389,0,269,0,0,50
JetBlue,6/1,213,35,JFK,"New York, NY",PBI,"West Palm Beach/Palm Beach, FL",5,2015,2015,0,2348,162,230,4,2331,234,183,1028,0,183,0,0,0
Continental,6/12,213,330,EWR,"Newark, NJ",RDU,"Raleigh/Durham, NC",2,1455,1453,-2,1826,79,1945,7,1643,1952,189,416,0,189,0,0,0
Delta,6/21,213,107,JFK,"New York, NY",SEA,"Seattle, WA",4,1630,2003,213,2336,327,203,6,1956,209,373,2421,213,160,0,0,0
US Airways,6/27,213,1545,PHL,"Philadelphia, PA",CLT,"Charlotte, NC",3,1900,2136,156,109,63,212,5,2050,217,327,448,110,171,0,0,46
Delta,6/21,212,79,JFK,"New York, NY",MIA,"Miami, FL",4,1840,1928,48,2300,139,119,6,2215,125,190,1090,29,142,0,0,19
United,6/19,212,395,IAD,"Washington, DC",ORD,"Chicago, IL",2,1435,1426,-9,1758,98,1836,5,1548,1841,173,589,0,173,0,0,0
American,6/26,211,466,DFW,"Dallas/Ft.Worth, TX",PHL,"Philadelphia, PA",2,1345,1431,46,1802,206,2228,4,1810,2232,262,1302,33,216,0,10,3
American,6/26,211,1506,DFW,"Dallas/Ft.Worth, TX",IAD,"Washington, DC",2,1230,1230,0,1601,189,2010,5,1630,2015,225,1172,0,225,0,0,0
Delta,6/26,211,1280,ORD,"Chicago, IL",ATL,"Atlanta, GA",2,1330,1324,-6,1655,104,1939,11,1637,1950,193,606,0,193,0,0,0
US Airways,6/27,211,1564,ORD,"Chicago, IL",PHL,"Philadelphia, PA",3,1345,1445,60,1816,110,2106,3,1650,2109,259,678,0,259,0,0,0
Southwest,6/18,211,1075,MDW,"Chicago, IL",PHX,"Phoenix, AZ",1,1350,1357,7,1728,192,1840,6,1525,1846,201,1444,7,194,0,0,0
ExpressJet,6/1,211,2260,EWR,"Newark, NJ",CVG,"Cincinnati, OH",5,1530,1757,147,2128,88,2256,10,1745,2306,321,569,0,208,0,0,113
ExpressJet,6/8,211,2996,EWR,"Newark, NJ",STL,"St. Louis, MO",5,1920,2139,139,110,128,218,6,2129,224,295,872,36,156,0,0,103
American,6/26,210,1208,DFW,"Dallas/Ft.Worth, TX",CLT,"Charlotte, NC",2,1115,1223,68,1553,144,1917,5,1440,1922,282,936,14,214,0,0,54
Continental,6/27,210,462,EWR,"Newark, NJ",SJC,"San Jose, CA",3,1725,1944,139,2314,342,156,5,2054,201,307,2548,0,223,0,0,84
SkyWest,6/18,210,6370,OKC,"Oklahoma City, OK",ORD,"Chicago, IL",1,1443,1549,66,1919,88,2047,8,1655,2055,240,693,0,240,0,0,0
United,6/27,210,1219,PHL,"Philadelphia, PA",ORD,"Chicago, IL",3,1847,2042,115,12,92,44,7,2018,51,273,678,0,179,0,0,94
US Airways,6/11,210,2176,DCA,"Washington, DC",LGA,"New York, NY",1,1500,1457,-3,1827,68,1935,5,1609,1940,211,214,0,211,0,0,0
ExpressJet,6/16,210,2696,PIT,"Pittsburgh, PA",EWR,"Newark, NJ",6,1545,1544,-1,1914,58,2012,13,1729,2025,176,319,0,176,0,0,0
Pinnacle,6/8,209,4778,LGA,"New York, NY",IND,"Indianapolis, IN",5,1345,1340,-5,1709,105,1854,11,1610,1905,175,659,0,175,0,0,0
Pinnacle,6/8,209,4795,PHL,"Philadelphia, PA",IND,"Indianapolis, IN",5,1850,1918,28,2247,90,17,11,2055,28,213,587,0,185,0,0,28
American,6/1,209,350,ORD,"Chicago, IL",LGA,"New York, NY",5,1750,1752,2,2121,104,5,5,2105,10,185,733,0,185,0,0,0
Comair,6/1,209,5487,JFK,"New York, NY",CMH,"Columbus, OH",5,1635,1630,-5,1959,179,2258,4,1843,2302,259,483,0,259,0,0,0
United,6/21,209,658,ORD,"Chicago, IL",EWR,"Newark, NJ",4,1805,1821,16,2150,95,25,10,2141,35,174,719,0,169,0,0,5
United,6/12,209,1500,IAD,"Washington, DC",MCO,"Orlando, FL",2,1705,1702,-3,2031,104,2215,3,1915,2218,183,758,0,183,0,0,0
ExpressJet,6/27,209,2741,CVG,"Cincinnati, OH",EWR,"Newark, NJ",3,1810,2112,182,41,84,205,16,2029,221,352,569,0,235,0,0,117
JetBlue,6/21,208,619,JFK,"New York, NY",JAX,"Jacksonville, FL",4,1955,2021,26,2349,116,145,5,2250,150,180,829,5,154,0,0,21
JetBlue,6/21,208,83,JFK,"New York, NY",SEA,"Seattle, WA",4,1920,1943,23,2311,146,137,6,2245,143,178,2421,23,155,0,0,0
JetBlue,6/21,208,87,JFK,"New York, NY",SLC,"Salt Lake City, UT",4,2045,2051,6,19,152,251,3,20,254,154,1989,6,148,0,0,0
Continental,6/1,208,787,EWR,"Newark, NJ",SNA,"Santa Ana, CA",5,1705,1706,1,2034,312,2246,6,2022,2252,150,2433,0,150,0,0,0
Delta,6/11,208,1287,JFK,"New York, NY",TPA,"Tampa, FL",1,1935,2149,134,117,127,324,3,2253,327,274,1005,8,140,0,0,126
Delta,6/19,208,741,JFK,"New York, NY",LAS,"Las Vegas, NV",2,1935,1945,10,2313,322,135,7,2245,142,177,2248,0,177,0,0,0
Delta,6/21,208,597,JFK,"New York, NY",SEA,"Seattle, WA",4,1908,2030,82,2358,328,226,9,2245,235,230,2421,8,148,0,0,74
Northwest,6/27,208,1761,PHL,"Philadelphia, PA",DTW,"Detroit, MI",3,1940,2056,76,24,68,132,13,2135,145,250,453,0,174,0,23,53
US Airways,6/13,208,1600,CLT,"Charlotte, NC",PVD,"Providence, RI",3,1408,1415,7,1743,102,1925,5,1604,1930,206,683,0,206,0,0,0
American,6/26,207,1216,DFW,"Dallas/Ft.Worth, TX",MEM,"Memphis, TN",2,1250,1251,1,1618,93,1751,7,1415,1758,223,432,0,223,0,0,0
JetBlue,6/8,207,199,JFK,"New York, NY",LAS,"Las Vegas, NV",5,2130,2152,22,119,121,320,7,22,327,185,2248,0,185,0,0,0
JetBlue,6/12,207,309,IAD,"Washington, DC",SAN,"San Diego, CA",2,1735,1849,74,2216,104,2400,19,2014,19,245,2253,0,171,0,42,32
Delta,6/8,207,519,LGA,"New York, NY",ATL,"Atlanta, GA",5,1459,1532,33,1859,97,2036,12,1737,2048,191,761,0,181,0,0,10
Delta,6/12,207,433,DCA,"Washington, DC",ATL,"Atlanta, GA",2,1655,1732,37,2059,79,2218,11,1849,2229,220,547,0,189,0,0,31
Delta,6/19,207,133,JFK,"New York, NY",LAX,"Los Angeles, CA",2,1840,1917,37,2244,344,128,15,2213,143,210,2475,0,173,0,0,37
American Eagle,6/26,207,3663,DFW,"Dallas/Ft.Worth, TX",SGF,"Springfield, MO",2,935,1300,205,1627,58,1725,7,1050,1732,402,364,0,197,0,84,121
American Eagle,6/21,207,4616,JFK,"New York, NY",BOS,"Boston, MA",4,1755,1803,8,2130,45,2215,4,1930,2219,169,187,0,161,0,0,8
Comair,6/11,207,5162,RDU,"Raleigh/Durham, NC",LGA,"New York, NY",1,1555,1555,0,1922,79,2041,14,1741,2055,194,431,0,194,0,0,0
SkyWest,6/26,207,5825,CLE,"Cleveland, OH",ORD,"Chicago, IL",2,1530,1538,8,1905,52,1857,4,1601,1901,180,316,0,180,0,0,0
United,6/21,207,95,EWR,"Newark, NJ",SFO,"San Francisco, CA",4,1800,1833,33,2200,331,31,5,2130,36,186,2565,27,153,0,0,6
American,6/26,206,1381,DFW,"Dallas/Ft.Worth, TX",TUS,"Tucson, AZ",2,1425,1540,75,1906,108,1854,3,1430,1857,267,813,0,192,0,30,45
JetBlue,6/12,206,647,JFK,"New York, NY",SFO,"San Francisco, CA",2,1730,1755,25,2121,139,2340,6,2102,2346,164,2586,13,139,0,0,12
Delta,6/19,206,149,JFK,"New York, NY",SFO,"San Francisco, CA",2,1840,2024,104,2350,346,236,9,2226,245,259,2586,0,259,0,0,0
Northwest,6/21,206,1087,EWR,"Newark, NJ",MSP,"Minneapolis/St. Paul, MN",4,1735,1758,23,2124,157,2301,8,1941,2309,208,1008,4,185,0,0,19
Comair,6/1,206,5585,JFK,"New York, NY",CLE,"Cleveland, OH",5,1555,1625,30,1951,133,2204,7,1754,2211,257,425,0,227,0,30,0
US Airways,6/27,206,17,JFK,"New York, NY",PHX,"Phoenix, AZ",3,1755,2119,204,45,282,227,12,2034,239,365,2153,0,161,0,118,86
ExpressJet,6/22,206,2763,BGR,"Bangor, ME",EWR,"Newark, NJ",5,1420,1423,3,1749,73,1902,7,1622,1909,167,393,0,167,0,0,0
American,6/11,205,1639,JFK,"New York, NY",SJU,"San Juan, PR",1,1905,2007,62,2332,184,236,5,2310,241,211,1597,47,149,0,0,15
JetBlue,6/8,205,1069,JFK,"New York, NY",AUS,"Austin, TX",5,2045,2149,64,114,134,328,5,6,333,207,1522,0,207,0,0,0
JetBlue,6/12,205,137,JFK,"New York, NY",RSW,"Ft. Myers, FL",2,1515,1509,-6,1834,148,2102,4,1820,2106,166,1074,0,166,0,0,0
Continental,6/26,205,1136,DFW,"Dallas/Ft.Worth, TX",EWR,"Newark, NJ",2,1215,1258,43,1623,226,2109,14,1708,2123,255,1372,0,255,0,0,0
Continental,6/27,205,784,EWR,"Newark, NJ",PDX,"Portland, OR",3,1745,1913,88,2238,328,106,3,2103,109,246,2433,0,246,0,0,0
Delta,6/1,205,1287,JFK,"New York, NY",TPA,"Tampa, FL",5,1910,1945,35,2310,141,131,4,2237,135,178,1005,8,143,0,0,27
US Airways,6/19,205,701,PHL,"Philadelphia, PA",PHX,"Phoenix, AZ",2,1605,1631,26,1956,275,2131,8,1809,2139,210,2075,26,184,0,0,0
US Airways,6/27,205,1935,LGA,"New York, NY",CLT,"Charlotte, NC",3,1825,1950,85,2315,112,107,7,2027,114,287,544,0,202,0,8,77
ExpressJet,6/27,205,2652,BNA,"Nashville, TN",EWR,"Newark, NJ",3,1225,1351,86,1716,114,2010,23,1559,2033,274,748,0,274,0,0,0
American,6/19,204,335,LGA,"New York, NY",ORD,"Chicago, IL",2,1650,1809,79,2133,136,2249,4,1825,2253,268,733,73,189,0,0,6
American,6/26,204,959,DFW,"Dallas/Ft.Worth, TX",MIA,"Miami, FL",2,1250,1309,19,1633,146,1959,6,1650,2005,195,1121,0,176,0,8,11
American,6/26,204,1502,DFW,"Dallas/Ft.Worth, TX",BWI,"Baltimore, MD",2,1320,1324,4,1648,201,2109,10,1725,2119,234,1217,0,234,0,0,0
American,6/26,204,2224,DFW,"Dallas/Ft.Worth, TX",PBI,"West Palm Beach/Palm Beach, FL",2,1315,1312,-3,1636,146,2002,2,1700,2004,184,1103,0,184,0,0,0
American,6/26,204,2453,DFW,"Dallas/Ft.Worth, TX",LAX,"Los Angeles, CA",2,1455,1506,11,1830,164,1914,9,1600,1923,203,1235,0,192,0,11,0
JetBlue,6/1,204,55,BTV,"Burlington, VT",JFK,"New York, NY",5,1625,1644,19,2008,61,2109,64,1740,2213,273,267,0,265,0,0,8
JetBlue,6/1,204,1055,JFK,"New York, NY",PIT,"Pittsburgh, PA",5,1640,1638,-2,2002,68,2110,4,1837,2114,157,340,0,157,0,0,0
JetBlue,6/1,204,185,JFK,"New York, NY",SAN,"San Diego, CA",5,1800,1756,-4,2120,148,2348,2,2135,2350,135,2446,0,135,0,0,0
Delta,6/10,204,1037,JFK,"New York, NY",PHX,"Phoenix, AZ",7,1900,2139,159,103,293,256,7,2201,303,302,2153,6,143,0,0,153
Delta,6/13,204,2,JFK,"New York, NY",FLL,"Fort Lauderdale, FL",3,1900,1928,28,2252,147,119,4,2231,123,172,1069,0,148,0,0,24
American Eagle,6/1,204,4811,LGA,"New York, NY",BOS,"Boston, MA",5,1625,1642,17,2006,45,2051,6,1740,2057,197,185,0,180,0,0,17
Comair,6/1,204,5395,JFK,"New York, NY",IAD,"Washington, DC",5,1635,1635,0,1959,61,2100,10,1808,2110,182,228,0,182,0,0,0
Comair,6/11,204,5245,LGA,"New York, NY",CHS,"Charleston, SC",1,1520,1520,0,1844,98,2022,6,1734,2028,174,641,0,174,0,0,0
US Airways,6/12,204,1005,PHL,"Philadelphia, PA",ORF,"Norfolk, VA",2,1345,1405,20,1729,44,1813,2,1448,1815,207,211,8,187,0,0,12
US Airways,6/27,204,1470,PHL,"Philadelphia, PA",SYR,"Syracuse, NY",3,2015,2036,21,2400,38,38,4,2128,42,194,228,21,173,0,0,0
US Airways,6/28,204,1627,LGA,"New York, NY",CLT,"Charlotte, NC",4,1640,1737,57,2101,82,2223,4,1840,2227,227,544,0,170,0,2,55
American,6/26,203,732,DFW,"Dallas/Ft.Worth, TX",LGA,"New York, NY",2,1310,1315,5,1638,224,2122,7,1750,2129,219,1389,0,219,0,0,0
American,6/26,203,1020,DFW,"Dallas/Ft.Worth, TX",MSY,"New Orleans, LA",2,1305,1308,3,1631,66,1737,2,1430,1739,189,448,0,189,0,0,0
American,6/26,203,2274,DFW,"Dallas/Ft.Worth, TX",RDU,"Raleigh/Durham, NC",2,1125,1212,47,1535,,,0,1510,,,1062,0,0,0,0,0
Continental,6/21,203,1593,MCO,"Orlando, FL",EWR,"Newark, NJ",4,1917,1915,-2,2238,150,108,16,2212,124,192,938,0,192,0,0,0
Comair,6/21,203,5639,JFK,"New York, NY",PIT,"Pittsburgh, PA",4,1636,1636,0,1959,69,2108,8,1836,2116,160,340,0,160,0,0,0
ExpressJet,6/27,203,2864,EWR,"Newark, NJ",PIT,"Pittsburgh, PA",3,2010,2016,6,2339,58,37,11,2215,48,153,319,6,147,0,0,0
ExpressJet,6/12,203,2939,EWR,"Newark, NJ",LEX,"Lexington, KY",2,1505,1453,-12,1816,82,1938,6,1720,1944,144,588,0,144,0,0,0
Mesa,6/26,203,7292,ORD,"Chicago, IL",PWM,"Portland, ME",2,1335,1330,-5,1653,113,1946,4,1651,1950,179,900,0,179,0,0,0
Delta,6/28,202,521,LGA,"New York, NY",ATL,"Atlanta, GA",4,1600,1751,111,2113,155,2348,25,1837,13,336,761,0,225,0,14,97
American Eagle,6/1,202,4451,JFK,"New York, NY",CLE,"Cleveland, OH",5,1615,1820,125,2142,72,2254,9,1755,2303,308,425,0,192,0,0,116
American Eagle,6/1,202,4874,LGA,"New York, NY",CMH,"Columbus, OH",5,1655,1652,-3,2014,84,2138,3,1845,2141,176,478,0,176,0,0,0
United,6/12,202,947,IAD,"Washington, DC",LAX,"Los Angeles, CA",2,1751,1842,51,2204,274,2338,6,2002,2344,222,2288,0,171,0,51,0
US Airways,6/27,202,1606,PHL,"Philadelphia, PA",DTW,"Detroit, MI",3,2015,2043,28,5,67,112,5,2204,117,193,453,0,193,0,0,0
American,6/27,201,736,DFW,"Dallas/Ft.Worth, TX",LGA,"New York, NY",3,1400,1414,14,1735,,,0,1840,,,1389,0,0,0,0,0
Delta,6/10,201,1891,JFK,"New York, NY",LAX,"Los Angeles, CA",7,2055,2148,53,109,331,340,16,7,356,229,2475,0,176,0,0,53
Delta,6/21,201,1885,LGA,"New York, NY",FLL,"Fort Lauderdale, FL",4,1845,1840,-5,2201,143,24,7,2157,31,154,1076,0,154,0,0,0
Delta,6/26,201,1701,DFW,"Dallas/Ft.Worth, TX",SLC,"Salt Lake City, UT",2,1428,1455,27,1816,130,1926,4,1602,1930,208,988,14,181,0,0,13
Delta,6/27,201,107,JFK,"New York, NY",SEA,"Seattle, WA",3,1630,1702,32,2023,332,2255,12,1956,2307,191,2421,0,170,0,0,21
AirTran,6/26,201,112,DFW,"Dallas/Ft.Worth, TX",ATL,"Atlanta, GA",2,1309,1305,-4,1626,119,1925,11,1613,1936,203,732,0,203,0,0,0
United,6/8,201,685,LGA,"New York, NY",ORD,"Chicago, IL",5,1500,1500,0,1821,130,1931,2,1631,1933,182,733,0,182,0,0,0
US Airways,6/19,201,1635,DCA,"Washington, DC",BUF,"Buffalo, NY",2,1515,1527,12,1848,47,1935,5,1624,1940,196,296,0,184,0,0,12
American,6/26,200,534,DFW,"Dallas/Ft.Worth, TX",BNA,"Nashville, TN",2,1310,1308,-2,1628,107,1815,6,1455,1821,206,631,0,206,0,0,0
American,6/18,200,1835,ORD,"Chicago, IL",SFO,"San Francisco, CA",1,1520,1533,13,1853,243,2056,16,1750,2112,202,1846,0,194,0,0,8
JetBlue,6/1,200,217,JFK,"New York, NY",LGB,"Long Beach, CA",5,1815,1814,-1,2134,149,3,4,2155,7,132,2465,0,132,0,0,0
JetBlue,6/21,200,148,JFK,"New York, NY",BTV,"Burlington, VT",4,1830,1829,-1,2149,44,2233,5,2014,2238,144,267,0,144,0,0,0
Continental,6/21,200,1190,EWR,"Newark, NJ",BOS,"Boston, MA",4,1745,1830,45,2150,40,2230,7,1925,2237,192,200,0,155,0,0,37
American Eagle,6/11,200,4790,DCA,"Washington, DC",LGA,"New York, NY",1,1500,1511,11,1831,68,1939,14,1615,1953,218,214,0,218,0,0,0
United,6/12,200,839,JFK,"New York, NY",LAX,"Los Angeles, CA",2,1825,1854,29,2214,316,30,5,2135,35,180,2475,0,158,0,0,22
ExpressJet,6/8,200,3068,EWR,"Newark, NJ",CLT,"Charlotte, NC",5,1810,2027,137,2347,89,116,6,2037,122,285,529,0,160,0,0,125
ExpressJet,6/10,200,2030,EWR,"Newark, NJ",OMA,"Omaha, NE",7,1915,1949,34,2309,157,46,3,2150,49,179,1133,34,145,0,0,0
Mesa,6/18,200,7320,CLT,"Charlotte, NC",ORD,"Chicago, IL",1,1408,1630,142,1950,94,2024,3,1519,2027,308,599,0,308,0,0,0
American,6/16,199,366,ORD,"Chicago, IL",LGA,"New York, NY",6,1410,1413,3,1732,107,2019,9,1725,2028,183,733,0,183,0,0,0
American,6/26,199,2082,DFW,"Dallas/Ft.Worth, TX",BNA,"Nashville, TN",2,1015,1323,188,1642,116,1838,5,1200,1843,403,631,9,215,0,10,169
Continental,6/27,199,1481,EWR,"Newark, NJ",SEA,"Seattle, WA",3,2010,2040,30,2359,317,216,6,2327,222,175,2401,0,151,0,0,24
American Eagle,6/26,199,4124,ORD,"Chicago, IL",CMI,"Champaign/Urbana, IL",2,1420,1422,2,1741,29,1810,4,1510,1814,184,135,0,184,0,0,0
Comair,6/11,199,5034,JFK,"New York, NY",BTV,"Burlington, VT",1,2021,2050,29,9,37,46,3,2156,49,173,267,0,173,0,0,0
Southwest,6/8,199,547,PHL,"Philadelphia, PA",PHX,"Phoenix, AZ",5,1515,1841,206,2200,291,2351,7,1735,2358,383,2075,0,383,0,0,0
ExpressJet,6/1,199,2608,EWR,"Newark, NJ",XNA,"Fayetteville, AR",5,1530,1710,100,2029,154,2203,3,1757,2206,249,1130,0,149,0,0,100
American,6/8,198,307,LGA,"New York, NY",ORD,"Chicago, IL",5,1325,1323,-2,1641,107,1728,5,1455,1733,158,733,0,158,0,0,0
American,6/19,198,1074,DFW,"Dallas/Ft.Worth, TX",ATL,"Atlanta, GA",2,1555,1609,14,1927,112,2219,14,1915,2233,198,732,0,198,0,0,0
Continental,6/11,198,133,LGA,"New York, NY",IAH,"Houston, TX",1,1500,1458,-2,1816,187,2023,6,1758,2029,151,1416,0,151,0,0,0
Continental,6/8,198,1468,EWR,"Newark, NJ",LAS,"Las Vegas, NV",5,1625,1622,-3,1940,346,2226,9,1902,2235,213,2227,0,213,0,0,0
Delta,6/21,198,526,ATL,"Atlanta, GA",LGA,"New York, NY",4,1845,1905,20,2223,132,35,13,2115,48,213,761,19,193,0,0,1
United,6/11,198,19,JFK,"New York, NY",SFO,"San Francisco, CA",1,2045,2047,2,5,324,229,6,32,235,123,2586,0,121,0,0,2
United,6/12,198,710,ORD,"Chicago, IL",IAD,"Washington, DC",2,1555,1730,95,2048,100,2328,7,1855,2335,280,589,41,185,0,0,54
JetBlue,6/21,197,1107,JFK,"New York, NY",RDU,"Raleigh/Durham, NC",4,1745,1839,54,2156,61,2257,3,1957,2300,183,426,6,129,0,0,48
Continental,6/27,197,1483,EWR,"Newark, NJ",SAN,"San Diego, CA",3,2015,2013,-2,2330,296,126,3,2320,129,129,2425,0,129,0,0,0
Delta,6/12,197,161,JFK,"New York, NY",SAN,"San Diego, CA",2,1745,1845,60,2202,293,2355,3,2053,2358,185,2446,4,125,0,0,56
American Eagle,6/26,197,3721,DFW,"Dallas/Ft.Worth, TX",SAV,"Savannah, GA",2,1255,1256,1,1613,135,1928,3,1625,1931,186,925,0,186,0,0,0
Comair,6/8,197,5256,CVG,"Cincinnati, OH",EWR,"Newark, NJ",5,1515,1530,15,1847,111,2038,10,1719,2048,209,569,0,209,0,0,0
United,6/19,197,407,BWI,"Baltimore, MD",DEN,"Denver, CO",2,1445,1445,0,1802,209,1931,6,1632,1937,185,1491,0,185,0,0,0
US Airways,6/13,197,1421,PHL,"Philadelphia, PA",LAX,"Los Angeles, CA",3,1440,1446,6,1803,322,2025,31,1713,2056,223,2401,6,217,0,0,0
ExpressJet,6/12,197,3134,EWR,"Newark, NJ",BNA,"Nashville, TN",2,1420,1711,171,2028,100,2108,6,1547,2114,327,748,0,327,0,0,0
American,6/12,196,1087,PHL,"Philadelphia, PA",DFW,"Dallas/Ft.Worth, TX",2,1520,1706,106,2022,170,2212,9,1745,2221,276,1302,0,170,0,44,62
American,6/26,196,1595,DFW,"Dallas/Ft.Worth, TX",LAS,"Las Vegas, NV",2,1240,1539,179,1855,134,1909,6,1325,1915,350,1055,0,171,0,82,97
American,6/26,196,1927,MCI,"Kansas City, MO",ORD,"Chicago, IL",2,1400,1447,47,1803,72,1915,7,1530,1922,232,403,0,185,0,0,47
American,6/27,196,2394,ATL,"Atlanta, GA",LGA,"New York, NY",3,1920,2101,101,17,135,232,11,2140,243,303,761,0,215,0,0,88
JetBlue,6/1,196,1034,JFK,"New York, NY",BUF,"Buffalo, NY",5,1935,1941,6,2257,56,2353,2,2120,2355,155,301,6,149,0,0,0
JetBlue,6/1,196,171,JFK,"New York, NY",SMF,"Sacramento, CA",5,1930,1943,13,2259,136,115,6,2259,121,142,2521,0,129,0,0,13
American Eagle,6/26,196,4505,ORD,"Chicago, IL",AZO,"Kalamazoo, MI",2,1345,1427,42,1743,23,1906,4,1535,1910,215,122,0,189,0,0,26
SkyWest,6/26,196,6684,ICT,"Wichita, KS",ORD,"Chicago, IL",2,1421,1510,49,1826,89,1955,5,1615,2000,225,588,0,225,0,0,0
US Airways,6/19,196,753,PHL,"Philadelphia, PA",SEA,"Seattle, WA",2,1750,1937,107,2253,336,129,4,2049,133,284,2378,67,177,0,0,40
US Airways,6/27,196,1272,PHL,"Philadelphia, PA",BUF,"Buffalo, NY",3,2020,2053,33,9,48,57,3,2140,100,200,279,0,167,0,21,12
ExpressJet,6/16,196,2450,SYR,"Syracuse, NY",EWR,"Newark, NJ",6,1450,1456,6,1812,36,1848,8,1610,1856,166,194,0,166,0,0,0
Delta,6/1,195,151,JFK,"New York, NY",SFO,"San Francisco, CA",5,1635,1710,35,2025,326,2251,8,2021,2259,158,2586,35,123,0,0,0
United,6/8,195,369,EWR,"Newark, NJ",DEN,"Denver, CO",5,1712,1819,67,2134,226,2320,7,1938,2327,229,1605,0,163,0,0,66
ExpressJet,6/27,195,3037,EWR,"Newark, NJ",BNA,"Nashville, TN",3,1915,2030,75,2345,104,29,9,2105,38,213,748,75,138,0,0,0
American,6/27,194,636,ORD,"Chicago, IL",BOS,"Boston, MA",3,1335,1335,0,1649,124,1953,5,1705,1958,173,867,0,173,0,0,0
American,6/26,194,731,DFW,"Dallas/Ft.Worth, TX",OKC,"Oklahoma City, OK",2,1505,1535,30,1849,32,1921,7,1600,1928,208,175,0,178,0,30,0
American,6/26,194,1003,DFW,"Dallas/Ft.Worth, TX",DEN,"Denver, CO",2,1420,1509,49,1823,95,1858,7,1515,1905,230,641,0,181,0,17,32
American,6/26,194,1693,DFW,"Dallas/Ft.Worth, TX",SFO,"San Francisco, CA",2,1500,1520,20,1834,191,1945,4,1635,1949,194,1464,0,174,0,11,9
