SUMLEV,STATE,COUNTY,STNAME,CTYNAME,SEX,ORIGIN,RACE,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004
050,04,001,Arizona,Apache County,0,0,01,14988,14988,15023,14898,14912,15470,15722
050,04,001,Arizona,Apache County,0,0,02,183,183,193,250,286,343,376
050,04,001,Arizona,Apache County,0,0,03,53528,53528,53312,51975,51640,51895,52105
050,04,001,Arizona,Apache County,0,0,04,100,100,96,111,128,123,133
050,04,001,Arizona,Apache County,0,0,05,46,46,48,53,56,59,58
050,04,001,Arizona,Apache County,0,0,06,578,578,485,470,489,498,509
050,04,003,Arizona,Cochise County,0,0,01,105721,105721,105987,106890,108307,109822,111859
050,04,003,Arizona,Cochise County,0,0,02,5616,5616,5631,5385,5254,5205,5300
050,04,003,Arizona,Cochise County,0,0,03,1525,1525,1549,1526,1550,1603,1623
050,04,003,Arizona,Cochise County,0,0,04,2061,2061,2107,2171,2144,2228,2263
050,04,003,Arizona,Cochise County,0,0,05,327,327,321,326,320,331,343
050,04,003,Arizona,Cochise County,0,0,06,2505,2505,2440,2475,2469,2547,2625
050,04,005,Arizona,Coconino County,0,0,01,78767,78767,78984,79237,80766,81301,82005
050,04,005,Arizona,Coconino County,0,0,02,1284,1284,1290,1355,1394,1492,1550
050,04,005,Arizona,Coconino County,0,0,03,33423,33423,33608,34145,34898,35311,36121
050,04,005,Arizona,Coconino County,0,0,04,960,960,973,1011,1032,1139,1153
050,04,005,Arizona,Coconino County,0,0,05,128,128,117,121,126,134,136
050,04,005,Arizona,Coconino County,0,0,06,1758,1758,1696,1713,1740,1795,1789
050,04,007,Arizona,Gila County,0,0,01,43641,43641,43783,43473,43558,43207,43122
050,04,007,Arizona,Gila County,0,0,02,225,225,236,253,260,307,304
050,04,007,Arizona,Gila County,0,0,03,6727,6727,6734,6960,7050,7163,7329
050,04,007,Arizona,Gila County,0,0,04,232,232,246,260,275,285,282
050,04,007,Arizona,Gila County,0,0,05,34,34,7,10,15,10,12
050,04,007,Arizona,Gila County,0,0,06,476,476,373,375,381,372,373
050,04,009,Arizona,Graham County,0,0,01,27227,27227,27345,27354,27054,26789,26729
050,04,009,Arizona,Graham County,0,0,02,678,678,693,696,693,703,705
050,04,009,Arizona,Graham County,0,0,03,5079,5079,5097,5108,5136,5209,5187
050,04,009,Arizona,Graham County,0,0,04,208,208,214,221,211,221,226
050,04,009,Arizona,Graham County,0,0,05,33,33,16,21,18,20,22
050,04,009,Arizona,Graham County,0,0,06,264,264,129,126,121,120,124
050,04,011,Arizona,Greenlee County,0,0,01,8217,8217,8251,8103,7561,7258,7206
050,04,011,Arizona,Greenlee County,0,0,02,52,52,54,53,55,55,56
050,04,011,Arizona,Greenlee County,0,0,03,156,156,165,169,166,161,166
050,04,011,Arizona,Greenlee County,0,0,04,22,22,19,21,20,22,23
050,04,011,Arizona,Greenlee County,0,0,05,9,9,15,15,14,14,15
050,04,011,Arizona,Greenlee County,0,0,06,91,91,45,41,40,38,35
050,04,012,Arizona,La Paz County,0,0,01,16521,16521,16548,16612,16472,16615,16759
050,04,012,Arizona,La Paz County,0,0,02,179,179,185,184,191,195,191
050,04,012,Arizona,La Paz County,0,0,03,2611,2611,2606,2501,2529,2563,2617
050,04,012,Arizona,La Paz County,0,0,04,82,82,78,82,88,91,93
050,04,012,Arizona,La Paz County,0,0,05,23,23,19,17,16,21,21
050,04,012,Arizona,La Paz County,0,0,06,299,299,221,213,217,211,217
050,04,013,Arizona,Maricopa County,0,0,01,2770253,2770253,2789869,2873002,2954806,3034963,3128108
050,04,013,Arizona,Maricopa County,0,0,02,121249,121249,122021,128153,134582,140419,148026
050,04,013,Arizona,Maricopa County,0,0,03,62971,62971,63739,66849,68728,70779,73464
050,04,013,Arizona,Maricopa County,0,0,04,70016,70016,71162,75589,80037,84432,89999
050,04,013,Arizona,Maricopa County,0,0,05,5639,5639,5555,5839,6135,6398,6747
050,04,013,Arizona,Maricopa County,0,0,06,42021,42021,44130,46799,49318,51777,54657
050,04,015,Arizona,Mohave County,0,0,01,146832,146832,148069,151291,156516,162638,169761
050,04,015,Arizona,Mohave County,0,0,02,887,887,912,1070,1245,1356,1616
050,04,015,Arizona,Mohave County,0,0,03,3899,3899,3949,4157,4232,4315,4399
050,04,015,Arizona,Mohave County,0,0,04,1238,1238,1269,1326,1463,1529,1678
050,04,015,Arizona,Mohave County,0,0,05,204,204,213,231,261,268,274
050,04,015,Arizona,Mohave County,0,0,06,1972,1972,1859,1954,2071,2142,2253
050,04,017,Arizona,Navajo County,0,0,01,48256,48256,48500,48948,50276,51144,52400
050,04,017,Arizona,Navajo County,0,0,02,893,893,914,962,1051,1075,1106
050,04,017,Arizona,Navajo County,0,0,03,46737,46737,47024,47525,49149,50510,51263
050,04,017,Arizona,Navajo County,0,0,04,338,338,339,391,400,399,426
050,04,017,Arizona,Navajo County,0,0,05,57,57,32,35,44,53,50
050,04,017,Arizona,Navajo County,0,0,06,1189,1189,1128,1144,1186,1198,1210
050,04,019,Arizona,Pima County,0,0,01,754242,754242,758258,768538,782076,793198,806465
050,04,019,Arizona,Pima County,0,0,02,27495,27495,27670,28502,29245,29924,30833
050,04,019,Arizona,Pima County,0,0,03,29247,29247,29512,30269,30649,31058,31583
050,04,019,Arizona,Pima County,0,0,04,18263,18263,18442,18958,19860,20615,21423
050,04,019,Arizona,Pima County,0,0,05,1336,1336,1390,1402,1450,1494,1540
050,04,019,Arizona,Pima County,0,0,06,13163,13163,13282,13739,14249,14698,15215
050,04,021,Arizona,Pinal County,0,0,01,156288,156288,157928,162784,169541,177888,186326
050,04,021,Arizona,Pinal County,0,0,02,5321,5321,5372,5653,6188,6617,7188
050,04,021,Arizona,Pinal County,0,0,03,14608,14608,14802,15015,15437,15904,16260
050,04,021,Arizona,Pinal County,0,0,04,1261,1261,1266,1307,1446,1631,1878
050,04,021,Arizona,Pinal County,0,0,05,223,223,304,318,339,369,397
050,04,021,Arizona,Pinal County,0,0,06,2026,2026,1798,1850,1991,2120,2310
050,04,023,Arizona,Santa Cruz County,0,0,01,37464,37464,37713,38182,38787,39313,39862
050,04,023,Arizona,Santa Cruz County,0,0,02,171,171,170,188,180,196,212
050,04,023,Arizona,Santa Cruz County,0,0,03,304,304,308,312,299,307,325
050,04,023,Arizona,Santa Cruz County,0,0,04,238,238,242,232,233,240,252
050,04,023,Arizona,Santa Cruz County,0,0,05,47,47,51,56,47,57,57
050,04,023,Arizona,Santa Cruz County,0,0,06,157,157,80,75,69,72,76
050,04,025,Arizona,Yavapai County,0,0,01,160845,160845,162361,166759,171737,176754,182375
050,04,025,Arizona,Yavapai County,0,0,02,715,715,731,833,936,1070,1181
050,04,025,Arizona,Yavapai County,0,0,03,2784,2784,2827,2932,3011,3131,3222
050,04,025,Arizona,Yavapai County,0,0,04,889,889,909,971,1056,1105,1180
050,04,025,Arizona,Yavapai County,0,0,05,146,146,136,150,165,171,195
050,04,025,Arizona,Yavapai County,0,0,06,2138,2138,2019,2098,2233,2345,2475
050,04,027,Arizona,Yuma County,0,0,01,149256,149256,150142,152562,155447,158990,164002
050,04,027,Arizona,Yuma County,0,0,02,4006,4006,3999,4109,4243,4426,4589
050,04,027,Arizona,Yuma County,0,0,03,2948,2948,2972,3037,3117,3172,3254
050,04,027,Arizona,Yuma County,0,0,04,1767,1767,1686,1725,1788,1837,1924
050,04,027,Arizona,Yuma County,0,0,05,301,301,432,447,471,494,517
050,04,027,Arizona,Yuma County,0,0,06,1748,1748,1519,1597,1649,1685,1797
050,04,001,Arizona,Apache County,0,1,01,12404,12404,12437,12443,12240,12684,13164
050,04,001,Arizona,Apache County,0,1,02,163,163,172,226,231,260,278
050,04,001,Arizona,Apache County,0,1,03,53089,53089,52868,51535,51187,51433,51648
050,04,001,Arizona,Apache County,0,1,04,88,88,87,104,119,112,122
050,04,001,Arizona,Apache County,0,1,05,34,34,20,23,24,26,25
050,04,001,Arizona,Apache County,0,1,06,526,526,475,462,476,487,494
050,04,001,Arizona,Apache County,0,2,01,2584,2584,2586,2455,2672,2786,2558
050,04,001,Arizona,Apache County,0,2,02,20,20,21,24,55,83,98
050,04,001,Arizona,Apache County,0,2,03,439,439,444,440,453,462,457
050,04,001,Arizona,Apache County,0,2,04,12,12,9,7,9,11,11
050,04,001,Arizona,Apache County,0,2,05,12,12,28,30,32,33,33
050,04,001,Arizona,Apache County,0,2,06,52,52,10,8,13,11,15
050,04,003,Arizona,Cochise County,0,1,01,71174,71174,71234,71471,72587,73301,74730
050,04,003,Arizona,Cochise County,0,1,02,5117,5117,5130,4831,4672,4573,4626
050,04,003,Arizona,Cochise County,0,1,03,1010,1010,1084,1079,1111,1169,1195
050,04,003,Arizona,Cochise County,0,1,04,1919,1919,1968,2033,2006,2085,2113
050,04,003,Arizona,Cochise County,0,1,05,274,274,225,227,225,231,236
050,04,003,Arizona,Cochise County,0,1,06,2127,2127,1954,1978,1964,2021,2091
050,04,003,Arizona,Cochise County,0,2,01,34547,34547,34753,35419,35720,36521,37129
050,04,003,Arizona,Cochise County,0,2,02,499,499,501,554,582,632,674
050,04,003,Arizona,Cochise County,0,2,03,515,515,465,447,439,434,428
050,04,003,Arizona,Cochise County,0,2,04,142,142,139,138,138,143,150
050,04,003,Arizona,Cochise County,0,2,05,53,53,96,99,95,100,107
050,04,003,Arizona,Cochise County,0,2,06,378,378,486,497,505,526,534
050,04,005,Arizona,Coconino County,0,1,01,67243,67243,67327,67491,68432,68928,69128
050,04,005,Arizona,Coconino County,0,1,02,1168,1168,1170,1212,1226,1304,1333
050,04,005,Arizona,Coconino County,0,1,03,32631,32631,32761,33275,33992,34378,35172
050,04,005,Arizona,Coconino County,0,1,04,912,912,924,954,972,1081,1090
050,04,005,Arizona,Coconino County,0,1,05,103,103,98,100,102,108,111
050,04,005,Arizona,Coconino County,0,1,06,1536,1536,1586,1601,1624,1668,1655
050,04,005,Arizona,Coconino County,0,2,01,11524,11524,11657,11746,12334,12373,12877
050,04,005,Arizona,Coconino County,0,2,02,116,116,120,143,168,188,217
050,04,005,Arizona,Coconino County,0,2,03,792,792,847,870,906,933,949
050,04,005,Arizona,Coconino County,0,2,04,48,48,49,57,60,58,63
050,04,005,Arizona,Coconino County,0,2,05,25,25,19,21,24,26,25
050,04,005,Arizona,Coconino County,0,2,06,222,222,110,112,116,127,134
050,04,007,Arizona,Gila County,0,1,01,35499,35499,35574,35269,35357,35069,35051
050,04,007,Arizona,Gila County,0,1,02,181,181,191,207,213,259,256
050,04,007,Arizona,Gila County,0,1,03,6452,6452,6447,6660,6742,6853,7012
050,04,007,Arizona,Gila County,0,1,04,216,216,222,239,256,271,263
050,04,007,Arizona,Gila County,0,1,05,25,25,4,5,8,5,6
050,04,007,Arizona,Gila County,0,1,06,416,416,359,359,366,362,364
050,04,007,Arizona,Gila County,0,2,01,8142,8142,8209,8204,8201,8138,8071
050,04,007,Arizona,Gila County,0,2,02,44,44,45,46,47,48,48
050,04,007,Arizona,Gila County,0,2,03,275,275,287,300,308,310,317
050,04,007,Arizona,Gila County,0,2,04,16,16,24,21,19,14,19
050,04,007,Arizona,Gila County,0,2,05,9,9,3,5,7,5,6
050,04,007,Arizona,Gila County,0,2,06,60,60,14,16,15,10,9
050,04,009,Arizona,Graham County,0,1,01,18562,18562,18622,18526,18273,17956,17801
050,04,009,Arizona,Graham County,0,1,02,616,616,628,628,628,635,638
050,04,009,Arizona,Graham County,0,1,03,4837,4837,4848,4857,4889,4964,4944
050,04,009,Arizona,Graham County,0,1,04,183,183,187,188,184,191,190
050,04,009,Arizona,Graham County,0,1,05,11,11,4,7,4,6,7
050,04,009,Arizona,Graham County,0,1,06,226,226,129,126,121,120,123
050,04,009,Arizona,Graham County,0,2,01,8665,8665,8723,8828,8781,8833,8928
050,04,009,Arizona,Graham County,0,2,02,62,62,65,68,65,68,67
050,04,009,Arizona,Graham County,0,2,03,242,242,249,251,247,245,243
050,04,009,Arizona,Graham County,0,2,04,25,25,27,33,27,30,36
050,04,009,Arizona,Graham County,0,2,05,22,22,12,14,14,14,15
050,04,009,Arizona,Graham County,0,2,06,38,38,0,0,0,0,1
050,04,011,Arizona,Greenlee County,0,1,01,4634,4634,4639,4526,4127,3902,3826
050,04,011,Arizona,Greenlee County,0,1,02,34,34,34,34,35,34,35
050,04,011,Arizona,Greenlee County,0,1,03,121,121,125,129,128,125,128
050,04,011,Arizona,Greenlee County,0,1,04,15,15,16,15,15,16,17
050,04,011,Arizona,Greenlee County,0,1,05,1,1,0,0,0,0,1
050,04,011,Arizona,Greenlee County,0,1,06,61,61,40,37,35,34,30
050,04,011,Arizona,Greenlee County,0,2,01,3583,3583,3612,3577,3434,3356,3380
050,04,011,Arizona,Greenlee County,0,2,02,18,18,20,19,20,21,21
050,04,011,Arizona,Greenlee County,0,2,03,35,35,40,40,38,36,38
050,04,011,Arizona,Greenlee County,0,2,04,7,7,3,6,5,6,6
050,04,011,Arizona,Greenlee County,0,2,05,8,8,15,15,14,14,14
050,04,011,Arizona,Greenlee County,0,2,06,30,30,5,4,5,4,5
050,04,012,Arizona,La Paz County,0,1,01,12621,12621,12652,12672,12590,12605,12759
050,04,012,Arizona,La Paz County,0,1,02,151,151,156,154,162,165,161
050,04,012,Arizona,La Paz County,0,1,03,2187,2187,2180,2078,2097,2122,2173
050,04,012,Arizona,La Paz County,0,1,04,78,78,72,72,77,79,83
050,04,012,Arizona,La Paz County,0,1,05,9,9,5,4,3,6,9
050,04,012,Arizona,La Paz County,0,1,06,249,249,192,181,183,176,185
050,04,012,Arizona,La Paz County,0,2,01,3900,3900,3896,3940,3882,4010,4000
050,04,012,Arizona,La Paz County,0,2,02,28,28,29,30,29,30,30
050,04,012,Arizona,La Paz County,0,2,03,424,424,426,423,432,441,444
050,04,012,Arizona,La Paz County,0,2,04,4,4,6,10,11,12,10
050,04,012,Arizona,La Paz County,0,2,05,14,14,14,13,13,15,12
050,04,012,Arizona,La Paz County,0,2,06,50,50,29,32,34,35,32
050,04,013,Arizona,Maricopa County,0,1,01,2046444,2046444,2054860,2084947,2115867,2147573,2187874
050,04,013,Arizona,Maricopa County,0,1,02,110195,110195,110863,115656,120709,125319,131532
050,04,013,Arizona,Maricopa County,0,1,03,47607,47607,48390,51028,52529,54264,56519
050,04,013,Arizona,Maricopa County,0,1,04,66018,66018,67005,71148,75329,79486,84793
050,04,013,Arizona,Maricopa County,0,1,05,3910,3910,4023,4220,4424,4603,4854
050,04,013,Arizona,Maricopa County,0,1,06,34634,34634,36161,38260,40211,42141,44471
050,04,013,Arizona,Maricopa County,0,2,01,723809,723809,735009,788055,838939,887390,940234
050,04,013,Arizona,Maricopa County,0,2,02,11054,11054,11158,12497,13873,15100,16494
050,04,013,Arizona,Maricopa County,0,2,03,15364,15364,15349,15821,16199,16515,16945
050,04,013,Arizona,Maricopa County,0,2,04,3998,3998,4157,4441,4708,4946,5206
050,04,013,Arizona,Maricopa County,0,2,05,1729,1729,1532,1619,1711,1795,1893
050,04,013,Arizona,Maricopa County,0,2,06,7387,7387,7969,8539,9107,9636,10186
050,04,015,Arizona,Mohave County,0,1,01,130760,130760,131678,134018,138424,143404,149130
050,04,015,Arizona,Mohave County,0,1,02,795,795,814,926,1040,1106,1267
050,04,015,Arizona,Mohave County,0,1,03,3275,3275,3329,3508,3556,3609,3653
050,04,015,Arizona,Mohave County,0,1,04,1145,1145,1173,1217,1351,1406,1541
050,04,015,Arizona,Mohave County,0,1,05,152,152,149,156,170,180,181
050,04,015,Arizona,Mohave County,0,1,06,1723,1723,1667,1752,1858,1904,1996
050,04,015,Arizona,Mohave County,0,2,01,16072,16072,16391,17273,18092,19234,20631
050,04,015,Arizona,Mohave County,0,2,02,92,92,98,144,205,250,349
050,04,015,Arizona,Mohave County,0,2,03,624,624,620,649,676,706,746
050,04,015,Arizona,Mohave County,0,2,04,93,93,96,109,112,123,137
050,04,015,Arizona,Mohave County,0,2,05,52,52,64,75,91,88,93
050,04,015,Arizona,Mohave County,0,2,06,249,249,192,202,213,238,257
050,04,017,Arizona,Navajo County,0,1,01,41339,41339,41497,41868,42518,43092,44176
050,04,017,Arizona,Navajo County,0,1,02,799,799,820,856,922,939,964
050,04,017,Arizona,Navajo County,0,1,03,45918,45918,46158,46658,48272,49627,50370
050,04,017,Arizona,Navajo County,0,1,04,321,321,320,369,376,370,396
050,04,017,Arizona,Navajo County,0,1,05,43,43,23,27,30,36,35
050,04,017,Arizona,Navajo County,0,1,06,1039,1039,1076,1086,1128,1130,1141
050,04,017,Arizona,Navajo County,0,2,01,6917,6917,7003,7080,7758,8052,8224
050,04,017,Arizona,Navajo County,0,2,02,94,94,94,106,129,136,142
050,04,017,Arizona,Navajo County,0,2,03,819,819,866,867,877,883,893
050,04,017,Arizona,Navajo County,0,2,04,17,17,19,22,24,29,30
050,04,017,Arizona,Navajo County,0,2,05,14,14,9,8,14,17,15
050,04,017,Arizona,Navajo County,0,2,06,150,150,52,58,58,68,69
050,04,019,Arizona,Pima County,0,1,01,521645,521645,522740,524382,528406,530881,535562
050,04,019,Arizona,Pima County,0,1,02,24329,24329,24445,25038,25509,25946,26616
050,04,019,Arizona,Pima County,0,1,03,22071,22071,22182,22880,23213,23622,24146
050,04,019,Arizona,Pima County,0,1,04,16949,16949,17170,17637,18488,19194,19950
050,04,019,Arizona,Pima County,0,1,05,914,914,961,967,1005,1031,1057
050,04,019,Arizona,Pima County,0,1,06,10260,10260,10431,10747,11115,11432,11808
050,04,019,Arizona,Pima County,0,2,01,232597,232597,235518,244156,253670,262317,270903
050,04,019,Arizona,Pima County,0,2,02,3166,3166,3225,3464,3736,3978,4217
050,04,019,Arizona,Pima County,0,2,03,7176,7176,7330,7389,7436,7436,7437
050,04,019,Arizona,Pima County,0,2,04,1314,1314,1272,1321,1372,1421,1473
050,04,019,Arizona,Pima County,0,2,05,422,422,429,435,445,463,483
050,04,019,Arizona,Pima County,0,2,06,2903,2903,2851,2992,3134,3266,3407
050,04,021,Arizona,Pinal County,0,1,01,106087,106087,106957,109825,114350,119751,125306
050,04,021,Arizona,Pinal County,0,1,02,4697,4697,4737,4960,5433,5798,6292
050,04,021,Arizona,Pinal County,0,1,03,12535,12535,12664,12830,13173,13590,13896
050,04,021,Arizona,Pinal County,0,1,04,1031,1031,1041,1081,1211,1389,1621
050,04,021,Arizona,Pinal County,0,1,05,113,113,133,146,158,177,201
050,04,021,Arizona,Pinal County,0,1,06,1593,1593,1439,1470,1582,1692,1856
050,04,021,Arizona,Pinal County,0,2,01,50201,50201,50971,52959,55191,58137,61020
050,04,021,Arizona,Pinal County,0,2,02,624,624,635,693,755,819,896
050,04,021,Arizona,Pinal County,0,2,03,2073,2073,2138,2185,2264,2314,2364
050,04,021,Arizona,Pinal County,0,2,04,230,230,225,226,235,242,257
050,04,021,Arizona,Pinal County,0,2,05,110,110,171,172,181,192,196
050,04,021,Arizona,Pinal County,0,2,06,433,433,359,380,409,428,454
050,04,023,Arizona,Santa Cruz County,0,1,01,6901,6901,6967,7080,7190,7279,7327
050,04,023,Arizona,Santa Cruz County,0,1,02,82,82,82,87,83,91,99
050,04,023,Arizona,Santa Cruz County,0,1,03,95,95,102,113,105,117,136
050,04,023,Arizona,Santa Cruz County,0,1,04,192,192,188,181,184,196,207
050,04,023,Arizona,Santa Cruz County,0,1,05,17,17,9,11,10,10,14
