table with row headers in column A and column headers in row 4,,,,,
"Table 12.  Missouri Incorporated Place Population Estimates and Population Change, Sorted within County: April 1, 2000 to July 1, 2002",,,,,
(leading dots indicate sub-parts),,,,,
Place,State,"July 1, 2002 Population","April 1, 2000 Population Estimates Base",Numerical Population Change,Percent Population Change
.Reeds town,Missouri,107,103,4,3.9
.Sarcoxie city,Missouri,"1,354","1,354",-,-
.Waco town,Missouri,88,86,2,2.3
.Webb City city,Missouri,"10,151","9,812",339,3.5
.Balance of Jasper County,Missouri,"26,367","25,640",727,2.8
Jefferson County,Missouri,"203,993","198,099","5,894",3.0
.Arnold city,Missouri,"19,962","19,968",-6,-
.Byrnes Mill city,Missouri,"2,515","2,376",139,5.9
.Cedar Hill Lakes village,Missouri,225,229,-4,-1.7
.Crystal City city,Missouri,"4,414","4,247",167,3.9
.De Soto city,Missouri,"6,522","6,433",89,1.4
.Festus city,Missouri,"9,757","9,703",54,0.6
.Herculaneum city,Missouri,"3,043","2,805",238,8.5
.Hillsboro city,Missouri,"1,679","1,675",4,0.2
.Kimmswick city,Missouri,92,94,-2,-2.1
.Olympian Village city,Missouri,689,669,20,3.0
.Parkdale village,Missouri,202,205,-3,-1.5
.Pevely city,Missouri,"3,970","3,775",195,5.2
.Scotsdale town,Missouri,213,211,2,0.9
.Balance of Jefferson County,Missouri,"150,710","145,709","5,001",3.4
Johnson County,Missouri,"49,779","48,258","1,521",3.2
.Centerview city,Missouri,255,249,6,2.4
.Chilhowee town,Missouri,337,329,8,2.4
.Holden city,Missouri,"2,566","2,510",56,2.2
.Kingsville city,Missouri,262,257,5,1.9
.Knob Noster city,Missouri,"2,533","2,462",71,2.9
.La Tour village,Missouri,66,65,1,1.5
.Leeton city,Missouri,626,619,7,1.1
.Warrensburg city,Missouri,"16,938","16,340",598,3.7
.Balance of Johnson County,Missouri,"26,196","25,427",769,3.0
Knox County,Missouri,"4,285","4,361",-76,-1.7
.Baring city,Missouri,156,159,-3,-1.9
.Edina city,Missouri,"1,205","1,233",-28,-2.3
.Hurdland city,Missouri,236,239,-3,-1.3
.Knox City city,Missouri,220,223,-3,-1.3
.Newark village,Missouri,98,100,-2,-2.0
.Novelty village,Missouri,117,119,-2,-1.7
.Balance of Knox County,Missouri,"2,253","2,288",-35,-1.5
Laclede County,Missouri,"32,757","32,513",244,0.8
.Conway city,Missouri,739,743,-4,-0.5
.Lebanon city,Missouri,"12,386","12,249",137,1.1
.Phillipsburg village,Missouri,201,201,-,-
.Richland city (pt.),Missouri,87,85,2,2.4
.Stoutland city (pt.),Missouri,31,31,-,-
.Twin Bridges village,Missouri,42,42,-,-
.Balance of Laclede County,Missouri,"19,271","19,162",109,0.6
Lafayette County,Missouri,"33,125","32,960",165,0.5
.Alma city,Missouri,394,399,-5,-1.3
.Aullville village,Missouri,86,86,-,-
.Bates City city,Missouri,249,245,4,1.6
.Blackburn city (pt.),Missouri,23,23,-,-
.Concordia city,Missouri,"2,351","2,360",-9,-0.4
.Corder city,Missouri,430,427,3,0.7
.Dover town,Missouri,109,108,1,0.9
.Emma city (pt.),Missouri,100,99,1,1.0
.Higginsville city,Missouri,"4,700","4,685",15,0.3
.Lake Lafayette city,Missouri,360,346,14,4.0
.Lexington city,Missouri,"4,729","4,764",-35,-0.7
.Mayview city,Missouri,298,294,4,1.4
.Napoleon city,Missouri,211,208,3,1.4
.Oak Grove city (pt.),Missouri,60,18,42,233.3
.Odessa city,Missouri,"4,887","4,818",69,1.4
.Waverly city,Missouri,816,806,10,1.2
.Wellington city,Missouri,792,784,8,1.0
.Balance of Lafayette County,Missouri,"12,530","12,490",40,0.3
Lawrence County,Missouri,"36,082","35,204",878,2.5
.Aurora city,Missouri,"7,097","7,025",72,1.0
.Freistatt village,Missouri,188,184,4,2.2
.Halltown village,Missouri,195,189,6,3.2
.Hoberg village,Missouri,61,60,1,1.7
.Marionville city,Missouri,"2,137","2,113",24,1.1
.Miller city,Missouri,771,754,17,2.3
.Monett city (pt.),Missouri,"2,322","2,227",95,4.3
.Mount Vernon city,Missouri,"4,164","4,029",135,3.4
.Pierce City city,Missouri,"1,399","1,385",14,1.0
.Stotts City city,Missouri,257,250,7,2.8
.Verona town,Missouri,722,714,8,1.1
.Balance of Lawrence County,Missouri,"16,769","16,274",495,3.0
Lewis County,Missouri,"10,384","10,494",-110,-1.0
.Canton city,Missouri,"2,535","2,557",-22,-0.9
.Ewing city,Missouri,460,464,-4,-0.9
.La Belle city,Missouri,661,669,-8,-1.2
.La Grange city,Missouri,989,"1,000",-11,-1.1
.Lewistown town,Missouri,589,595,-6,-1.0
.Monticello village,Missouri,124,126,-2,-1.6
.Balance of Lewis County,Missouri,"5,026","5,083",-57,-1.1
Lincoln County,Missouri,"42,280","38,944","3,336",8.6
.Cave town,Missouri,7,7,-,-
.Chain of Rocks village,Missouri,98,91,7,7.7
.Elsberry city,Missouri,"2,191","2,047",144,7.0
.Foley city,Missouri,187,178,9,5.1
.Fountain N' Lakes village,Missouri,145,129,16,12.4
.Hawk Point city,Missouri,491,459,32,7.0
.Moscow Mills city,Missouri,"1,915","1,742",173,9.9
.Old Monroe city,Missouri,263,250,13,5.2
.Silex village,Missouri,213,206,7,3.4
.Troy city,Missouri,"7,668","6,737",931,13.8
.Truxton village,Missouri,102,96,6,6.3
.Whiteside village,Missouri,73,67,6,9.0
.Winfield city,Missouri,774,723,51,7.1
.Balance of Lincoln County,Missouri,"28,153","26,212","1,941",7.4
Linn County,Missouri,"13,515","13,754",-239,-1.7
.Brookfield city,Missouri,"4,666","4,769",-103,-2.2
.Browning city (pt.),Missouri,230,234,-4,-1.7
.Bucklin city,Missouri,510,524,-14,-2.7
.Laclede city,Missouri,415,415,-,-
.Linneus city,Missouri,365,369,-4,-1.1
.Marceline city (pt.),Missouri,"2,487","2,558",-71,-2.8
.Meadville city,Missouri,452,457,-5,-1.1
.Purdin city,Missouri,218,223,-5,-2.2
.Balance of Linn County,Missouri,"4,172","4,205",-33,-0.8
Livingston County,Missouri,"14,283","14,558",-275,-1.9
.Chillicothe city,Missouri,"8,732","8,958",-226,-2.5
.Chula city,Missouri,191,198,-7,-3.5
.Ludlow town,Missouri,198,204,-6,-2.9
.Mooresville village,Missouri,87,89,-2,-2.2
.Utica village,Missouri,270,274,-4,-1.5
.Wheeling city,Missouri,263,268,-5,-1.9
.Balance of Livingston County,Missouri,"4,542","4,567",-25,-0.5
McDonald County,Missouri,"21,687","21,681",6,-
.Anderson city,Missouri,"1,828","1,856",-28,-1.5
.Goodman town,Missouri,"1,184","1,183",1,0.1
.Lanagan town,Missouri,409,411,-2,-0.5
.Noel city,Missouri,"1,446","1,480",-34,-2.3
.Pineville town,Missouri,761,768,-7,-0.9
.South West City town,Missouri,852,855,-3,-0.4
.Balance of McDonald County,Missouri,"15,207","15,128",79,0.5
Macon County,Missouri,"15,497","15,762",-265,-1.7
.Atlanta city,Missouri,444,450,-6,-1.3
.Bevier city,Missouri,717,723,-6,-0.8
.Callao city,Missouri,283,291,-8,-2.7
.Elmer city,Missouri,96,98,-2,-2.0
.Ethel town,Missouri,99,100,-1,-1.0
.La Plata city,Missouri,"1,449","1,486",-37,-2.5
.Macon city,Missouri,"5,427","5,558",-131,-2.4
.New Cambria city,Missouri,219,222,-3,-1.4
.South Gifford village,Missouri,70,72,-2,-2.8
.Balance of Macon County,Missouri,"6,693","6,762",-69,-1.0
Madison County,Missouri,"11,807","11,800",7,0.1
.Cobalt village,Missouri,190,189,1,0.5
.Fredericktown city,Missouri,"3,877","3,928",-51,-1.3
.Junction City village,Missouri,325,319,6,1.9
.Marquand city,Missouri,250,251,-1,-0.4
.Balance of Madison County,Missouri,"7,165","7,113",52,0.7
Maries County,Missouri,"8,700","8,903",-203,-2.3
.Argyle town (pt.),Missouri,8,8,-,-
.Belle city (pt.),Missouri,"1,161","1,195",-34,-2.8
.Vienna city,Missouri,612,628,-16,-2.5
.Balance of Maries County,Missouri,"6,919","7,072",-153,-2.2
Marion County,Missouri,"28,079","28,289",-210,-0.7
.Hannibal city (pt.),Missouri,"17,257","17,503",-246,-1.4
.Monroe City city (pt.),Missouri,508,506,2,0.4
.Palmyra city,Missouri,"3,448","3,467",-19,-0.5
.Balance of Marion County,Missouri,"6,866","6,813",53,0.8
Mercer County,Missouri,"3,669","3,757",-88,-2.3
.Mercer town,Missouri,333,342,-9,-2.6
.Princeton city,Missouri,"1,007","1,047",-40,-3.8
.South Lineville town,Missouri,36,37,-1,-2.7
.Balance of Mercer County,Missouri,"2,293","2,331",-38,-1.6
Miller County,Missouri,"24,176","23,564",612,2.6
.Bagnell town,Missouri,91,86,5,5.8
.Brumley town,Missouri,107,102,5,4.9
.Eldon city,Missouri,"4,926","4,895",31,0.6
.Iberia city,Missouri,614,605,9,1.5
.Lake Ozark city (pt.),Missouri,"1,532","1,367",165,12.1
.Lakeside city,Missouri,37,37,-,-
.Olean town,Missouri,159,157,2,1.3
.Osage Beach city (pt.),Missouri,274,251,23,9.2
.St. Elizabeth village,Missouri,300,297,3,1.0
.Tuscumbia town,Missouri,220,218,2,0.9
.Balance of Miller County,Missouri,"15,916","15,549",367,2.4
Mississippi County,Missouri,"13,966","13,427",539,4.0
.Anniston town,Missouri,281,285,-4,-1.4
.Bertrand city,Missouri,720,740,-20,-2.7
.Charleston city,Missouri,"5,465","4,732",733,15.5
.East Prairie city,Missouri,"3,135","3,227",-92,-2.9
.Miner city (pt.),Missouri,1,-,1,(X)
.Pinhook village,Missouri,48,48,-,-
.Wilson City village,Missouri,163,165,-2,-1.2
.Wyatt city,Missouri,352,364,-12,-3.3
.Balance of Mississippi County,Missouri,"3,801","3,866",-65,-1.7
Moniteau County,Missouri,"15,023","14,827",196,1.3
.California city,Missouri,"4,068","4,005",63,1.6
.Clarksburg city,Missouri,385,375,10,2.7
.Jamestown town,Missouri,392,382,10,2.6
.Lupus town,Missouri,29,29,-,-
.Tipton city,Missouri,"3,224","3,261",-37,-1.1
.Balance of Moniteau County,Missouri,"6,925","6,775",150,2.2
Monroe County,Missouri,"9,262","9,311",-49,-0.5
.Goss town,Missouri,-,-,-,(X)
.Holliday village,Missouri,129,129,-,-
.Madison city,Missouri,571,586,-15,-2.6
.Monroe City city (pt.),Missouri,"2,060","2,082",-22,-1.1
.Paris city,Missouri,"1,490","1,529",-39,-2.6
.Stoutsville village,Missouri,44,44,-,-
.Balance of Monroe County,Missouri,"4,968","4,941",27,0.5
Montgomery County,Missouri,"12,063","12,136",-73,-0.6
.Bellflower city,Missouri,427,427,-,-
.High Hill city,Missouri,231,231,-,-
.Jonesburg city,Missouri,687,695,-8,-1.2
.McKittrick town,Missouri,70,72,-2,-2.8
.Middletown town,Missouri,198,199,-1,-0.5
.Montgomery City city,Missouri,"2,435","2,442",-7,-0.3
.New Florence city,Missouri,781,764,17,2.2
.Rhineland town,Missouri,173,176,-3,-1.7
.Wellsville city,Missouri,"1,407","1,423",-16,-1.1
.Balance of Montgomery County,Missouri,"5,654","5,707",-53,-0.9
Morgan County,Missouri,"19,593","19,309",284,1.5
.Barnett city,Missouri,210,207,3,1.4
.Gravois Mills town,Missouri,215,208,7,3.4
.Laurie village,Missouri,675,663,12,1.8
.Stover city,Missouri,979,968,11,1.1
.Sunrise Beach village (pt.),Missouri,97,96,1,1.0
.Syracuse city,Missouri,175,172,3,1.7
.Versailles city,Missouri,"2,597","2,565",32,1.2
.Balance of Morgan County,Missouri,"14,645","14,430",215,1.5
New Madrid County,Missouri,"19,138","19,760",-622,-3.1
.Canalou city,Missouri,337,348,-11,-3.2
.Catron town,Missouri,67,68,-1,-1.5
.Gideon city,Missouri,"1,064","1,113",-49,-4.4
.Howardville city,Missouri,328,342,-14,-4.1
.Lilbourn city,Missouri,"1,270","1,303",-33,-2.5
.Marston city,Missouri,595,610,-15,-2.5
.Matthews city,Missouri,576,605,-29,-4.8
.Morehouse city,Missouri,987,"1,015",-28,-2.8
.New Madrid city,Missouri,"3,217","3,334",-117,-3.5
.North Lilbourn village,Missouri,92,95,-3,-3.2
.Parma city,Missouri,826,852,-26,-3.1
.Portageville city (pt.),Missouri,"3,156","3,295",-139,-4.2
.Risco city,Missouri,381,392,-11,-2.8
.Sikeston city (pt.),Missouri,"1,008","1,018",-10,-1.0
.Tallapoosa city,Missouri,201,204,-3,-1.5
.Balance of New Madrid County,Missouri,"5,033","5,166",-133,-2.6
Newton County,Missouri,"53,130","52,636",494,0.9
.Cliff Village village,Missouri,33,33,-,-
.Dennis Acres village,Missouri,69,68,1,1.5
.Diamond town,Missouri,811,807,4,0.5
.Fairview town,Missouri,396,395,1,0.3
.Granby city,Missouri,"2,128","2,121",7,0.3
.Grand Falls Plaza town,Missouri,104,104,-,-
.Joplin city (pt.),Missouri,"5,152","5,071",81,1.6
.Leawood village,Missouri,907,904,3,0.3
.Loma Linda town,Missouri,497,507,-10,-2.0
.Neosho city,Missouri,"10,597","10,532",65,0.6
.Newtonia town,Missouri,232,231,1,0.4
.Redings Mill village,Missouri,158,159,-1,-0.6
.Ritchey town,Missouri,76,76,-,-
.Saginaw village,Missouri,280,276,4,1.4
.Seneca city,Missouri,"2,128","2,135",-7,-0.3
.Shoal Creek Drive village,Missouri,345,346,-1,-0.3
.Shoal Creek Estates town,Missouri,51,51,-,-
.Silver Creek village,Missouri,607,608,-1,-0.2
.Stark City town,Missouri,156,156,-,-
.Stella town,Missouri,178,178,-,-
.Wentworth village,Missouri,141,141,-,-
.Balance of Newton County,Missouri,"28,084","27,737",347,1.3
Nodaway County,Missouri,"21,651","21,912",-261,-1.2
.Arkoe town,Missouri,58,58,-,-
.Barnard city,Missouri,252,257,-5,-1.9
.Burlington Junction city,Missouri,618,632,-14,-2.2
.Clearmont city,Missouri,186,191,-5,-2.6
.Clyde village,Missouri,73,74,-1,-1.4
.Conception Junction town,Missouri,198,202,-4,-2.0
.Elmo city,Missouri,162,166,-4,-2.4
.Graham town,Missouri,188,191,-3,-1.6
.Guilford town,Missouri,85,87,-2,-2.3
.Hopkins city,Missouri,565,579,-14,-2.4
.Maryville city,Missouri,"10,565","10,622",-57,-0.5
.Parnell city,Missouri,192,197,-5,-2.5
.Pickering town,Missouri,149,154,-5,-3.2
.Quitman town,Missouri,46,46,-,-
.Ravenwood town,Missouri,444,448,-4,-0.9
.Skidmore city,Missouri,334,342,-8,-2.3
.Balance of Nodaway County,Missouri,"7,536","7,666",-130,-1.7
Oregon County,Missouri,"10,265","10,344",-79,-0.8
.Alton city,Missouri,650,668,-18,-2.7
.Koshkonong town,Missouri,203,205,-2,-1.0
.Thayer city,Missouri,"2,143","2,201",-58,-2.6
.Balance of Oregon County,Missouri,"7,269","7,270",-1,-
Osage County,Missouri,"13,040","13,062",-22,-0.2
.Argyle town (pt.),Missouri,155,156,-1,-0.6
.Belle city (pt.),Missouri,149,149,-,-
.Bland city (pt.),Missouri,-,-,-,(X)
.Chamois city,Missouri,456,456,-,-
.Freeburg village,Missouri,422,423,-1,-0.2
.Linn city,Missouri,"1,401","1,402",-1,-0.1
.Meta city,Missouri,248,249,-1,-0.4
.Westphalia city,Missouri,318,320,-2,-0.6
.Balance of Osage County,Missouri,"9,891","9,907",-16,-0.2
Ozark County,Missouri,"9,397","9,542",-145,-1.5
.Bakersfield village,Missouri,281,285,-4,-1.4
.Gainesville city,Missouri,610,632,-22,-3.5
.Theodosia village,Missouri,243,240,3,1.3
.Balance of Ozark County,Missouri,"8,263","8,385",-122,-1.5
Pemiscot County,Missouri,"19,849","20,047",-198,-1.0
.Bragg City town,Missouri,191,189,2,1.1
.Caruthersville city,Missouri,"6,636","6,760",-124,-1.8
.Cooter city,Missouri,441,440,1,0.2
.Hayti city,Missouri,"3,158","3,207",-49,-1.5
.Hayti Heights city,Missouri,778,771,7,0.9
.Holland town,Missouri,245,246,-1,-0.4
.Homestown city,Missouri,180,181,-1,-0.6
.North Wardell village,Missouri,170,170,-,-
.Pascola village,Missouri,141,138,3,2.2
.Portageville city (pt.),Missouri,1,-,1,(X)
.Steele city,Missouri,"2,223","2,263",-40,-1.8
.Wardell town,Missouri,271,278,-7,-2.5
.Balance of Pemiscot County,Missouri,"5,414","5,404",10,0.2
Perry County,Missouri,"18,274","18,132",142,0.8
.Altenburg city,Missouri,311,309,2,0.6
.Biehle village,Missouri,11,11,-,-
.Frohna city,Missouri,197,192,5,2.6
.Longtown town,Missouri,76,76,-,-
.Perryville city,Missouri,"7,743","7,716",27,0.3
.Balance of Perry County,Missouri,"9,936","9,828",108,1.1
Pettis County,Missouri,"39,542","39,403",139,0.4
.Green Ridge city,Missouri,442,445,-3,-0.7
.Houstonia city,Missouri,279,275,4,1.5
.Hughesville village,Missouri,176,174,2,1.1
.Ionia town (pt.),Missouri,-,-,-,(X)
.La Monte city,Missouri,"1,054","1,064",-10,-0.9
.Sedalia city,Missouri,"20,225","20,339",-114,-0.6
.Smithton city,Missouri,502,510,-8,-1.6
.Windsor city (pt.),Missouri,116,97,19,19.6
.Balance of Pettis County,Missouri,"16,748","16,499",249,1.5
Phelps County,Missouri,"40,932","39,825","1,107",2.8
.Doolittle city,Missouri,658,644,14,2.2
.Edgar Springs city,Missouri,189,190,-1,-0.5
.Newburg city,Missouri,478,484,-6,-1.2
.Rolla city,Missouri,"16,962","16,367",595,3.6
.St. James city,Missouri,"3,884","3,718",166,4.5
.Balance of Phelps County,Missouri,"18,761","18,422",339,1.8
Pike County,Missouri,"18,389","18,351",38,0.2
.Annada village,Missouri,48,48,-,-
.Bowling Green city,Missouri,"5,203","5,166",37,0.7
.Clarksville city,Missouri,493,490,3,0.6
.Curryville city,Missouri,251,251,-,-
.Eolia village,Missouri,438,435,3,0.7
.Frankford city,Missouri,351,351,-,-
.Louisiana city,Missouri,"3,805","3,863",-58,-1.5
.Paynesville village,Missouri,93,91,2,2.2
.Balance of Pike County,Missouri,"7,707","7,656",51,0.7
Platte County,Missouri,"77,655","73,781","3,874",5.3
.Camden Point city,Missouri,519,484,35,7.2
.Dearborn city (pt.),Missouri,536,529,7,1.3
.Edgerton city,Missouri,543,540,3,0.6
.Farley village,Missouri,229,226,3,1.3
.Ferrelview village,Missouri,605,593,12,2.0
.Houston Lake city,Missouri,283,284,-1,-0.4
.Iatan village,Missouri,68,66,2,3.0
.Kansas City city (pt.),Missouri,"35,911","34,626","1,285",3.7
.Lake Waukomis city,Missouri,919,917,2,0.2
.Northmoor city,Missouri,410,399,11,2.8
.Parkville city,Missouri,"4,644","4,059",585,14.4
.Platte City city,Missouri,"4,598","3,866",732,18.9
.Platte Woods city,Missouri,471,474,-3,-0.6
.Ridgely village,Missouri,70,67,3,4.5
.Riverside city,Missouri,"2,975","2,979",-4,-0.1
.Smithville city (pt.),Missouri,1,-,1,(X)
.Tracy city,Missouri,214,213,1,0.5
.Weatherby Lake city,Missouri,"1,879","1,873",6,0.3
.Weston city,Missouri,"1,642","1,632",10,0.6
.Balance of Platte County,Missouri,"21,138","19,954","1,184",5.9
Polk County,Missouri,"27,710","26,992",718,2.7
.Aldrich village,Missouri,75,75,-,-
.Bolivar city,Missouri,"9,455","9,146",309,3.4
.Fair Play city,Missouri,427,418,9,2.2
.Flemington village,Missouri,126,124,2,1.6
.Halfway village,Missouri,179,176,3,1.7
.Humansville city,Missouri,960,946,14,1.5
.Morrisville town,Missouri,350,344,6,1.7
.Pleasant Hope city,Missouri,552,548,4,0.7
.Balance of Polk County,Missouri,"15,586","15,215",371,2.4
Pulaski County,Missouri,"43,263","41,165","2,098",5.1
.Crocker city,Missouri,"1,034","1,033",1,0.1
.Dixon city,Missouri,"1,601","1,570",31,2.0
.Richland city (pt.),Missouri,"1,628","1,618",10,0.6
.St. Robert city,Missouri,"2,862","2,777",85,3.1
.Waynesville city,Missouri,"3,531","3,507",24,0.7
.Balance of Pulaski County,Missouri,"32,607","30,660","1,947",6.4
Putnam County,Missouri,"5,208","5,223",-15,-0.3
.Livonia village,Missouri,114,114,-,-
.Lucerne village,Missouri,91,92,-1,-1.1
.Powersville village,Missouri,86,86,-,-
.Unionville city,Missouri,"2,016","2,041",-25,-1.2
.Worthington village,Missouri,89,89,-,-
.Balance of Putnam County,Missouri,"2,812","2,801",11,0.4
Ralls County,Missouri,"9,584","9,626",-42,-0.4
.Center city,Missouri,633,644,-11,-1.7
.Hannibal city (pt.),Missouri,260,254,6,2.4
.Monroe City city (pt.),Missouri,2,-,2,(X)
.New London city,Missouri,984,"1,001",-17,-1.7
.Perry city,Missouri,653,666,-13,-2.0
.Rensselaer village,Missouri,146,145,1,0.7
.Vandalia city (pt.),Missouri,1,-,1,(X)
.Balance of Ralls County,Missouri,"6,905","6,916",-11,-0.2
Randolph County,Missouri,"24,699","24,663",36,0.1
.Cairo village,Missouri,294,293,1,0.3
.Clark city,Missouri,279,275,4,1.5
.Clifton Hill city,Missouri,125,124,1,0.8
.Higbee city,Missouri,630,623,7,1.1
.Huntsville city,Missouri,"1,570","1,553",17,1.1
.Jacksonville village,Missouri,165,163,2,1.2
.Moberly city,Missouri,"13,612","13,753",-141,-1.0
.Renick village,Missouri,229,221,8,3.6
.Balance of Randolph County,Missouri,"7,795","7,658",137,1.8
Ray County,Missouri,"23,811","23,354",457,2.0
.Camden city,Missouri,212,209,3,1.4
.Crystal Lakes city,Missouri,405,383,22,5.7
.Elmira village,Missouri,84,82,2,2.4
.Excelsior Estates village (pt.),Missouri,276,260,16,6.2
.Excelsior Springs city (pt.),Missouri,189,177,12,6.8
.Fleming city,Missouri,125,122,3,2.5
.Hardin city,Missouri,609,614,-5,-0.8
.Henrietta city,Missouri,462,457,5,1.1
.Homestead village,Missouri,187,181,6,3.3
.Lawson city (pt.),Missouri,"2,208","2,194",14,0.6
.Orrick city,Missouri,884,889,-5,-0.6
.Rayville village,Missouri,206,204,2,1.0
.Richmond city,Missouri,"6,099","6,116",-17,-0.3
.Woods Heights city,Missouri,767,742,25,3.4
.Balance of Ray County,Missouri,"11,098","10,724",374,3.5
Reynolds County,Missouri,"6,629","6,689",-60,-0.9
.Bunker city (pt.),Missouri,248,248,-,-
.Centerville city,Missouri,168,171,-3,-1.8
.Ellington city,Missouri,"1,030","1,045",-15,-1.4
.Balance of Reynolds County,Missouri,"5,183","5,225",-42,-0.8
Ripley County,Missouri,"13,399","13,509",-110,-0.8
.Doniphan city,Missouri,"1,876","1,932",-56,-2.9
.Naylor city,Missouri,596,610,-14,-2.3
.Balance of Ripley County,Missouri,"10,927","10,967",-40,-0.4
St. Charles County,Missouri,"303,030","283,883","19,147",6.7
.Augusta town,Missouri,219,218,1,0.5
.Cottleville city,Missouri,"2,046","1,928",118,6.1
.Dardenne Prairie town,Missouri,"4,534","4,384",150,3.4
.Flint Hill city,Missouri,383,379,4,1.1
.Foristell city (pt.),Missouri,300,300,-,-
.Josephville village,Missouri,274,270,4,1.5
.Lake St. Louis city,Missouri,"10,982","10,175",807,7.9
.New Melle city,Missouri,252,253,-1,-0.4
.O'Fallon city,Missouri,"59,678","48,740","10,938",22.4
.Portage Des Sioux city,Missouri,351,351,-,-
.St. Charles city,Missouri,"60,755","60,432",323,0.5
.St. Paul city,Missouri,"1,657","1,634",23,1.4
.St. Peters city,Missouri,"53,596","51,443","2,153",4.2
.Weldon Spring city,Missouri,"5,289","5,270",19,0.4
.Weldon Spring Heights town,Missouri,78,79,-1,-1.3
.Wentzville city,Missouri,"9,992","6,912","3,080",44.6
.West Alton city,Missouri,638,573,65,11.3
.Balance of St. Charles County,Missouri,"92,006","90,542","1,464",1.6
St. Clair County,Missouri,"9,663","9,652",11,0.1
.Appleton City city,Missouri,"1,307","1,314",-7,-0.5
.Collins village,Missouri,176,176,-,-
.Gerster town,Missouri,34,35,-1,-2.9
.Lowry City city,Missouri,729,728,1,0.1
.Osceola city,Missouri,829,835,-6,-0.7
.Roscoe village,Missouri,111,112,-1,-0.9
.Vista village,Missouri,55,55,-,-
.Balance of St. Clair County,Missouri,"6,422","6,397",25,0.4
Ste. Genevieve County,Missouri,"18,104","17,842",262,1.5
.Bloomsdale city,Missouri,424,419,5,1.2
.Ste. Genevieve city,Missouri,"4,492","4,476",16,0.4
.St. Mary city,Missouri,377,377,-,-
.Balance of Ste. Genevieve County,Missouri,"12,811","12,570",241,1.9
St. Francois County,Missouri,"56,775","55,641","1,134",2.0
.Bismarck city,Missouri,"1,500","1,470",30,2.0
.Bonne Terre city,Missouri,"4,116","4,039",77,1.9
.Desloge city,Missouri,"4,907","4,861",46,0.9
.Farmington city,Missouri,"14,085","13,924",161,1.2
.Iron Mountain Lake city,Missouri,693,693,-,-
.Leadington city,Missouri,210,206,4,1.9
.Leadwood city,Missouri,"1,147","1,160",-13,-1.1
.Park Hills city,Missouri,"8,252","7,861",391,5.0
.Balance of St. Francois County,Missouri,"21,865","21,427",438,2.0
St. Louis County,Missouri,"1,018,102","1,016,315","1,787",0.2
.Ballwin city,Missouri,"31,265","31,283",-18,-0.1
.Bella Villa city,Missouri,678,687,-9,-1.3
.Bellefontaine Neighbors city,Missouri,"10,987","11,096",-109,-1.0
.Bellerive village,Missouri,257,254,3,1.2
.Bel-Nor village,Missouri,"1,568","1,598",-30,-1.9
.Bel-Ridge village,Missouri,"3,042","3,082",-40,-1.3
.Berkeley city,Missouri,"9,960","10,063",-103,-1.0
.Beverly Hills city,Missouri,594,603,-9,-1.5
.Black Jack city,Missouri,"6,945","6,792",153,2.3
.Breckenridge Hills city,Missouri,"4,756","4,817",-61,-1.3
.Brentwood city,Missouri,"7,594","7,693",-99,-1.3
.Bridgeton city,Missouri,"15,563","15,550",13,0.1
.Calverton Park village,Missouri,"1,323","1,322",1,0.1
.Champ village,Missouri,16,12,4,33.3
.Charlack city,Missouri,"1,409","1,431",-22,-1.5
.Chesterfield city,Missouri,"47,126","46,802",324,0.7
.Clarkson Valley city,Missouri,"2,663","2,675",-12,-0.4
.Clayton city,Missouri,"16,049","15,935",114,0.7
.Cool Valley city,Missouri,"1,066","1,081",-15,-1.4
.Country Club Hills city,Missouri,"1,365","1,381",-16,-1.2
.Country Life Acres village,Missouri,84,81,3,3.7
.Crestwood city,Missouri,"11,874","11,863",11,0.1
.Creve Coeur city,Missouri,"16,763","16,758",5,-
.Crystal Lake Park city,Missouri,456,457,-1,-0.2
.Dellwood city,Missouri,"5,195","5,255",-60,-1.1
.Des Peres city,Missouri,"8,659","8,592",67,0.8
.Edmundson city,Missouri,830,840,-10,-1.2
.Ellisville city,Missouri,"9,203","9,104",99,1.1
.Eureka city,Missouri,"8,378","7,676",702,9.1
.Fenton city,Missouri,"4,371","4,360",11,0.3
.Ferguson city,Missouri,"22,132","22,406",-274,-1.2
.Flordell Hills city,Missouri,918,931,-13,-1.4
.Florissant city,Missouri,"49,976","50,497",-521,-1.0
.Frontenac city,Missouri,"3,505","3,483",22,0.6
.Glendale city,Missouri,"5,708","5,767",-59,-1.0
.Glen Echo Park village,Missouri,165,166,-1,-0.6
.Grantwood Village town,Missouri,892,883,9,1.0
.Greendale city,Missouri,723,722,1,0.1
.Green Park city,Missouri,"2,679","2,666",13,0.5
.Hanley Hills village,Missouri,"2,122","2,124",-2,-0.1
.Hazelwood city,Missouri,"26,042","26,206",-164,-0.6
.Hillsdale village,Missouri,"1,454","1,477",-23,-1.6
.Huntleigh city,Missouri,329,323,6,1.9
.Jennings city,Missouri,"15,318","15,469",-151,-1.0
.Kinloch city,Missouri,443,449,-6,-1.3
.Kirkwood city,Missouri,"27,425","27,324",101,0.4
.Ladue city,Missouri,"8,626","8,645",-19,-0.2
.Lakeshire city,Missouri,"1,360","1,375",-15,-1.1
.Mackenzie village,Missouri,137,137,-,-
.Manchester city,Missouri,"19,186","19,161",25,0.1
.Maplewood city,Missouri,"9,081","9,228",-147,-1.6
