File with 8 tables (1 table in each tab) with row headers in column A and column headers in rows 4 through 6.,,,,,,,,,,
"Table 9.  Earnings in 2004 by Educational Attainment of the Population 18 Years and Over, by Age, Sex, Race Alone, And Hispanic Origin:  2005",,,,,,,,,,
(leading dots indicate sub-parts),,,,,,,,,,
"Both Sexes
18 Years and Over",Total,High School,,College,,,,,,
,,Not a Graduate,"Graduate, including GED",Some College no degree,Associate's degree,Bachelor's or more,,,,
,,,,,,Total,Bachelor's degree,Master's degree,Professional degree,Doctoral degree
All Workers,,,,,,,,,,
.All Races,,,,,,,,,,
...Median Earnings,"$40,182 ","$24,727 ","$31,682 ","$36,090 ","$40,039 ","$55,501 ","$50,762 ","$60,479 ",$100000+,"$78,988 "
....Standard Error,$80 ,$393 ,$104 ,$192 ,$411 ,$251 ,$181 ,$374 ,"$24,624 ","$1,857 "
...Mean Earnings,"$51,708 ","$29,200 ","$37,419 ","$42,560 ","$44,627 ","$74,083 ","$64,254 ","$79,596 ","$131,621 ","$106,760 "
....Standard Error,$264 ,$725 ,$322 ,$374 ,$397 ,$615 ,$588 ,"$1,511 ","$3,679 ","$3,779 "
.Black Alone,,,,,,,,,,
..With Earnings,"11,619","1,114","4,407","2,438","1,083","2,574","1,838",556,103,75
...Median Earnings,"$30,060 ","$20,715 ","$25,724 ","$30,465 ","$31,210 ","$43,453 ","$40,850 ","$52,003 ","$75,492 ","$72,961 "
....Standard Error,$196 ,$299 ,$195 ,$235 ,$450 ,"$1,400 ",$321 ,$665 ,"$3,736 ","$12,593 "
...Mean Earnings,"$35,477 ","$25,759 ","$28,030 ","$33,254 ","$35,610 ","$54,483 ","$47,755 ","$62,403 ","$107,477 ","$87,231 "
....Standard Error,$374 ,"$2,012 ",$293 ,$456 ,$750 ,"$1,128 ","$1,003 ","$1,931 ","$15,068 ","$11,455 "
.Asian Alone,,,,,,,,,,
..With Earnings,"4,633",328,892,512,331,"2,568","1,612",616,166,173
...Median Earnings,"$40,939 ","$21,654 ","$26,776 ","$32,232 ","$35,688 ","$54,046 ","$48,448 ","$70,147 ","$95,427 ","$78,619 "
....Standard Error,$374 ,$498 ,$432 ,$866 ,"$1,061 ","$1,516 ","$1,321 ","$2,576 ","$18,244 ","$2,710 "
...Mean Earnings,"$54,167 ","$24,371 ","$33,504 ","$37,032 ","$45,314 ","$69,713 ","$56,344 ","$85,600 ","$123,148 ","$86,247 "
....Standard Error,"$1,162 ","$1,197 ","$1,294 ","$1,407 ","$3,083 ","$1,901 ","$1,790 ","$5,177 ","$10,649 ","$5,168 "
.Hispanic (of any race),,,,,,,,,,
..With Earnings,"13,588","4,682","4,209","2,123",808,"1,765","1,269",354,79,61
...Median Earnings,"$25,656 ","$20,106 ","$25,229 ","$31,045 ","$32,412 ","$45,858 ","$41,541 ","$52,183 ","$75,058 ",(B)
....Standard Error,$171 ,$187 ,$265 ,$365 ,$859 ,$832 ,$700 ,"$2,159 ","$14,240 ",(B)
...Mean Earnings,"$32,592 ","$22,833 ","$29,880 ","$35,958 ","$36,812 ","$58,962 ","$51,199 ","$62,934 ","$113,837 ",(B)
....Standard Error,$392 ,$419 ,$630 ,$633 ,$855 ,"$2,022 ","$1,844 ","$3,353 ","$13,996 ",(B)
Footnotes:,,,,,,,,,,
Note:  The symbol B means that the base is too small to show the derived measure.,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2005 Annual Social and Economic Supplement",,,,,,,,,,
"Internet Release Date: October 26, 2006",,,,,,,,,,

"Table 9.  Earnings in 2004 by Educational Attainment of the Population 18 Years and Over, by Age, Sex, Race Alone, And Hispanic Origin:  2005",,,,,,,,,,
(leading dots indicate sub-parts),,,,,,,,,,
"Both Sexes
25 Years and Over",Total,High School,,College,,,,,,
,,Not a Graduate,"Graduate, including GED",Some College no degree,Associate's degree,Bachelor's or more,,,,
,,,,,,Total,Bachelor's degree,Master's degree,Professional degree,Doctoral degree
All Workers,,,,,,,,,,
.All Races,,,,,,,,,,
..With Earnings,"129,873","12,943","39,196","23,098","12,821","41,813","27,156","10,326","2,359","1,972"
...Median Earnings,"$31,465 ","$17,917 ","$26,112 ","$30,618 ","$32,383 ","$47,315 ","$42,092 ","$51,725 ","$81,312 ","$71,119 "
....Standard Error,$58 ,$220 ,$95 ,$118 ,$206 ,$179 ,$140 ,$196 ,$974 ,$872 
...Mean Earnings,"$41,537 ","$21,410 ","$30,655 ","$35,978 ","$37,493 ","$62,278 ","$53,578 ","$67,230 ","$115,018 ","$93,068 "
....Standard Error,$173 ,$273 ,$209 ,$304 ,$296 ,$434 ,$417 ,"$1,020 ","$2,896 ","$2,765 "
.White Alone,,,,,,,,,,
..With Earnings,"106,926","10,472","32,010","18,870","10,757","34,815","22,445","8,733","1,993","1,643"
...Median Earnings,"$32,005 ","$18,169 ","$26,747 ","$31,070 ","$33,539 ","$48,193 ","$42,944 ","$51,602 ","$82,237 ","$70,989 "
....Standard Error,$66 ,$250 ,$112 ,$141 ,$441 ,$442 ,$503 ,$224 ,"$2,438 ",$880 
...Mean Earnings,"$42,677 ","$21,587 ","$31,658 ","$36,928 ","$38,216 ","$63,647 ","$55,051 ","$67,596 ","$117,001 ","$95,339 "
....Standard Error,$197 ,$263 ,$245 ,$338 ,$325 ,$491 ,$474 ,"$1,142 ","$3,206 ","$3,218 "
.Non-Hispanic White Alone,,,,,,,,,,
..With Earnings,"91,966","4,965","27,703","16,675","9,815","32,805","21,015","8,322","1,892","1,576"
...Median Earnings,"$34,687 ","$20,080 ","$27,251 ","$31,264 ","$34,246 ","$49,062 ","$43,816 ","$51,691 ","$84,552 ","$71,209 "
....Standard Error,$217 ,$290 ,$124 ,$152 ,$462 ,$455 ,$556 ,$234 ,"$2,868 ",$861 
...Mean Earnings,"$44,791 ","$23,192 ","$32,193 ","$37,412 ","$38,711 ","$64,269 ","$55,646 ","$68,083 ","$118,061 ","$94,510 "
....Standard Error,$221 ,$401 ,$263 ,$374 ,$348 ,$510 ,$494 ,"$1,187 ","$3,323 ","$3,144 "
.Black Alone,,,,,,,,,,
..With Earnings,"14,311","1,636","5,291","2,946","1,317","3,119","2,218",692,119,89
...Median Earnings,"$26,581 ","$16,484 ","$22,712 ","$28,027 ","$28,710 ","$41,341 ","$38,262 ","$50,814 ","$72,291 ","$74,561 "
....Standard Error,$164 ,$384 ,$369 ,$598 ,$951 ,$310 ,$983 ,$557 ,"$3,528 ","$9,459 "
...Mean Earnings,"$31,725 ","$20,242 ","$25,030 ","$30,592 ","$32,174 ","$49,986 ","$43,576 ","$57,350 ","$102,000 ","$82,615 "
....Standard Error,$343 ,"$1,396 ",$278 ,$709 ,$700 ,$986 ,$899 ,"$1,711 ","$13,301 ","$9,919 "
.Asian Alone,,,,,,,,,,
..With Earnings,"5,758",453,"1,066",621,408,"3,209","2,027",772,207,202
...Median Earnings,"$35,685 ","$18,790 ","$24,774 ","$27,769 ","$31,594 ","$50,076 ","$41,637 ","$60,848 ","$76,939 ","$76,146 "
....Standard Error,$386 ,"$1,337 ",$914 ,"$1,437 ","$1,201 ",$789 ,$571 ,"$1,151 ","$15,083 ","$4,982 "
...Mean Earnings,"$47,549 ","$20,813 ","$29,865 ","$32,140 ","$39,675 ","$61,192 ","$49,127 ","$73,711 ","$111,399 ","$82,928 "
....Standard Error,$981 ,$970 ,"$1,139 ","$1,315 ","$2,622 ","$1,602 ","$1,499 ","$4,329 ","$9,156 ","$4,807 "
.Hispanic (of any race),,,,,,,,,,
..With Earnings,"16,044","5,814","4,611","2,410","1,013","2,195","1,568",445,108,72
...Median Earnings,"$22,747 ","$17,254 ","$23,186 ","$29,521 ","$29,908 ","$40,640 ","$36,889 ","$50,466 ","$46,222 ",(B)
....Standard Error,$264 ,$140 ,$515 ,$821 ,$867 ,$596 ,$605 ,"$1,079 ","$8,750 ",(B)
...Mean Earnings,"$29,864 ","$20,217 ","$28,114 ","$33,759 ","$33,058 ","$53,344 ","$46,653 ","$57,791 ","$93,271 ",(B)
....Standard Error,$387 ,$355 ,$674 ,$901 ,$817 ,"$1,858 ","$1,850 ","$3,264 ","$11,271 ",(B)
Year Round Full Time Workers,,,,,,,,,,
.All Races,,,,,,,,,,
..With Earnings,"94,557","8,604","28,446","16,595","9,398","31,513","20,388","7,710","1,870","1,543"
...Median Earnings,"$37,562 ","$21,904 ","$31,078 ","$36,390 ","$38,604 ","$54,371 ","$50,382 ","$60,461 ","$97,393 ","$77,443 "
....Standard Error,$148 ,$117 ,$89 ,$169 ,$585 ,$560 ,$155 ,$311 ,"$8,147 ","$1,682 "
...Mean Earnings,"$49,245 ","$26,173 ","$36,202 ","$42,661 ","$43,927 ","$72,373 ","$62,627 ","$78,155 ","$128,713 ","$103,940 "
....Standard Error,$215 ,$382 ,$249 ,$330 ,$351 ,$531 ,$507 ,"$1,284 ","$3,244 ","$3,302 "
.White Alone,,,,,,,,,,
..With Earnings,"77,380","7,013","23,074","13,525","7,799","25,967","16,669","6,456","1,573","1,268"
...Median Earnings,"$39,667 ","$22,054 ","$31,870 ","$37,432 ","$40,463 ","$55,835 ","$51,167 ","$60,378 ",$100000+,"$78,263 "
....Standard Error,$203 ,$134 ,$98 ,$252 ,$220 ,$246 ,$172 ,$353 ,"$22,843 ","$1,822 "
...Mean Earnings,"$50,833 ","$26,188 ","$37,607 ","$44,031 ","$45,045 ","$74,523 ","$64,913 ","$78,937 ","$131,303 ","$107,924 "
....Standard Error,$247 ,$353 ,$296 ,$366 ,$384 ,$607 ,$585 ,"$1,451 ","$3,570 ","$3,894 "
.Non-Hispanic White Alone,,,,,,,,,,
..With Earnings,"66,145","3,089","19,710","11,854","7,097","24,392","15,549","6,134","1,497","1,211"
...Median Earnings,"$41,302 ","$25,783 ","$32,683 ","$38,223 ","$40,925 ","$56,441 ","$51,526 ","$60,564 ",$100000+,"$79,102 "
....Standard Error,$79 ,$271 ,$271 ,$407 ,$234 ,$251 ,$180 ,$373 ,"$25,229 ","$1,859 "
...Mean Earnings,"$53,674 ","$29,733 ","$38,696 ","$44,805 ","$45,765 ","$75,422 ","$65,805 ","$79,766 ","$132,017 ","$106,919 "
....Standard Error,$278 ,$551 ,$331 ,$405 ,$412 ,$632 ,$611 ,"$1,516 ","$3,686 ","$3,793 "
.Black Alone,,,,,,,,,,
..With Earnings,"10,731","1,019","3,985","2,175","1,036","2,515","1,783",552,103,75
...Median Earnings,"$30,712 ","$20,966 ","$26,181 ","$31,215 ","$31,521 ","$44,577 ","$41,092 ","$51,920 ","$75,492 ","$72,961 "
....Standard Error,$146 ,$304 ,$199 ,$228 ,$441 ,"$1,449 ",$316 ,$548 ,"$3,736 ","$12,593 "
...Mean Earnings,"$36,595 ","$26,381 ","$28,749 ","$34,708 ","$36,177 ","$54,966 ","$48,253 ","$62,382 ","$107,477 ","$87,231 "
....Standard Error,$399 ,"$2,195 ",$312 ,$483 ,$774 ,"$1,151 ","$1,028 ","$1,946 ","$15,068 ","$11,455 "
.Asian Alone,,,,,,,,,,
..With Earnings,"4,437",316,833,446,317,"2,524","1,573",611,166,173
...Median Earnings,"$41,654 ","$21,801 ","$27,041 ","$33,339 ","$35,846 ","$54,927 ","$49,260 ","$70,248 ","$95,427 ","$78,619 "
....Standard Error,$379 ,$528 ,$456 ,"$1,423 ","$1,075 ","$1,443 ","$1,235 ","$2,626 ","$18,244 ","$2,710 "
