File with 8 tables (1 table in each tab) with row headers in column A and column headers in rows 4 through 6.,,,,,,,,,,
"Table 9.  Earnings in 2004 by Educational Attainment of the Population 18 Years and Over, by Age, Sex, Race Alone, And Hispanic Origin:  2005",,,,,,,,,,
(leading dots indicate sub-parts),,,,,,,,,,
"Both Sexes
18 Years and Over",Total,High School,,College,,,,,,
,,Not a Graduate,"Graduate, including GED",Some College no degree,Associate's degree,Bachelor's or more,,,,
,,,,,,Total,Bachelor's degree,Master's degree,Professional degree,Doctoral degree
All Workers,,,,,,,,,,
.All Races,,,,,,,,,,
...Median Earnings,"$39,901 ","$22,043 ","$31,967 ","$37,443 ","$40,511 ","$55,797 ","$51,186 ","$60,493 ",$100000+,"$80,226 "
....Standard Error,$172 ,$136 ,$99 ,$261 ,$222 ,$247 ,$173 ,$352 ,"$25,215 ","$1,839 "
...Mean Earnings,"$50,780 ","$26,177 ","$37,580 ","$43,851 ","$45,010 ","$74,323 ","$64,948 ","$79,134 ","$129,611 ","$108,372 "
....Standard Error,$247 ,$365 ,$288 ,$347 ,$378 ,$612 ,$591 ,"$1,466 ","$3,624 ","$4,025 "
.Non-Hispanic White Alone,,,,,,,,,,
..With Earnings,"64,175","2,884","19,043","11,501","6,973","23,772","15,247","5,967","1,416","1,141"
...Median Earnings,"$41,414 ","$25,783 ","$33,046 ","$38,278 ","$40,966 ","$56,411 ","$51,548 ","$60,690 ",$100000+,"$80,592 "
....Standard Error,$80 ,$278 ,$320 ,$418 ,$237 ,$253 ,$180 ,$373 ,"$25,760 ","$1,499 "
...Mean Earnings,"$53,654 ","$29,889 ","$38,688 ","$44,613 ","$45,706 ","$75,230 ","$65,868 ","$79,982 ","$130,172 ","$107,296 "
....Standard Error,$278 ,$580 ,$321 ,$384 ,$406 ,$636 ,$618 ,"$1,532 ","$3,741 ","$3,908 "
.Black Alone,,,,,,,,,,
..With Earnings,"10,488",955,"3,911","2,148","1,016","2,456","1,746",542,94,73
...Median Earnings,"$30,749 ","$20,974 ","$26,170 ","$31,202 ","$31,619 ","$45,041 ","$41,072 ","$52,009 ","$75,549 ",(B)
....Standard Error,$147 ,$314 ,$201 ,$230 ,$436 ,"$1,366 ",$325 ,$693 ,"$4,923 ",(B)
...Mean Earnings,"$36,474 ","$24,278 ","$28,779 ","$34,681 ","$36,305 ","$55,108 ","$48,326 ","$62,673 ","$111,362 ",(B)
....Standard Error,$365 ,"$1,256 ",$316 ,$481 ,$779 ,"$1,170 ","$1,044 ","$1,954 ","$16,393 ",(B)
.Asian Alone,,,,,,,,,,
..With Earnings,"4,354",297,821,445,316,"2,473","1,543",600,159,169
...Median Earnings,"$41,634 ","$22,019 ","$27,035 ","$33,312 ","$35,885 ","$55,101 ","$49,285 ","$70,573 ","$90,412 ","$80,038 "
....Standard Error,$383 ,$563 ,$453 ,"$1,414 ","$1,056 ","$1,382 ","$1,225 ","$2,628 ","$10,548 ","$2,552 "
...Mean Earnings,"$55,463 ","$24,574 ","$34,206 ","$38,453 ","$46,125 ","$70,500 ","$57,230 ","$86,530 ","$121,014 ","$87,116 "
....Standard Error,"$1,225 ","$1,227 ","$1,384 ","$1,569 ","$3,215 ","$1,962 ","$1,861 ","$5,300 ","$11,055 ","$5,261 "
.Hispanic (of any race),,,,,,,,,,
..With Earnings,"11,827","4,064","3,524","1,811",737,"1,688","1,205",348,75,59
...Median Earnings,"$26,907 ","$20,565 ","$26,541 ","$33,108 ","$34,482 ","$46,263 ","$41,966 ","$52,093 ","$75,618 ",(B)
....Standard Error,$180 ,$173 ,$271 ,"$1,179 ","$1,179 ",$814 ,$801 ,"$2,014 ","$14,512 ",(B)
...Mean Earnings,"$34,131 ","$23,497 ","$31,186 ","$38,347 ","$38,289 ","$59,531 ","$51,694 ","$62,830 ","$116,981 ",(B)
....Standard Error,$425 ,$476 ,$610 ,$709 ,$898 ,"$2,093 ","$1,906 ","$3,403 ","$14,575 ",(B)
Footnotes:,,,,,,,,,,
Note:  The symbol B means that the base is too small to show the derived measure.,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2005 Annual Social and Economic Supplement",,,,,,,,,,
"Internet Release Date: October 26, 2006",,,,,,,,,,

"Table 9.  Earnings in 2004 by Educational Attainment of the Population 18 Years and Over, by Age, Sex, Race Alone, And Hispanic Origin:  2005",,,,,,,,,,
(leading dots indicate sub-parts),,,,,,,,,,
"Both Sexes
25 to 34 Years",Total,High School,,College,,,,,,
,,Not a Graduate,"Graduate, including GED",Some College no degree,Associate's degree,Bachelor's or more,,,,
,,,,,,Total,Bachelor's degree,Master's degree,Professional degree,Doctoral degree
All Workers,,,,,,,,,,
.All Races,,,,,,,,,,
..With Earnings,"32,760","3,674","9,095","6,252","3,120","10,617","7,834","2,099",449,235
...Median Earnings,"$27,609 ","$17,119 ","$23,597 ","$26,424 ","$29,105 ","$40,047 ","$37,091 ","$42,253 ","$51,984 ","$52,186 "
....Standard Error,$210 ,$175 ,$319 ,$253 ,$654 ,$283 ,$220 ,$448 ,"$2,732 ","$2,283 "
...Mean Earnings,"$33,108 ","$19,453 ","$26,973 ","$29,357 ","$31,760 ","$45,693 ","$42,870 ","$47,846 ","$76,797 ","$61,129 "
....Standard Error,$216 ,$466 ,$395 ,$370 ,$469 ,$457 ,$472 ,$868 ,"$5,127 ","$3,248 "
.White Alone,,,,,,,,,,
..With Earnings,"26,016","3,053","7,154","4,845","2,509","8,453","6,256","1,656",352,187
...Median Earnings,"$28,768 ","$17,226 ","$24,860 ","$26,747 ","$30,227 ","$40,178 ","$37,336 ","$42,112 ","$52,242 ","$53,161 "
....Standard Error,$284 ,$187 ,$314 ,$309 ,$379 ,$197 ,$305 ,$328 ,"$4,591 ","$3,620 "
...Mean Earnings,"$33,885 ","$19,913 ","$28,361 ","$30,344 ","$32,589 ","$46,023 ","$43,382 ","$47,456 ","$78,472 ","$60,526 "
....Standard Error,$257 ,$545 ,$491 ,$451 ,$541 ,$535 ,$557 ,$948 ,"$6,275 ","$3,189 "
.Non-Hispanic White Alone,,,,,,,,,,
..With Earnings,"20,364","1,025","5,459","3,960","2,145","7,774","5,722","1,555",322,173
...Median Earnings,"$31,140 ","$20,111 ","$25,840 ","$26,812 ","$30,543 ","$40,380 ","$37,633 ","$42,178 ","$59,164 ","$54,572 "
....Standard Error,$134 ,$607 ,$254 ,$336 ,$339 ,$193 ,$485 ,$343 ,"$8,187 ","$5,399 "
...Mean Earnings,"$35,967 ","$21,922 ","$28,896 ","$30,396 ","$33,007 ","$46,438 ","$43,649 ","$47,748 ","$81,556 ","$61,395 "
....Standard Error,$286 ,$583 ,$507 ,$516 ,$605 ,$550 ,$558 ,$988 ,"$6,776 ","$3,398 "
.Black Alone,,,,,,,,,,
..With Earnings,"4,110",395,"1,443",987,402,881,693,151,29,7
...Median Earnings,"$24,197 ","$15,885 ","$20,815 ","$24,665 ","$25,702 ","$36,129 ","$33,605 ","$41,161 ",(B),(B)
....Standard Error,$637 ,$735 ,$354 ,$938 ,$610 ,$652 ,"$1,423 ","$1,524 ",(B),(B)
...Mean Earnings,"$26,367 ","$16,187 ","$21,186 ","$24,788 ","$27,496 ","$40,678 ","$37,289 ","$48,388 ",(B),(B)
....Standard Error,$380 ,$883 ,$420 ,$603 ,"$1,187 ","$1,130 ",$991 ,"$3,919 ",(B),(B)
.Asian Alone,,,,,,,,,,
..With Earnings,"1,698",81,243,195,109,"1,068",717,258,59,32
...Median Earnings,"$32,349 ","$16,010 ","$23,571 ","$26,494 ","$25,593 ","$42,377 ","$40,361 ","$50,024 ",(B),(B)
....Standard Error,"$1,117 ","$1,922 ","$1,410 ",$753 ,"$1,598 ","$1,943 ","$1,635 ","$1,896 ",(B),(B)
...Mean Earnings,"$40,598 ","$18,023 ","$25,584 ","$30,148 ","$29,360 ","$48,814 ","$45,116 ","$51,591 ",(B),(B)
....Standard Error,"$1,016 ","$1,787 ","$1,215 ","$2,100 ","$2,254 ","$1,435 ","$1,449 ","$2,986 ",(B),(B)
.Hispanic (of any race),,,,,,,,,,
..With Earnings,"6,077","2,158","1,830",963,391,733,580,108,30,14
...Median Earnings,"$21,394 ","$16,710 ","$21,390 ","$26,637 ","$27,094 ","$35,767 ","$34,996 ","$41,049 ",(B),(B)
....Standard Error,$187 ,$201 ,$320 ,$752 ,"$1,220 ",$712 ,"$1,493 ","$4,718 ",(B),(B)
...Mean Earnings,"$26,218 ","$18,909 ","$26,412 ","$29,815 ","$30,195 ","$40,407 ","$39,524 ","$42,743 ",(B),(B)
....Standard Error,$568 ,$772 ,"$1,270 ",$882 ,"$1,104 ","$2,138 ","$2,583 ","$3,219 ",(B),(B)
Year Round Full Time Workers,,,,,,,,,,
.All Races,,,,,,,,,,
..With Earnings,"23,376","2,430","6,493","4,262","2,218","7,971","5,911","1,535",334,190
...Median Earnings,"$32,497 ","$20,823 ","$27,199 ","$31,735 ","$32,944 ","$43,678 ","$41,629 ","$48,901 ","$69,249 ","$60,554 "
....Standard Error,$203 ,$193 ,$165 ,$195 ,$742 ,$693 ,$198 ,"$1,002 ","$4,648 ","$3,533 "
...Mean Earnings,"$39,143 ","$23,653 ","$31,309 ","$36,268 ","$37,438 ","$52,260 ","$49,250 ","$55,882 ","$79,801 ","$68,168 "
....Standard Error,$248 ,$665 ,$428 ,$475 ,$559 ,$483 ,$537 ,"$1,047 ","$3,302 ","$3,704 "
.White Alone,,,,,,,,,,
..With Earnings,"18,686","2,064","5,143","3,338","1,767","6,371","4,742","1,217",260,151
...Median Earnings,"$34,065 ","$20,892 ","$28,813 ","$32,423 ","$35,118 ","$43,995 ","$41,848 ","$47,818 ","$70,766 ","$60,983 "
....Standard Error,$347 ,$217 ,$459 ,$443 ,$599 ,$724 ,$229 ,"$1,042 ","$2,183 ","$3,124 "
...Mean Earnings,"$39,891 ","$23,962 ","$32,754 ","$37,524 ","$38,490 ","$52,444 ","$49,770 ","$54,960 ","$80,839 ","$67,161 "
....Standard Error,$291 ,$767 ,$527 ,$580 ,$649 ,$555 ,$635 ,"$1,144 ","$3,615 ","$3,597 "
.Non-Hispanic White Alone,,,,,,,,,,
..With Earnings,"14,554",662,"3,842","2,697","1,488","5,863","4,337","1,143",241,140
...Median Earnings,"$36,547 ","$25,198 ","$30,600 ","$32,550 ","$35,706 ","$44,644 ","$42,051 ","$47,555 ","$71,910 ","$61,593 "
....Standard Error,$152 ,$552 ,$240 ,$584 ,$435 ,$636 ,$237 ,"$1,006 ","$3,234 ","$3,202 "
...Mean Earnings,"$42,692 ","$27,821 ","$34,366 ","$37,861 ","$39,470 ","$52,868 ","$50,077 ","$55,216 ","$82,845 ","$68,390 "
....Standard Error,$332 ,$703 ,$672 ,$674 ,$743 ,$554 ,$620 ,"$1,194 ","$3,728 ","$3,821 "
.Black Alone,,,,,,,,,,
..With Earnings,"2,820",218,999,648,290,664,518,114,24,6
...Median Earnings,"$27,699 ","$20,168 ","$24,629 ","$30,095 ","$29,553 ","$39,405 ","$36,896 ","$44,744 ",(B),(B)
....Standard Error,$491 ,$528 ,$723 ,$589 ,"$1,416 ","$1,197 ",$770 ,"$2,850 ",(B),(B)
...Mean Earnings,"$31,383 ","$20,997 ","$24,882 ","$30,323 ","$32,260 ","$45,240 ","$41,442 ","$56,249 ",(B),(B)
....Standard Error,$453 ,"$1,339 ",$473 ,$661 ,"$1,410 ","$1,254 ","$1,010 ","$4,703 ",(B),(B)
.Asian Alone,,,,,,,,,,
..With Earnings,"1,241",55,194,126,80,784,527,184,45,26
...Median Earnings,"$40,581 ",(B),"$26,493 ","$30,931 ","$30,104 ","$50,837 ","$48,953 ","$51,955 ",(B),(B)
....Standard Error,$747 ,(B),$796 ,"$1,579 ","$4,011 ",$520 ,"$1,781 ",$828 ,(B),(B)
...Mean Earnings,"$48,343 ",(B),"$28,918 ","$37,094 ","$35,435 ","$58,154 ","$53,610 ","$62,868 ",(B),(B)
....Standard Error,"$1,212 ",(B),"$1,347 ","$2,707 ","$2,572 ","$1,669 ","$1,603 ","$3,495 ",(B),(B)
.Hispanic (of any race),,,,,,,,,,
..With Earnings,"4,416","1,492","1,388",692,298,544,433,81,18,11
...Median Earnings,"$24,944 ","$19,562 ","$24,617 ","$31,770 ","$30,963 ","$40,366 ","$37,894 ","$50,706 ",(B),(B)
....Standard Error,$344 ,$543 ,$733 ,$649 ,"$1,083 ","$1,210 ","$1,565 ","$1,426 ",(B),(B)
...Mean Earnings,"$29,954 ","$22,140 ","$28,037 ","$35,833 ","$33,549 ","$46,801 ","$45,716 ","$50,331 ",(B),(B)
....Standard Error,$584 ,"$1,085 ",$625 ,"$1,055 ","$1,075 ","$2,750 ","$3,331 ","$3,640 ",(B),(B)
Footnotes:,,,,,,,,,,
Note:  The symbol B means that the base is too small to show the derived measure.,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2005 Annual Social and Economic Supplement",,,,,,,,,,
"Internet Release Date: October 26, 2006",,,,,,,,,,

"Table 9.  Earnings in 2004 by Educational Attainment of the Population 18 Years and Over, by Age, Sex, Race Alone, And Hispanic Origin:  2005",,,,,,,,,,
(leading dots indicate sub-parts),,,,,,,,,,
"Both Sexes
35 to 44 Years",Total,High School,,College,,,,,,
,,Not a Graduate,"Graduate, including GED",Some College no degree,Associate's degree,Bachelor's or more,,,,
,,,,,,Total,Bachelor's degree,Master's degree,Professional degree,Doctoral degree
All Workers,,,,,,,,,,
.All Races,,,,,,,,,,
..With Earnings,"36,463","3,541","11,361","6,239","3,817","11,504","7,672","2,671",680,479
...Median Earnings,"$33,324 ","$19,491 ","$27,141 ","$31,736 ","$35,120 ","$51,366 ","$46,891 ","$56,517 ","$90,054 ","$67,457 "
....Standard Error,$348 ,$372 ,$182 ,$232 ,$517 ,$241 ,$406 ,$860 ,"$3,027 ","$2,678 "
...Mean Earnings,"$44,179 ","$22,681 ","$32,062 ","$38,036 ","$39,117 ","$67,773 ","$59,820 ","$74,462 ","$115,496 ","$90,040 "
....Standard Error,$348 ,$363 ,$402 ,$594 ,$562 ,$901 ,$881 ,"$2,426 ","$4,999 ","$4,826 "
.White Alone,,,,,,,,,,
..With Earnings,"29,524","2,924","9,117","4,988","3,175","9,318","6,239","2,145",565,368
...Median Earnings,"$34,773 ","$19,532 ","$28,536 ","$32,294 ","$35,549 ","$51,718 ","$48,077 ","$55,903 ","$90,751 ","$66,851 "
....Standard Error,$338 ,$435 ,$546 ,$349 ,$467 ,$262 ,$985 ,$975 ,"$3,610 ","$2,289 "
...Mean Earnings,"$45,277 ","$22,951 ","$33,311 ","$39,498 ","$39,438 ","$69,074 ","$61,469 ","$74,612 ","$117,321 ","$91,579 "
....Standard Error,$398 ,$417 ,$483 ,$720 ,$617 ,"$1,020 ",$985 ,"$2,778 ","$5,591 ","$5,878 "
.Non-Hispanic White Alone,,,,,,,,,,
..With Earnings,"24,884","1,230","7,775","4,323","2,864","8,691","5,787","2,016",535,352
...Median Earnings,"$36,710 ","$21,024 ","$30,064 ","$32,988 ","$35,990 ","$52,202 ","$50,051 ","$56,090 ","$91,057 ","$67,446 "
....Standard Error,$174 ,$459 ,$359 ,$683 ,$496 ,$267 ,$690 ,$969 ,"$4,049 ","$2,492 "
...Mean Earnings,"$47,875 ","$24,712 ","$33,971 ","$40,180 ","$39,819 ","$70,074 ","$62,650 ","$75,072 ","$117,186 ","$91,832 "
....Standard Error,$455 ,$688 ,$529 ,$809 ,$664 ,"$1,070 ","$1,035 ","$2,918 ","$5,785 ","$5,818 "
.Black Alone,,,,,,,,,,
..With Earnings,"4,310",413,"1,680",869,399,945,688,204,23,28
...Median Earnings,"$28,385 ","$18,744 ","$23,294 ","$30,255 ","$31,428 ","$41,633 ","$39,915 ","$48,177 ",(B),(B)
....Standard Error,$577 ,$907 ,$741 ,$675 ,$854 ,$602 ,$951 ,"$2,936 ",(B),(B)
...Mean Earnings,"$33,241 ","$20,605 ","$25,639 ","$32,306 ","$36,300 ","$51,845 ","$47,205 ","$57,008 ",(B),(B)
....Standard Error,$539 ,$804 ,$492 ,$877 ,"$1,296 ","$1,845 ","$1,993 ","$2,878 ",(B),(B)
.Asian Alone,,,,,,,,,,
..With Earnings,"1,781",124,287,197,131,"1,040",597,295,73,73
...Median Earnings,"$40,819 ","$22,067 ","$26,557 ","$27,450 ","$35,929 ","$56,397 ","$48,027 ","$70,316 ",(B),(B)
....Standard Error,$602 ,"$2,459 ","$1,227 ","$2,783 ","$1,163 ","$2,016 ","$1,860 ","$3,222 ",(B),(B)
...Mean Earnings,"$55,762 ","$22,801 ","$31,772 ","$30,697 ","$43,393 ","$72,666 ","$59,184 ","$86,799 ",(B),(B)
....Standard Error,"$2,349 ","$1,363 ","$2,078 ","$1,863 ","$4,063 ","$3,802 ","$4,378 ","$8,871 ",(B),(B)
.Hispanic (of any race),,,,,,,,,,
..With Earnings,"4,974","1,768","1,433",740,337,695,500,143,35,16
...Median Earnings,"$24,383 ","$18,333 ","$24,871 ","$29,716 ","$30,865 ","$39,950 ","$35,804 ","$51,079 ",(B),(B)
....Standard Error,$473 ,$552 ,$762 ,"$1,043 ","$1,011 ","$1,867 ","$1,709 ","$3,854 ",(B),(B)
...Mean Earnings,"$31,276 ","$21,671 ","$29,268 ","$34,703 ","$35,735 ","$54,032 ","$45,702 ","$66,144 ",(B),(B)
....Standard Error,$634 ,$532 ,"$1,180 ","$1,221 ","$1,480 ","$3,007 ","$2,830 ","$7,204 ",(B),(B)
Year Round Full Time Workers,,,,,,,,,,
.All Races,,,,,,,,,,
..With Earnings,"27,747","2,528","8,605","4,704","2,873","9,034","6,005","2,079",551,397
...Median Earnings,"$39,955 ","$22,152 ","$31,708 ","$37,285 ","$40,461 ","$60,021 ","$52,662 ","$65,943 ",$100000+,"$75,304 "
....Standard Error,$252 ,$224 ,$163 ,$413 ,$336 ,$768 ,$917 ,$789 ,"$33,258 ","$2,531 "
...Mean Earnings,"$51,223 ","$26,277 ","$37,009 ","$43,967 ","$44,941 ","$77,523 ","$68,522 ","$86,229 ","$128,540 ","$97,224 "
....Standard Error,$426 ,$423 ,$473 ,$661 ,$661 ,"$1,087 ","$1,048 ","$3,026 ","$5,634 ","$5,544 "
.White Alone,,,,,,,,,,
..With Earnings,"22,275","2,083","6,876","3,731","2,349","7,234","4,833","1,641",455,304
...Median Earnings,"$40,741 ","$22,191 ","$32,499 ","$39,763 ","$41,283 ","$60,800 ","$55,583 ","$65,578 ",$100000+,"$72,280 "
....Standard Error,$138 ,$242 ,$375 ,$652 ,$371 ,$358 ,$534 ,"$1,385 ","$43,918 ","$3,762 "
...Mean Earnings,"$52,754 ","$26,568 ","$38,590 ","$45,985 ","$45,846 ","$79,490 ","$70,803 ","$87,156 ","$130,924 ","$99,100 "
....Standard Error,$489 ,$485 ,$570 ,$810 ,$726 ,"$1,238 ","$1,172 ","$3,524 ","$6,279 ","$6,777 "
.Non-Hispanic White Alone,,,,,,,,,,
..With Earnings,"18,695",833,"5,800","3,215","2,120","6,724","4,465","1,537",432,289
...Median Earnings,"$42,290 ","$25,629 ","$34,746 ","$40,332 ","$41,600 ","$61,466 ","$56,609 ","$65,842 ",$100000+,"$73,772 "
....Standard Error,$145 ,$438 ,$478 ,$313 ,$383 ,$365 ,$532 ,"$1,126 ","$44,797 ","$3,078 "
...Mean Earnings,"$55,990 ","$29,196 ","$39,581 ","$46,997 ","$46,291 ","$80,824 ","$72,396 ","$87,870 ","$130,500 ","$99,238 "
....Standard Error,$560 ,$730 ,$621 ,$911 ,$782 ,"$1,300 ","$1,233 ","$3,715 ","$6,489 ","$6,699 "
.Black Alone,,,,,,,,,,
..With Earnings,"3,461",292,"1,315",700,344,808,587,176,21,22
...Median Earnings,"$31,398 ","$20,970 ","$26,489 ","$31,933 ","$31,953 ","$45,669 ","$41,777 ","$51,257 ",(B),(B)
....Standard Error,$285 ,$659 ,$425 ,$471 ,"$1,597 ","$1,607 ",$630 ,"$1,245 ",(B),(B)
...Mean Earnings,"$37,067 ","$24,014 ","$28,827 ","$35,466 ","$37,765 ","$56,289 ","$51,711 ","$61,034 ",(B),(B)
....Standard Error,$618 ,$965 ,$541 ,$826 ,"$1,378 ","$2,071 ","$2,242 ","$3,128 ",(B),(B)
.Asian Alone,,,,,,,,,,
..With Earnings,"1,396",101,223,140,102,828,464,239,62,62
...Median Earnings,"$47,865 ","$25,257 ","$30,974 ","$32,482 ","$40,840 ","$63,476 ","$53,637 ","$76,981 ",(B),(B)
....Standard Error,"$1,851 ","$1,773 ","$1,760 ","$1,817 ","$2,625 ","$1,906 ","$1,874 ","$2,313 ",(B),(B)
...Mean Earnings,"$64,944 ","$25,354 ","$36,769 ","$37,191 ","$50,573 ","$83,883 ","$69,226 ","$100,472 ",(B),(B)
....Standard Error,"$2,898 ","$1,381 ","$2,457 ","$1,946 ","$4,815 ","$4,620 ","$5,468 ","$10,614 ",(B),(B)
.Hispanic (of any race),,,,,,,,,,
..With Earnings,"3,834","1,302","1,142",576,246,566,410,116,25,14
...Median Earnings,"$27,683 ","$21,152 ","$27,169 ","$32,377 ","$35,856 ","$45,356 ","$40,522 ","$56,788 ",(B),(B)
....Standard Error,$510 ,$300 ,$588 ,"$1,856 ","$1,453 ","$1,924 ","$2,167 ","$5,201 ",(B),(B)
...Mean Earnings,"$35,777 ","$24,828 ","$33,015 ","$39,304 ","$41,642 ","$60,359 ","$50,563 ","$74,434 ",(B),(B)
....Standard Error,$786 ,$661 ,"$1,435 ","$1,427 ","$1,716 ","$3,556 ","$3,307 ","$8,504 ",(B),(B)
Footnotes:,,,,,,,,,,
Note:  The symbol B means that the base is too small to show the derived measure.,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2005 Annual Social and Economic Supplement",,,,,,,,,,
"Internet Release Date: October 26, 2006",,,,,,,,,,

"Table 9.  Earnings in 2004 by Educational Attainment of the Population 18 Years and Over, by Age, Sex, Race Alone, And Hispanic Origin:  2005",,,,,,,,,,
(leading dots indicate sub-parts),,,,,,,,,,
"Both Sexes
45 to 54 Years",Total,High School,,College,,,,,,
,,Not a Graduate,"Graduate, including GED",Some College no degree,Associate's degree,Bachelor's or more,,,,
,,,,,,Total,Bachelor's degree,Master's degree,Professional degree,Doctoral degree
All Workers,,,,,,,,,,
.All Races,,,,,,,,,,
..With Earnings,"34,641","2,951","10,755","6,151","3,603","11,179","6,945","3,035",647,551
...Median Earnings,"$35,723 ","$19,537 ","$29,246 ","$34,894 ","$36,206 ","$53,269 ","$49,300 ","$60,188 ","$95,679 ","$80,147 "
....Standard Error,$158 ,$482 ,$403 ,$629 ,$359 ,$885 ,$860 ,"$1,040 ","$13,219 ","$2,533 "
...Mean Earnings,"$46,908 ","$22,744 ","$33,723 ","$39,804 ","$41,273 ","$71,696 ","$59,868 ","$79,081 ","$133,290 ","$107,677 "
....Standard Error,$367 ,$562 ,$410 ,$540 ,$572 ,$943 ,$880 ,"$2,165 ","$6,123 ","$5,623 "
.White Alone,,,,,,,,,,
..With Earnings,"28,849","2,323","8,785","5,108","3,109","9,521","5,833","2,653",565,468
...Median Earnings,"$36,684 ","$20,104 ","$30,438 ","$35,783 ","$36,798 ","$55,376 ","$50,722 ","$59,685 ",$100000+,"$81,553 "
....Standard Error,$175 ,$394 ,$175 ,$360 ,$414 ,$456 ,$328 ,"$1,541 ","$30,840 ","$4,162 "
...Mean Earnings,"$48,539 ","$23,288 ","$34,841 ","$40,467 ","$41,932 ","$73,830 ","$62,060 ","$79,503 ","$136,686 ","$112,325 "
....Standard Error,$416 ,$669 ,$481 ,$517 ,$586 ,"$1,059 ",$988 ,"$2,381 ","$6,726 ","$6,481 "
.Non-Hispanic White Alone,,,,,,,,,,
..With Earnings,"25,832","1,169","7,960","4,700","2,955","9,046","5,533","2,529",540,443
...Median Earnings,"$38,547 ","$21,584 ","$30,716 ","$36,092 ","$37,149 ","$55,690 ","$50,953 ","$60,065 ",$100000+,"$81,129 "
....Standard Error,$389 ,$464 ,$184 ,$381 ,$502 ,$429 ,$338 ,"$1,415 ","$30,920 ","$4,260 "
...Mean Earnings,"$50,326 ","$25,990 ","$35,277 ","$40,879 ","$42,360 ","$74,227 ","$62,557 ","$80,265 ","$136,461 ","$109,598 "
....Standard Error,$452 ,"$1,254 ",$516 ,$550 ,$606 ,"$1,089 ","$1,024 ","$2,476 ","$6,921 ","$6,131 "
.Black Alone,,,,,,,,,,
..With Earnings,"3,734",400,"1,427",744,303,857,578,212,36,29
...Median Earnings,"$29,569 ","$15,432 ","$25,236 ","$30,656 ","$31,822 ","$50,054 ","$42,045 ","$60,018 ",(B),(B)
....Standard Error,$591 ,"$1,066 ",$486 ,$479 ,"$2,318 ","$1,776 ","$1,341 ","$3,506 ",(B),(B)
...Mean Earnings,"$34,716 ","$18,762 ","$27,432 ","$33,412 ","$33,495 ","$55,855 ","$47,230 ","$64,555 ",(B),(B)
....Standard Error,$596 ,$933 ,$564 ,$960 ,"$1,433 ","$1,904 ","$1,794 ","$3,184 ",(B),(B)
.Asian Alone,,,,,,,,,,
..With Earnings,"1,380",137,335,145,108,652,434,133,38,45
...Median Earnings,"$35,072 ","$20,281 ","$25,047 ","$34,521 ","$31,161 ","$50,005 ","$40,520 ","$72,195 ",(B),(B)
....Standard Error,"$1,441 ","$1,766 ","$1,228 ","$2,023 ","$1,443 ","$1,727 ","$2,118 ","$7,785 ",(B),(B)
...Mean Earnings,"$47,446 ","$22,197 ","$31,846 ","$37,537 ","$49,087 ","$62,757 ","$46,563 ","$95,708 ",(B),(B)
....Standard Error,"$1,999 ","$2,335 ","$2,739 ","$3,732 ","$7,920 ","$3,480 ","$2,082 ","$12,936 ",(B),(B)
.Hispanic (of any race),,,,,,,,,,
..With Earnings,"3,225","1,211",875,451,165,521,336,131,25,28
...Median Earnings,"$25,538 ","$18,348 ","$25,859 ","$32,167 ","$30,541 ","$49,035 ","$42,098 ","$52,122 ",(B),(B)
....Standard Error,$399 ,$633 ,$614 ,"$1,175 ","$1,693 ","$2,366 ","$2,309 ","$4,626 ",(B),(B)
...Mean Earnings,"$34,015 ","$20,984 ","$30,673 ","$35,714 ","$34,898 ","$68,166 ","$57,352 ","$64,244 ",(B),(B)
....Standard Error,"$1,021 ",$519 ,"$1,222 ","$1,324 ","$2,301 ","$5,298 ","$5,713 ","$6,742 ",(B),(B)
Year Round Full Time Workers,,,,,,,,,,
.All Races,,,,,,,,,,
..With Earnings,"26,912","2,063","8,422","4,762","2,804","8,859","5,417","2,457",549,435
...Median Earnings,"$41,013 ","$22,879 ","$32,174 ","$39,896 ","$41,595 ","$60,910 ","$55,090 ","$65,253 ",$100000+,"$86,401 "
....Standard Error,$137 ,$496 ,$157 ,$457 ,$407 ,$296 ,$770 ,"$1,014 ","$40,358 ","$4,725 "
...Mean Earnings,"$53,581 ","$27,316 ","$38,311 ","$45,487 ","$46,870 ","$80,689 ","$68,547 ","$87,116 ","$142,900 ","$116,954 "
....Standard Error,$439 ,$754 ,$471 ,$629 ,$648 ,"$1,109 ","$1,029 ","$2,553 ","$6,736 ","$6,487 "
.White Alone,,,,,,,,,,
..With Earnings,"22,320","1,633","6,857","3,953","2,415","7,459","4,479","2,133",482,364
...Median Earnings,"$42,001 ","$23,841 ","$34,022 ","$40,715 ","$42,463 ","$62,055 ","$57,153 ","$65,538 ",$100000+,"$90,510 "
....Standard Error,$152 ,$622 ,$525 ,$278 ,$941 ,$325 ,$710 ,"$1,044 ","$41,190 ","$3,324 "
...Mean Earnings,"$55,642 ","$27,916 ","$39,692 ","$46,282 ","$47,587 ","$83,948 ","$72,118 ","$88,014 ","$146,405 ","$122,849 "
....Standard Error,$501 ,$898 ,$552 ,$576 ,$650 ,"$1,267 ","$1,204 ","$2,821 ","$7,345 ","$7,579 "
