    "","Table 6a.--Direct Investment: Income, Capital, Royalties and License Fees, and Other Private Services",
    "","[Millions of dollars]",
    "","",
    "","",
    "","",
"Line","(Credits +; debits -)",
    "","",
    "","U.S. direct investment abroad:",
    "","",
 "113","  Intercompany debt.....................................................................................................",
 "114","    Manufacturing.......................................................................................................",
 "115","    Wholesale trade.....................................................................................................",
 "116","    Finance (including depository institutions) and insurance/2/........................................................",
 "117","    Other...............................................................................................................",
    "","",
 "118","Royalties and license fees, net.........................................................................................",
 "119","  U.S. affiliates' payments (table 1, part of line 26)..................................................................",
 "120","  U.S. affiliates' receipts (table 1, part of line 9)...................................................................",
    "","",
 "121","Other private services, net.............................................................................................",
 "122","  U.S. affiliates' payments (table 1, part of line 27)..................................................................",
 "123","  U.S. affiliates' receipts (table 1, part of line 10)..................................................................",
    "",            "",            "",            "",            "",            "",            "",            "",            "",
    "",            "",            "",            "",            "",            "",            "",            "",            "",
    "",            "",            "",            "",            "",            "",            "",            "",            "",
    "",            "",            "",            "",            "",            "",            "",            "",            "",
    "",            "",            "",         "NSA",         "NSA",         "NSA",         "NSA",         "NSA",         "NSA",
"Line",        "2002",     "2003/p/",      "2002:I",     "2002:II",    "2002:III",     "2002:IV",      "2003:I",     "2003:II",
    "",            "",            "",            "",            "",            "",            "",            "",            "",
    "",            "",            "",            "",            "",            "",            "",            "",            "",
    "",            "",            "",            "",            "",            "",            "",            "",            "",
   "1",        142933,        175481,         32674,         35538,         37986,         36735,         38124,         40172,
   "2",        137605,        169728,         31351,         34242,         36641,         35371,         36744,         38724,
   "3",         43453,         42714,          8681,          9673,         10228,         14871,          7337,          9269,
   "4",         94152,        127013,         22670,         24569,         26413,         20500,         29406,         29455,
   "5",         76057,        108336,         18273,         20074,         21840,         15870,         24740,         24773,
   "6",         18095,         18677,          4397,          4495,          4573,          4630,          4666,          4682,
   "7",          5328,          5753,          1323,          1296,          1345,          1364,          1380,          1448,
   "8",          8751,          8897,          2100,          2173,          2206,          2272,          2173,          2263,
   "9",         -3423,         -3144,          -777,          -877,          -861,          -908,          -793,          -815,
    "",            "",            "",            "",            "",            "",            "",            "",            "",
  "10",        124838,        156804,         28277,         31043,         33413,         32105,         33458,         35490,
  "11",         31688,         37652,          6716,          7375,          8368,          9229,          8342,          8585,
  "12",         13315,         19094,          3292,          2995,          3624,          3404,          2909,          3829,
  "13",         16375,         18962,          3564,          4460,          5089,          3262,          4194,          3984,
  "14",         41529,         46872,         10139,         11052,          9974,         10364,         10980,         11225,
  "15",         21931,         34224,          4566,          5161,          6358,          5846,          7033,          7867,
  "16",        119510,        151051,         26954,         29747,         32068,         30741,         32078,         34042,
  "17",         30380,         36450,          6411,          7067,          8016,          8886,          8011,          8296,
  "18",         12927,         18701,          3193,          2895,          3531,          3308,          2813,          3743,
