"Location","ST","CO","Total Males""Total Females""White - All Males""White - All Females""White - Not Hispanic Males""White - Not Hispanic Females""White - Hispanic Males""White - Hispanic Females""Black or African American - All Males""Black or African American - All Females""Black or African American - Not Hispanic Males""Black or African American - Not Hispanic Females""Black or African American - Hispanic Males""Black or African American - Hispanic Females""American Indian and Alaska Native - All Males""American Indian and Alaska Native - All Females""American Indian and Alaska Native - Not Hispanic Males""American Indian and Alaska Native - Not Hispanic Females""American Indian and Alaska Native - Hispanic Males""American Indian and Alaska Native - Hispanic Females""Asian - All Males""Asian - All Females""Asian - Not Hispanic Males""Asian - Not Hispanic Females""Asian - Hispanic Males""Asian - Hispanic Females""Native Hawaiian and Other Pacific Islander - All Males""Native Hawaiian and Other Pacific Islander - All Females""Native Hawaiian and Other Pacific Islander - Not Hispanic Males""Native Hawaiian and Other Pacific Islander - Not Hispanic Females""Native Hawaiian and Other Pacific Islander - Hispanic Males""Native Hawaiian and Other Pacific Islander - Hispanic Females""Some Other Race - All Males""Some Other Race - All Females""Some Other Race - Not Hispanic Males""Some Other Race - Not Hispanic Females""Some Other Race - Hispanic Males""Some Other Race - Hispanic Females""Two or More Races - All Males""Two or More Races - All Females""Two or More Races - Not Hispanic Males""Two or More Races - Not Hispanic Females""Two or More Races - Hispanic Males""Two or More Races - Hispanic Females"
"Location","ST","CO","EWPPCT012002","EWPPCT012106","EWP01","EWP112","EWP113","EWP114","White","EWP116","EWP117","EWP118","EWP119","EWP1110","Black","EWP1112","EWP1113","EWP1114","EWP1115","EWP1116","AI_AL","EWP1118","EWP1119","EWP1120","EWP1121","EWP1122","Asian","EWP1124","EWP1125","EWP1126","EWP1127","EWP1128","PI_Ma","PI_Fe","EWP1131","EWP1132","EWP1133","EWP1134","Other","EWP1136","EWP1137","EWP1138","EWP1139","EWP1140","TwoPl","EWP1142"
"Clay County","18","021","12887","13669","12689     ","13438     ","12642     ","13396     ","47        ","42        ","46        ","42        ","44        ","42        ","2         ","0         ","36        ","29        ","30        ","25        ","6         ","4         ","4         ","25        ","4         ","24        ","0         ","1         ","1         ","3         ","1         ","3         ","0         ","0         ","31        ","31        ","13        ","8         ","18        ","23        ","80        ","101       ","74        ","95        ","6         ","6         "
"Clinton County","18","023","16704","17162","15629     ","16333     ","15128     ","15924     ","501       ","409       ","58        ","45        ","36        ","31        ","22        ","14        ","29        ","19        ","26        ","17        ","3         ","2         ","31        ","40        ","26        ","37        ","5         ","3         ","3         ","4         ","2         ","2         ","1         ","2         ","815       ","599       ","5         ","0         ","810       ","599       ","139       ","122       ","81        ","73        ","58        ","49        "
"Crawford County","18","025","5408","5335","5302      ","5255      ","5287      ","5232      ","15        ","23        ","11        ","6         ","11        ","5         ","0         ","1         ","26        ","15        ","22        ","13        ","4         ","2         ","6         ","8         ","5         ","8         ","1         ","0         ","9         ","7         ","5         ","2         ","4         ","5         ","21        ","11        ","4         ","2         ","17        ","9         ","33        ","33        ","24        ","23        ","9         ","10        "
"Daviess County","18","027","14705","15115","14296     ","14784     ","14150     ","14665     ","146       ","119       ","79        ","55        ","71        ","52        ","8         ","3         ","31        ","38        ","28        ","33        ","3         ","5         ","27        ","47        ","25        ","46        ","2         ","1         ","2         ","4         ","0         ","2         ","2         ","2         ","186       ","108       ","0         ","2         ","186       ","106       ","84        ","79        ","61        ","65        ","23        ","14        "
"Dearborn County","18","029","22839","23270","22408     ","22808     ","22326     ","22722     ","82        ","86        ","153       ","134       ","152       ","133       ","1         ","1         ","35        ","38        ","34        ","34        ","1         ","4         ","47        ","75        ","47        ","75        ","0         ","0         ","6         ","6         ","6         ","5         ","0         ","1         ","48        ","37        ","16        ","7         ","32        ","30        ","142       ","172       ","125       ","161       ","17        ","11        "
"Decatur County","18","031","12131","12424","11949     ","12237     ","11889     ","12203     ","60        ","34        ","8         ","4         ","8         ","4         ","0         ","0         ","16        ","10        ","14        ","10        ","2         ","0         ","84        ","93        ","84        ","93        ","0         ","0         ","1         ","2         ","1         ","2         ","0         ","0         ","15        ","9         ","1         ","1         ","14        ","8         ","58        ","69        ","52        ","61        ","6         ","8         "
"DeKalb County","18","033","20059","20226","19603     ","19778     ","19394     ","19615     ","209       ","163       ","53        ","48        ","53        ","48        ","0         ","0         ","35        ","52        ","25        ","48        ","10        ","4         ","54        ","80        ","51        ","79        ","3         ","1         ","9         ","11        ","8         ","11        ","1         ","0         ","152       ","117       ","10        ","13        ","142       ","104       ","153       ","140       ","135       ","119       ","18        ","21        "
"Delaware County","18","035","56975","61794","51643     ","56120     ","51306     ","55762     ","337       ","358       ","3789      ","4188      ","3759      ","4147      ","30        ","41        ","156       ","119       ","152       ","111       ","4         ","8         ","373       ","411       ","369       ","409       ","4         ","2         ","36        ","29        ","32        ","25        ","4         ","4         ","306       ","255       ","82        ","77        ","224       ","178       ","672       ","672       ","610       ","624       ","62        ","48        "
"Dubois County","18","037","19619","20055","19078     ","19620     ","18825     ","19441     ","253       ","179       ","29        ","27        ","27        ","26        ","2         ","1         ","21        ","19        ","16        ","18        ","5         ","1         ","33        ","46        ","30        ","44        ","3         ","2         ","6         ","8         ","4         ","7         ","2         ","1         ","367       ","234       ","3         ","2         ","364       ","232       ","85        ","101       ","59        ","69        ","26        ","32        "
"Elkhart County","18","039","90848","91943","77605     ","80326     ","74511     ","77910     ","3094      ","2416      ","4723      ","4828      ","4629      ","4761      ","94        ","67        ","258       ","237       ","206       ","194       ","52        ","43        ","795       ","886       ","780       ","872       ","15        ","14        ","38        ","40        ","26        ","32        ","12        ","8         ","5782      ","4023      ","100       ","106       ","5682      ","3917      ","1647      ","1603      ","1182      ","1182      ","465       ","421       "
"Fayette County","18","041","12399","13189","12047     ","12815     ","12000     ","12773     ","47        ","42        ","207       ","221       ","207       ","221       ","0         ","0         ","13        ","9         ","12        ","7         ","1         ","2         ","29        ","40        ","28        ","40        ","1         ","0         ","5         ","1         ","2         ","1         ","3         ","0         ","17        ","16        ","5         ","7         ","12        ","9         ","81        ","87        ","77        ","76        ","4         ","11        "
"Floyd County","18","043","34132","36691","31875     ","34151     ","31672     ","33980     ","203       ","171       ","1444      ","1682      ","1424      ","1675      ","20        ","7         ","70        ","81        ","62        ","69        ","8         ","12        ","137       ","188       ","137       ","187       ","0         ","1         ","12        ","13        ","10        ","12        ","2         ","1         ","200       ","156       ","29        ","43        ","171       ","113       ","394       ","420       ","363       ","388       ","31        ","32        "
"Fountain County","18","045","8908","9046","8786      ","8936      ","8725      ","8874      ","61        ","62        ","10        ","9         ","10        ","9         ","0         ","0         ","17        ","19        ","16        ","18        ","1         ","1         ","13        ","19        ","13        ","19        ","0         ","0         ","0         ","1         ","0         ","1         ","0         ","0         ","31        ","19        ","1         ","1         ","30        ","18        ","51        ","43        ","45        ","32        ","6         ","11        "
"Franklin County","18","047","11058","11093","10960     ","10974     ","10922     ","10940     ","38        ","34        ","2         ","5         ","2         ","5         ","0         ","0         ","16        ","19        ","16        ","18        ","0         ","1         ","19        ","29        ","15        ","26        ","4         ","3         ","3         ","1         ","2         ","0         ","1         ","1         ","10        ","9         ","4         ","5         ","6         ","4         ","48        ","56        ","43        ","49        ","5         ","7         "
"Fulton County","18","049","10139","10372","9719      ","10015     ","9583      ","9920      ","136       ","95        ","85        ","71        ","84        ","70        ","1         ","1         ","43        ","34        ","42        ","34        ","1         ","0         ","39        ","37        ","39        ","37        ","0         ","0         ","2         ","3         ","2         ","3         ","0         ","0         ","131       ","86        ","6         ","2         ","125       ","84        ","120       ","126       ","104       ","112       ","16        ","14        "
"Gibson County","18","051","15906","16594","15290     ","16060     ","15224     ","15984     ","66        ","76        ","324       ","298       ","324       ","297       ","0         ","1         ","24        ","37        ","22        ","35        ","2         ","2         ","116       ","52        ","115       ","52        ","1         ","0         ","1         ","0         ","1         ","0         ","0         ","0         ","42        ","31        ","6         ","6         ","36        ","25        ","109       ","116       ","98        ","107       ","11        ","9         "
"Grant County","18","053","35215","38188","31315     ","34180     ","30842     ","33765     ","473       ","415       ","2548      ","2733      ","2519      ","2710      ","29        ","23        ","169       ","153       ","155       ","143       ","14        ","10        ","186       ","226       ","183       ","224       ","3         ","2         ","14        ","13        ","10        ","12        ","4         ","1         ","404       ","342       ","58        ","69        ","346       ","273       ","579       ","541       ","477       ","449       ","102       ","92        "
"Greene County","18","055","16305","16852","16063     ","16628     ","15975     ","16540     ","88        ","88        ","15        ","11        ","15        ","10        ","0         ","1         ","57        ","47        ","55        ","44        ","2         ","3         ","29        ","43        ","26        ","38        ","3         ","5         ","3         ","2         ","2         ","2         ","1         ","0         ","31        ","26        ","3         ","2         ","28        ","24        ","107       ","95        ","94        ","83        ","13        ","12        "
"Hamilton County","18","057","89884","92856","84726     ","87749     ","83816     ","86858     ","910       ","891       ","1469      ","1337      ","1454      ","1321      ","15        ","16        ","166       ","141       ","146       ","129       ","20        ","12        ","2137      ","2314      ","2121      ","2302      ","16        ","12        ","33        ","33        ","23        ","26        ","10        ","7         ","537       ","455       ","79        ","91        ","458       ","364       ","816       ","827       ","734       ","729       ","82        ","98        "
"Hancock County","18","059","27348","28043","26903     ","27624     ","26719     ","27436     ","184       ","188       ","46        ","28        ","46        ","28        ","0         ","0         ","52        ","43        ","45        ","40        ","7         ","3         ","91        ","115       ","89        ","114       ","2         ","1         ","6         ","9         ","4         ","6         ","2         ","3         ","67        ","61        ","5         ","10        ","62        ","51        ","183       ","163       ","172       ","151       ","11        ","12        "
"Harrison County","18","061","17099","17226","16811     ","16958     ","16669     ","16849     ","142       ","109       ","72        ","54        ","72        ","51        ","0         ","3         ","55        ","42        ","52        ","41        ","3         ","1         ","25        ","46        ","25        ","45        ","0         ","1         ","3         ","2         ","3         ","1         ","0         ","1         ","38        ","25        ","1         ","4         ","37        ","21        ","95        ","99        ","87        ","94        ","8         ","5         "
"Hendricks County","18","063","52193","51900","50061     ","50603     ","49690     ","50288     ","371       ","315       ","979       ","183       ","968       ","175       ","11        ","8         ","141       ","120       ","125       ","110       ","16        ","10        ","293       ","394       ","289       ","385       ","4         ","9         ","13        ","20        ","13        ","19        ","0         ","1         ","225       ","151       ","32        ","29        ","193       ","122       ","481       ","429       ","430       ","378       ","51        ","51        "
"Henry County","18","065","23403","25105","22933     ","24587     ","22817     ","24457     ","116       ","130       ","207       ","209       ","205       ","207       ","2         ","2         ","35        ","40        ","34        ","38        ","1         ","2         ","36        ","59        ","35        ","57        ","1         ","2         ","3         ","3         ","3         ","2         ","0         ","1         ","66        ","69        ","10        ","18        ","56        ","51        ","123       ","138       ","108       ","130       ","15        ","8         "
"Howard County","18","067","41089","43875","36701     ","39534     ","36292     ","39086     ","409       ","448       ","2728      ","2835      ","2705      ","2818      ","23        ","17        ","176       ","126       ","166       ","114       ","10        ","12        ","438       ","423       ","437       ","419       ","1         ","4         ","10        ","6         ","8         ","5         ","2         ","1         ","409       ","309       ","61        ","64        ","348       ","245       ","627       ","642       ","523       ","557       ","104       ","85        "
"Huntington County","18","069","18537","19538","18199     ","19172     ","18095     ","19061     ","104       ","111       ","43        ","26        ","42        ","23        ","1         ","3         ","73        ","84        ","68        ","84        ","5         ","0         ","50        ","68        ","48        ","65        ","2         ","3         ","2         ","2         ","2         ","2         ","0         ","0         ","36        ","63        ","4         ","11        ","32        ","52        ","134       ","123       ","114       ","93        ","20        ","30        "
"Jackson County","18","071","20386","20949","19427     ","20309     ","19175     ","20148     ","252       ","161       ","125       ","102       ","117       ","100       ","8         ","2         ","60        ","41        ","54        ","39        ","6         ","2         ","167       ","156       ","167       ","156       ","0         ","0         ","16        ","7         ","11        ","7         ","5         ","0         ","461       ","176       ","4         ","4         ","457       ","172       ","130       ","158       ","113       ","128       ","17        ","30        "
"Jasper County","18","073","14888","15155","14547     ","14887     ","14275     ","14666     ","272       ","221       ","71        ","33        ","70        ","32        ","1         ","1         ","24        ","30        ","21        ","26        ","3         ","4         ","26        ","30        ","25        ","30        ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","104       ","86        ","3         ","1         ","101       ","85        ","116       ","89        ","90        ","71        ","26        ","18        "
"Jay County","18","075","10695","11111","10441     ","10850     ","10357     ","10774     ","84        ","76        ","33        ","22        ","33        ","21        ","0         ","1         ","20        ","16        ","20        ","15        ","0         ","1         ","25        ","49        ","25        ","49        ","0         ","0         ","2         ","3         ","2         ","3         ","0         ","0         ","95        ","90        ","2         ","2         ","93        ","88        ","79        ","81        ","58        ","55        ","21        ","26        "
"Jefferson County","18","077","15699","16006","15030     ","15468     ","14948     ","15373     ","82        ","95        ","292       ","169       ","289       ","164       ","3         ","5         ","42        ","33        ","39        ","32        ","3         ","1         ","89        ","98        ","89        ","97        ","0         ","1         ","3         ","2         ","3         ","1         ","0         ","1         ","65        ","59        ","10        ","8         ","55        ","51        ","178       ","177       ","161       ","159       ","17        ","18        "
"Jennings County","18","079","13694","13860","13332     ","13520     ","13279     ","13466     ","53        ","54        ","114       ","92        ","113       ","92        ","1         ","0         ","31        ","27        ","30        ","27        ","1         ","0         ","27        ","45        ","25        ","43        ","2         ","2         ","1         ","0         ","1         ","0         ","0         ","0         ","34        ","25        ","8         ","8         ","26        ","17        ","155       ","151       ","134       ","135       ","21        ","16        "
"Johnson County","18","081","56427","58782","54569     ","57227     ","54048     ","56791     ","521       ","436       ","565       ","349       ","559       ","341       ","6         ","8         ","113       ","94        ","108       ","87        ","5         ","7         ","443       ","519       ","433       ","512       ","10        ","7         ","16        ","16        ","16        ","15        ","0         ","1         ","350       ","198       ","32        ","23        ","318       ","175       ","371       ","379       ","323       ","330       ","48        ","49        "
"Knox County","18","083","19478","19778","18691     ","19139     ","18609     ","19058     ","82        ","81        ","429       ","299       ","427       ","299       ","2         ","0         ","42        ","40        ","40        ","37        ","2         ","3         ","90        ","113       ","89        ","113       ","1         ","0         ","12        ","7         ","11        ","6         ","1         ","1         ","77        ","45        ","4         ","2         ","73        ","43        ","137       ","135       ","120       ","119       ","17        ","16        "
"Kosciusko County","18","085","36982","37075","34749     ","35292     ","34091     ","34725     ","658       ","567       ","269       ","176       ","255       ","173       ","14        ","3         ","99        ","88        ","73        ","70        ","26        ","18        ","192       ","218       ","191       ","217       ","1         ","1         ","7         ","3         ","5         ","1         ","2         ","2         ","1252      ","924       ","13        ","15        ","1239      ","909       ","414       ","374       ","264       ","242       ","150       ","132       "
"LaGrange County","18","087","17681","17228","17050     ","16720     ","16848     ","16557     ","202       ","163       ","44        ","22        ","42        ","19        ","2         ","3         ","29        ","22        ","22        ","15        ","7         ","7         ","49        ","43        ","45        ","39        ","4         ","4         ","0         ","0         ","0         ","0         ","0         ","0         ","371       ","300       ","6         ","6         ","365       ","294       ","138       ","121       ","112       ","101       ","26        ","20        "
"Lake County","18","089","233367","251197","158117    ","165173    ","142924    ","150533    ","15193     ","14640     ","55906     ","66817     ","55230     ","66142     ","676       ","675       ","664       ","679       ","405       ","449       ","259       ","230       ","1884      ","2099      ","1815      ","2047      ","69        ","52        ","90        ","105       ","40        ","66        ","50        ","39        ","12324     ","11727     ","227       ","223       ","12097     ","11504     ","4382      ","4597      ","2596      ","2739      ","1786      ","1858      "
"LaPorte County","18","091","56539","53567","47725     ","47247     ","46848     ","46482     ","877       ","765       ","6561      ","4595      ","6503      ","4549      ","58        ","46        ","215       ","127       ","190       ","116       ","25        ","11        ","231       ","267       ","224       ","259       ","7         ","8         ","17        ","6         ","12        ","4         ","5         ","2         ","877       ","564       ","63        ","63        ","814       ","501       ","913       ","761       ","768       ","623       ","145       ","138       "
"Lawrence County","18","093","22381","23541","21915     ","23054     ","21789     ","22922     ","126       ","132       ","95        ","83        ","95        ","82        ","0         ","1         ","71        ","58        ","68        ","54        ","3         ","4         ","52        ","77        ","52        ","77        ","0         ","0         ","3         ","1         ","3         ","1         ","0         ","0         ","71        ","83        ","12        ","18        ","59        ","65        ","174       ","185       ","157       ","176       ","17        ","9         "
"Madison County","18","095","65684","67674","58549     ","61343     ","57981     ","60893     ","568       ","450       ","5530      ","4981      ","5480      ","4957      ","50        ","24        ","178       ","132       ","164       ","121       ","14        ","11        ","201       ","268       ","196       ","264       ","5         ","4         ","12        ","9         ","12        ","8         ","0         ","1         ","524       ","279       ","68        ","66        ","456       ","213       ","690       ","662       ","582       ","573       ","108       ","89        "
"Marion County","18","097","415998","444456","294723    ","311779    ","286684    ","305856    ","8039      ","5923      ","96988     ","110976    ","96346     ","110370    ","642       ","606       ","1078      ","1103      ","891       ","933       ","187       ","170       ","5888      ","6437      ","5828      ","6370      ","60        ","67        ","180       ","185       ","149       ","159       ","31        ","26        ","10064     ","6934      ","838       ","838       ","9226      ","6096      ","7077      ","7042      ","5833      ","6069      ","1244      ","973       "
"Marshall County","18","099","22415","22713","21323     ","21786     ","20553     ","21208     ","770       ","578       ","82        ","54        ","71        ","43        ","11        ","11        ","70        ","64        ","65        ","56        ","5         ","8         ","53        ","87        ","52        ","86        ","1         ","1         ","5         ","5         ","2         ","3         ","3         ","2         ","654       ","490       ","7         ","12        ","647       ","478       ","228       ","227       ","147       ","159       ","81        ","68        "
"Martin County","18","101","5248","5121","5186      ","5072      ","5167      ","5058      ","19        ","14        ","13        ","3         ","13        ","3         ","0         ","0         ","6         ","6         ","6         ","6         ","0         ","0         ","6         ","9         ","6         ","9         ","0         ","0         ","2         ","1         ","2         ","1         ","0         ","0         ","6         ","5         ","2         ","2         ","4         ","3         ","29        ","25        ","28        ","24        ","1         ","1         "
"Miami County","18","103","18312","17770","16910     ","16894     ","16787     ","16773     ","123       ","121       ","806       ","278       ","796       ","270       ","10        ","8         ","197       ","192       ","190       ","185       ","7         ","7         ","44        ","74        ","44        ","71        ","0         ","3         ","4         ","2         ","2         ","2         ","2         ","0         ","92        ","75        ","12        ","13        ","80        ","62        ","259       ","255       ","229       ","230       ","30        ","25        "
"Monroe County","18","105","59153","61410","53649     ","55861     ","53049     ","55265     ","600       ","596       ","1843      ","1772      ","1815      ","1752      ","28        ","20        ","168       ","149       ","159       ","137       ","9         ","12        ","1948      ","2119      ","1941      ","2107      ","7         ","12        ","33        ","23        ","28        ","18        ","5         ","5         ","529       ","502       ","126       ","156       ","403       ","346       ","983       ","984       ","889       ","886       ","94        ","98        "
"Montgomery County","18","107","18774","18855","18049     ","18365     ","17936     ","18287     ","113       ","78        ","183       ","105       ","180       ","101       ","3         ","4         ","32        ","41        ","32        ","41        ","0         ","0         ","87        ","72        ","86        ","72        ","1         ","0         ","7         ","6         ","5         ","4         ","2         ","2         ","276       ","137       ","13        ","17        ","263       ","120       ","140       ","129       ","125       ","119       ","15        ","10        "
"Morgan County","18","109","33158","33531","32701     ","33048     ","32537     ","32861     ","164       ","187       ","35        ","15        ","35        ","15        ","0         ","0         ","80        ","69        ","77        ","64        ","3         ","5         ","53        ","111       ","51        ","107       ","2         ","4         ","7         ","5         ","5         ","5         ","2         ","0         ","62        ","45        ","11        ","9         ","51        ","36        ","220       ","238       ","202       ","220       ","18        ","18        "
"Newton County","18","111","7239","7327","7032      ","7145      ","6919      ","7028      ","113       ","117       ","14        ","11        ","13        ","11        ","1         ","0         ","25        ","20        ","23        ","20        ","2         ","0         ","11        ","21        ","11        ","21        ","0         ","0         ","8         ","3         ","2         ","1         ","6         ","2         ","91        ","75        ","1         ","2         ","90        ","73        ","58        ","52        ","49        ","43        ","9         ","9         "
"Noble County","18","113","23310","22965","21638     ","21852     ","20962     ","21259     ","676       ","593       ","145       ","44        ","134       ","38        ","11        ","6         ","68        ","47        ","54        ","40        ","14        ","7         ","81        ","87        ","79        ","87        ","2         ","0         ","4         ","5         ","3         ","5         ","1         ","0         ","1137      ","733       ","5         ","3         ","1132      ","730       ","237       ","197       ","166       ","141       ","71        ","56        "
"Ohio County","18","115","2768","2855","2732      ","2818      ","2719      ","2812      ","13        ","6         ","15        ","12        ","15        ","12        ","0         ","0         ","4         ","3         ","4         ","2         ","0         ","1         ","4         ","4         ","4         ","4         ","0         ","0         ","1         ","0         ","1         ","0         ","0         ","0         ","1         ","2         ","0         ","0         ","1         ","2         ","11        ","16        ","10        ","15        ","1         ","1         "
"Orange County","18","117","9489","9817","9270      ","9630      ","9245      ","9588      ","25        ","42        ","81        ","41        ","77        ","36        ","4         ","5         ","31        ","29        ","31        ","28        ","0         ","1         ","15        ","18        ","13        ","18        ","2         ","0         ","1         ","1         ","1         ","1         ","0         ","0         ","23        ","25        ","14        ","18        ","9         ","7         ","68        ","73        ","61        ","67        ","7         ","6         "
"Owen County","18","119","10837","10949","10646     ","10751     ","10594     ","10697     ","52        ","54        ","35        ","20        ","35        ","17        ","0         ","3         ","39        ","42        ","35        ","38        ","4         ","4         ","14        ","22        ","12        ","21        ","2         ","1         ","2         ","2         ","1         ","2         ","1         ","0         ","19        ","15        ","10        ","5         ","9         ","10        ","82        ","97        ","72        ","83        ","10        ","14        "
"Parke County","18","121","8222","9019","8061      ","8564      ","8023      ","8537      ","38        ","27        ","62        ","308       ","62        ","306       ","0         ","2         ","18        ","25        ","17        ","24        ","1         ","1         ","10        ","21        ","10        ","21        ","0         ","0         ","0         ","4         ","0         ","4         ","0         ","0         ","12        ","27        ","5         ","9         ","7         ","18        ","59        ","70        ","54        ","65        ","5         ","5         "
"Perry County","18","123","9771","9128","9406      ","9041      ","9349      ","8996      ","57        ","45        ","266       ","8         ","264       ","8         ","2         ","0         ","26        ","7         ","26        ","6         ","0         ","1         ","7         ","15        ","7         ","15        ","0         ","0         ","1         ","2         ","1         ","2         ","0         ","0         ","13        ","12        ","2         ","3         ","11        ","9         ","52        ","43        ","47        ","40        ","5         ","3         "
"Pike County","18","125","6414","6423","6353      ","6369      ","6330      ","6336      ","23        ","33        ","9         ","4         ","8         ","3         ","1         ","1         ","9         ","7         ","9         ","7         ","0         ","0         ","2         ","16        ","2         ","16        ","0         ","0         ","2         ","3         ","2         ","3         ","0         ","0         ","10        ","3         ","0         ","0         ","10        ","3         ","29        ","21        ","28        ","19        ","1         ","2         "
