57,"pmtc005",5/7/2002 0:00:00,4551,9,0.61,740.00,825.00,,,12.84,,
58,"pmtc005",5/7/2002 0:00:00,2256,10,0.80,795.00,895.00,,,10.20,,"Q"
59,"pmtc005",5/7/2002 0:00:00,4519,11,0.83,825.00,855.00,,,8.22,,
60,"pmtc005",5/7/2002 0:00:00,4532,12,0.87,815.00,880.00,,,3.41,,
61,"pmtc013",9/17/2002 0:00:00,801,1,0.83,750.00,780.00,,,45.64,,
62,"pmtc013",9/17/2002 0:00:00,530,2,0.66,860.00,894.40,,,26.07,,
63,"pmtc013",9/17/2002 0:00:00,2218,3,0.80,770.00,800.80,,,33.84,,
64,"pmtc013",9/17/2002 0:00:00,2280,4,0.65,880.00,915.20,,,14.37,,
65,"pmtc013",9/17/2002 0:00:00,1178,5,0.78,765.00,795.60,,,45.68,,
66,"pmtc013",9/17/2002 0:00:00,256,6,0.72,795.00,826.80,,,69.87,,
67,"pmtc013",9/17/2002 0:00:00,627,7,0.67,780.00,811.20,,,39.17,,
68,"pmtc013",9/17/2002 0:00:00,2221,8,0.80,745.00,774.80,,,48.07,,
69,"pmtc013",9/17/2002 0:00:00,2270,9,0.74,765.00,795.60,,,69.87,,
70,"pmtc013",9/17/2002 0:00:00,2681,10,0.90,750.00,780.00,,,33.08,,
71,"pmtc013",9/17/2002 0:00:00,498,11,0.74,735.00,764.40,,,33.48,,
72,"pmtc013",9/17/2002 0:00:00,800,12,0.66,780.00,811.20,,,103.76,,
73,"pmtc014",9/19/2002 0:00:00,2656,1,0.78,755.00,785.20,,,36.94,,
74,"pmtc014",9/19/2002 0:00:00,604,2,0.63,770.00,800.80,,,50.92,,
75,"pmtc014",9/19/2002 0:00:00,1243,3,1.12,760.00,790.40,,,23.90,,
76,"pmtc014",9/19/2002 0:00:00,3786,4,1.07,750.00,780.00,,,33.06,,
77,"pmtc014",9/19/2002 0:00:00,2208,5,0.70,725.00,754.00,,,56.04,,
78,"pmtc014",9/19/2002 0:00:00,2241,6,0.82,735.00,764.40,,,37.95,,
79,"pmtc014",9/19/2002 0:00:00,2250,7,0.85,815.00,847.60,,,19.81,,
80,"pmtc014",9/19/2002 0:00:00,630,8,0.69,870.00,904.80,,,33.48,,
81,"pmtc014",9/19/2002 0:00:00,605,9,0.63,865.00,899.60,,,37.95,,
82,"pmtc014",9/19/2002 0:00:00,462,10,0.71,915.00,951.60,,,31.69,,
83,"pmtc014",9/19/2002 0:00:00,1002,11,0.71,690.00,717.60,,,36.10,,
84,"pmtc014",9/19/2002 0:00:00,2217,12,0.67,750.00,780.00,,,85.13,,
85,"pmtc015",9/25/2002 0:00:00,2292,1,0.93,790.00,821.60,,,20.69,,
86,"pmtc015",9/25/2002 0:00:00,1618,2,0.77,745.00,774.80,,,15.10,,
87,"pmtc015",9/25/2002 0:00:00,4588,3,0.69,800.00,832.00,,,13.50,,
88,"pmtc015",9/25/2002 0:00:00,4550,4,0.67,820.00,852.80,,,14.02,,
89,"pmtc015",9/25/2002 0:00:00,4598,5,0.84,760.00,790.40,,,30.21,,
90,"pmtc015",9/25/2002 0:00:00,4595,6,0.93,755.00,785.20,,,28.40,,
91,"pmtc015",9/25/2002 0:00:00,1504,7,0.74,730.00,759.20,,,17.60,,
92,"pmtc015",9/25/2002 0:00:00,1251,8,0.76,755.00,785.20,,,23.45,,
93,"pmtc015",9/25/2002 0:00:00,1270,9,0.72,795.00,826.80,,,28.40,,
94,"pmtc015",9/25/2002 0:00:00,1386,10,0.80,815.00,847.60,,,30.10,,
95,"pmtc015",9/25/2002 0:00:00,2786,11,0.77,735.00,764.40,,,19.63,,
96,"pmtc015",9/25/2002 0:00:00,3564,12,0.81,785.00,816.40,,,28.64,,
97,"pmtc016",9/26/2002 0:00:00,2787,1,0.71,900.00,936.00,,,26.21,,
98,"pmtc016",9/26/2002 0:00:00,3562,2,0.85,805.00,837.20,,,14.43,,
99,"pmtc016",9/26/2002 0:00:00,2853,3,0.70,725.00,754.00,,,18.65,,
100,"pmtc016",9/26/2002 0:00:00,1617,4,0.79,730.00,759.20,,,16.95,,
101,"pmtc016",9/26/2002 0:00:00,3561,5,0.69,755.00,785.20,,,25.41,,
102,"pmtc016",9/26/2002 0:00:00,3148,6,1.15,770.00,800.80,,,33.69,,
103,"pmtc016",9/26/2002 0:00:00,3556,7,1.07,775.00,806.00,,,19.01,,
104,"pmtc016",9/26/2002 0:00:00,3329,8,0.76,725.00,754.00,,,24.55,,
105,"pmtc016",9/26/2002 0:00:00,3073,9,0.99,730.00,759.20,,,33.69,,
106,"pmtc016",9/26/2002 0:00:00,3560,10,0.69,760.00,790.40,,,19.54,,
107,"pmtc016",9/26/2002 0:00:00,1503,11,0.82,805.00,837.20,,,11.27,,
108,"pmtc016",9/26/2002 0:00:00,3037,12,0.62,730.00,759.20,,,34.95,,
109,"pmtc017",9/30/2002 0:00:00,3893,1,0.86,815.00,847.60,,,22.76,,
110,"pmtc017",9/30/2002 0:00:00,3881,2,0.70,760.00,790.40,,,10.15,,
111,"pmtc017",9/30/2002 0:00:00,1254,3,0.72,790.00,821.60,,,16.83,,
112,"pmtc017",9/30/2002 0:00:00,3886,4,0.61,760.00,790.40,,,15.90,,
113,"pmtc017",9/30/2002 0:00:00,4496,5,0.66,835.00,868.40,,,23.72,,
114,"pmtc017",9/30/2002 0:00:00,1271,6,0.88,755.00,785.20,,,29.89,,
115,"pmtc017",9/30/2002 0:00:00,4499,7,0.82,740.00,769.60,,,27.33,,
116,"pmtc017",9/30/2002 0:00:00,4511,8,0.80,870.00,904.80,,,28.74,,
117,"pmtc017",9/30/2002 0:00:00,4356,9,0.84,870.00,904.80,,,29.89,,
118,"pmtc017",9/30/2002 0:00:00,4042,10,0.77,906.00,942.24,,,20.78,,
119,"pmtc017",9/30/2002 0:00:00,3894,11,0.86,755.00,785.20,,,12.90,,
120,"pmtc017",9/30/2002 0:00:00,3888,12,0.61,810.00,842.40,,,35.61,,
121,"pmtc018",10/22/2002 0:00:00,3880,1,0.86,790.00,821.60,,,38.12,,
122,"pmtc018",10/22/2002 0:00:00,3889,2,0.63,770.00,800.80,,,47.38,,
123,"pmtc018",10/22/2002 0:00:00,1273,3,0.62,800.00,832.00,,,41.87,,
124,"pmtc018",10/22/2002 0:00:00,3892,4,0.60,770.00,800.80,,,35.43,,
125,"pmtc018",10/22/2002 0:00:00,1582,5,0.93,745.00,774.80,,,43.86,,
126,"pmtc018",10/22/2002 0:00:00,4206,6,1.00,775.00,806.00,,,39.90,,
127,"pmtc018",10/22/2002 0:00:00,1392,7,0.89,690.00,717.60,,,22.72,,
128,"pmtc018",10/22/2002 0:00:00,1637,8,1.00,755.00,785.20,,,30.38,,
129,"pmtc018",10/22/2002 0:00:00,3878,9,1.11,845.00,878.80,,,39.90,,
130,"pmtc018",10/22/2002 0:00:00,1661,10,0.73,820.00,852.80,,,31.50,,
131,"pmtc018",10/22/2002 0:00:00,4526,11,0.60,835.00,868.40,,,20.19,,
132,"pmtc018",10/22/2002 0:00:00,1258,12,0.69,790.00,821.60,,,54.54,,
133,"pmtc019",10/23/2002 0:00:00,621,1,0.99,890.00,925.60,,,75.41,,
134,"pmtc019",10/23/2002 0:00:00,957,2,1.35,875.00,910.00,,,41.73,,
135,"pmtc019",10/23/2002 0:00:00,4382,3,0.59,865.00,899.60,,,44.82,,
136,"pmtc019",10/23/2002 0:00:00,3565,4,0.87,810.00,842.40,,,36.96,,
137,"pmtc019",10/23/2002 0:00:00,1202,5,0.69,815.00,847.60,,,34.39,,
138,"pmtc019",10/23/2002 0:00:00,529,6,0.83,840.00,873.60,,,42.03,,
139,"pmtc019",10/23/2002 0:00:00,869,7,0.89,840.00,873.60,,,35.91,,
140,"pmtc019",10/23/2002 0:00:00,797,8,0.64,855.00,889.20,,,45.64,,
141,"pmtc019",10/23/2002 0:00:00,633,9,0.93,865.00,899.60,,,42.03,,
142,"pmtc019",10/23/2002 0:00:00,925,10,0.65,770.00,800.80,,,37.22,,
143,"pmtc019",10/23/2002 0:00:00,632,11,0.70,795.00,826.80,,,22.45,,
144,"pmtc019",10/23/2002 0:00:00,607,12,0.54,825.00,858.00,,,52.02,,
145,"pmtc020",10/28/2002 0:00:00,4473,1,0.71,845.00,878.80,,,53.82,,
146,"pmtc020",10/28/2002 0:00:00,4502,2,0.69,850.00,884.00,,,40.90,,
147,"pmtc020",10/28/2002 0:00:00,4462,3,0.56,855.00,889.20,,,37.63,,
148,"pmtc020",10/28/2002 0:00:00,4600,4,0.73,720.00,748.80,,,35.93,,
149,"pmtc020",10/28/2002 0:00:00,4535,5,0.77,785.00,816.40,,,41.65,,
150,"pmtc020",10/28/2002 0:00:00,4760,6,0.85,825.00,858.00,,,45.43,,
151,"pmtc020",10/28/2002 0:00:00,4596,7,0.82,825.00,858.00,,,31.58,,
152,"pmtc020",10/28/2002 0:00:00,4345,8,0.56,900.00,936.00,,,30.39,,
153,"pmtc020",10/28/2002 0:00:00,4618,9,0.81,815.00,847.60,,,45.43,,
154,"pmtc020",10/28/2002 0:00:00,4575,10,0.82,885.00,920.40,,,28.04,,
155,"pmtc020",10/28/2002 0:00:00,4509,11,0.85,860.00,894.40,,,182.89,,
156,"pmtc020",10/28/2002 0:00:00,4524,12,0.68,795.00,826.80,,,45.43,,
157,"pmtc021",10/29/2002 0:00:00,4611,1,0.72,825.00,858.00,,,52.04,,
158,"pmtc021",10/29/2002 0:00:00,4359,2,0.86,730.00,759.20,,,49.27,,
159,"pmtc021",10/29/2002 0:00:00,3826,3,0.56,830.00,863.20,,,58.56,,"suspect nonlinearity"
160,"pmtc021",10/29/2002 0:00:00,4567,4,0.73,830.00,863.20,,,39.33,,
161,"pmtc021",10/29/2002 0:00:00,4472,5,0.68,840.00,873.60,,,65.62,,
162,"pmtc021",10/29/2002 0:00:00,4521,6,0.87,820.00,852.80,,,44.61,,
163,"pmtc021",10/29/2002 0:00:00,3824,7,0.72,865.00,899.60,,,39.73,,
164,"pmtc021",10/29/2002 0:00:00,4515,8,0.63,800.00,832.00,,,44.08,,
165,"pmtc021",10/29/2002 0:00:00,4503,9,0.79,820.00,852.80,,,44.61,,
166,"pmtc021",10/29/2002 0:00:00,3833,11,0.80,850.00,884.00,,,38.67,,
167,"pmtc021",10/29/2002 0:00:00,4277,12,0.63,890.00,925.60,,,61.25,,
168,"pmtc006",5/8/2002 0:00:00,4539,1,0.71,810.00,955.80,,,38.24,,
169,"pmtc006",5/8/2002 0:00:00,4553,2,0.59,840.00,991.20,,,12.51,,
170,"pmtc006",5/8/2002 0:00:00,9666,3,0.73,855.00,1008.90,,,9.79,,"S/N was duplicate with pmtc005_pmt#3. Changed from 4666 to 9666"
171,"pmtc006",5/8/2002 0:00:00,4520,4,0.83,860.00,1014.80,,,15.34,,
172,"pmtc006",5/8/2002 0:00:00,4534,5,0.66,755.00,890.90,,,61.78,,
173,"pmtc006",5/8/2002 0:00:00,4540,6,0.73,815.00,961.70,,,30.10,,
174,"pmtc006",5/8/2002 0:00:00,4559,7,0.90,795.00,938.10,,,30.82,,
175,"pmtc006",5/8/2002 0:00:00,3094,8,0.65,710.00,837.80,,,73.36,,
176,"pmtc006",5/8/2002 0:00:00,4525,9,0.63,825.00,973.50,,,30.10,,
177,"pmtc006",5/8/2002 0:00:00,4536,10,0.94,810.00,955.80,,,15.94,,
178,"pmtc006",5/8/2002 0:00:00,4568,11,0.71,780.00,920.40,,,30.85,,"Q"
179,"pmtc006",5/8/2002 0:00:00,3592,12,0.73,750.00,885.00,,,32.22,,
180,"pmtc007",5/11/2002 0:00:00,4537,1,0.73,845.00,997.10,,,8.13,,"Q"
181,"pmtc007",5/11/2002 0:00:00,4527,2,0.71,825.00,973.50,,,7.73,,
182,"pmtc007",5/11/2002 0:00:00,4545,3,0.70,780.00,920.40,,,17.59,,
183,"pmtc007",5/11/2002 0:00:00,4677,4,0.84,695.00,820.10,,,28.43,,
184,"pmtc007",5/11/2002 0:00:00,4674,5,0.81,760.00,896.80,,,32.04,,
185,"pmtc007",5/11/2002 0:00:00,4672,6,1.10,735.00,867.30,,,23.12,,
186,"pmtc007",5/11/2002 0:00:00,4671,7,1.02,690.00,814.20,,,21.51,,
