SUMLEV,STATE,COUNTY,STNAME,CTYNAME,SEX,ORIGIN,RACE,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007
050,25,001,Massachusetts,Barnstable County,0,0,1,214623,214623,215627,217176,219008,219905,218599,216528,214839,213361
050,25,001,Massachusetts,Barnstable County,0,0,2,5508,5508,5492,5649,5740,5880,5899,5968,6038,6183
050,25,001,Massachusetts,Barnstable County,0,0,3,2302,2302,2382,2385,2385,2388,2377,2366,2368,2372
050,25,001,Massachusetts,Barnstable County,0,0,4,1876,1876,1846,2037,2190,2272,2357,2477,2589,2652
050,25,001,Massachusetts,Barnstable County,0,0,5,188,188,130,149,144,138,141,141,147,152
050,25,001,Massachusetts,Barnstable County,0,1,1,211936,211936,212910,214343,216063,216759,215395,213228,211452,209893
050,25,001,Massachusetts,Barnstable County,0,1,2,5296,5296,5254,5404,5488,5619,5638,5689,5760,5904
050,25,001,Massachusetts,Barnstable County,0,1,3,2171,2171,2268,2269,2271,2272,2262,2250,2251,2255
050,25,001,Massachusetts,Barnstable County,0,1,4,1828,1828,1808,1999,2153,2235,2317,2440,2552,2615
050,25,001,Massachusetts,Barnstable County,0,1,5,175,175,121,139,133,126,129,129,135,140
050,25,001,Massachusetts,Barnstable County,0,2,1,2687,2687,2717,2833,2945,3146,3204,3300,3387,3468
050,25,001,Massachusetts,Barnstable County,0,2,2,212,212,238,245,252,261,261,279,278,279
050,25,001,Massachusetts,Barnstable County,0,2,3,131,131,114,116,114,116,115,116,117,117
050,25,001,Massachusetts,Barnstable County,0,2,4,48,48,38,38,37,37,40,37,37,37
050,25,001,Massachusetts,Barnstable County,0,2,5,13,13,9,10,11,12,12,12,12,12
050,25,001,Massachusetts,Barnstable County,1,0,1,101482,101482,101994,102793,103755,104127,103463,102331,101478,100753
050,25,001,Massachusetts,Barnstable County,1,0,2,2767,2767,2759,2824,2880,2940,2953,2988,3026,3110
050,25,001,Massachusetts,Barnstable County,1,0,3,1117,1117,1169,1165,1165,1164,1155,1158,1156,1162
050,25,001,Massachusetts,Barnstable County,1,0,4,871,871,858,956,1035,1070,1111,1169,1220,1244
050,25,001,Massachusetts,Barnstable County,1,0,5,95,95,60,68,67,63,65,63,64,69
050,25,001,Massachusetts,Barnstable County,1,1,1,100129,100129,100623,101358,102258,102516,101816,100625,99720,98950
050,25,001,Massachusetts,Barnstable County,1,1,2,2653,2653,2628,2692,2745,2800,2816,2843,2880,2963
050,25,001,Massachusetts,Barnstable County,1,1,3,1055,1055,1120,1114,1116,1114,1106,1108,1104,1108
050,25,001,Massachusetts,Barnstable County,1,1,4,849,849,839,937,1016,1051,1091,1150,1201,1225
050,25,001,Massachusetts,Barnstable County,1,1,5,88,88,56,64,63,59,61,59,60,65
050,25,001,Massachusetts,Barnstable County,1,2,1,1353,1353,1371,1435,1497,1611,1647,1706,1758,1803
050,25,001,Massachusetts,Barnstable County,1,2,2,114,114,131,132,135,140,137,145,146,147
050,25,001,Massachusetts,Barnstable County,1,2,3,62,62,49,51,49,50,49,50,52,54
050,25,001,Massachusetts,Barnstable County,1,2,4,22,22,19,19,19,19,20,19,19,19
050,25,001,Massachusetts,Barnstable County,1,2,5,7,7,4,4,4,4,4,4,4,4
050,25,001,Massachusetts,Barnstable County,2,0,1,113141,113141,113633,114383,115253,115778,115136,114197,113361,112608
050,25,001,Massachusetts,Barnstable County,2,0,2,2741,2741,2733,2825,2860,2940,2946,2980,3012,3073
050,25,001,Massachusetts,Barnstable County,2,0,3,1185,1185,1213,1220,1220,1224,1222,1208,1212,1210
050,25,001,Massachusetts,Barnstable County,2,0,4,1005,1005,988,1081,1155,1202,1246,1308,1369,1408
050,25,001,Massachusetts,Barnstable County,2,0,5,93,93,70,81,77,75,76,78,83,83
