table with row headers in column A and column headers in row 3,,,,,
"Table 8.  Illinois Incorporated Place Population Estimates and Population Change, Sorted Alphabetically: July 1, 2001 to July 1, 2002",,,,,
Place,State,"July 1, 2002 Population","July 1, 2001 Population",Numerical Population Change,Percent Population Change
Hollowayville village,Illinois,88,88,-,-
Homer Glen village,Illinois,"22,899","22,508",391,1.7
Homer village,Illinois,"1,194","1,194",-,-
Hometown city,Illinois,"4,433","4,454",-21,-0.5
Homewood village,Illinois,"19,540","19,560",-20,-0.1
Hoopeston city,Illinois,"5,873","5,914",-41,-0.7
Hooppole village,Illinois,158,159,-1,-0.6
Hopedale village,Illinois,920,923,-3,-0.3
Hopewell village,Illinois,418,406,12,3.0
Hopkins Park village,Illinois,810,710,100,14.1
Hoyleton village,Illinois,509,515,-6,-1.2
Hudson village,Illinois,"1,558","1,536",22,1.4
Huey village,Illinois,194,195,-1,-0.5
Hull village,Illinois,461,467,-6,-1.3
Humboldt village,Illinois,477,479,-2,-0.4
Hume village,Illinois,373,376,-3,-0.8
Huntley village,Illinois,"9,797","7,914","1,883",23.8
Hurst city,Illinois,793,800,-7,-0.9
Hutsonville village,Illinois,625,627,-2,-0.3
Illiopolis village,Illinois,910,909,1,0.1
Ina village,Illinois,"2,456","2,449",7,0.3
Indian Creek village,Illinois,205,193,12,6.2
Indian Head Park village,Illinois,"3,771","3,688",83,2.3
Indianola village,Illinois,208,207,1,0.5
Industry village,Illinois,528,531,-3,-0.6
Inverness village,Illinois,"6,918","6,833",85,1.2
Iola village,Illinois,167,168,-1,-0.6
Ipava village,Illinois,493,499,-6,-1.2
Iroquois village,Illinois,202,204,-2,-1.0
Irving village,Illinois,495,494,1,0.2
Irvington village,Illinois,730,737,-7,-0.9
Irwin village,Illinois,90,91,-1,-1.1
Island Lake village,Illinois,"8,399","8,307",92,1.1
Itasca village,Illinois,"8,408","8,396",12,0.1
Iuka village,Illinois,596,598,-2,-0.3
Ivesdale village,Illinois,287,288,-1,-0.3
Jacksonville city,Illinois,"19,619","19,734",-115,-0.6
Jeffersonville village,Illinois,370,369,1,0.3
Jeisyville village,Illinois,126,126,-,-
Jerome village,Illinois,"1,397","1,403",-6,-0.4
Jerseyville city,Illinois,"7,953","7,924",29,0.4
Jewett village,Illinois,230,232,-2,-0.9
Johnsburg village,Illinois,"5,763","5,558",205,3.7
Johnsonville village,Illinois,67,68,-1,-1.5
Johnston City city,Illinois,"3,501","3,531",-30,-0.8
Joliet city,Illinois,"118,423","112,066","6,357",5.7
Jonesboro city,Illinois,"1,838","1,837",1,0.1
Joppa village,Illinois,408,408,-,-
Joy village,Illinois,369,369,-,-
Junction City village,Illinois,562,563,-1,-0.2
Junction village,Illinois,134,137,-3,-2.2
Justice village,Illinois,"12,297","12,226",71,0.6
Kampsville village,Illinois,300,302,-2,-0.7
Kane village,Illinois,453,454,-1,-0.2
Kangley village,Illinois,281,283,-2,-0.7
Kankakee city,Illinois,"27,168","27,367",-199,-0.7
Kansas village,Illinois,822,830,-8,-1.0
Kappa village,Illinois,175,172,3,1.7
Karnak village,Illinois,609,613,-4,-0.7
Kaskaskia village,Illinois,9,9,-,-
Keenes village,Illinois,99,99,-,-
Keensburg village,Illinois,249,250,-1,-0.4
Keithsburg city,Illinois,712,712,-,-
Kell village,Illinois,230,231,-1,-0.4
Kempton village,Illinois,234,234,-,-
Kenilworth village,Illinois,"2,470","2,482",-12,-0.5
Kenney village,Illinois,367,371,-4,-1.1
Kewanee city,Illinois,"12,797","12,816",-19,-0.1
Keyesport village,Illinois,485,482,3,0.6
Kilbourne village,Illinois,372,374,-2,-0.5
Kildeer village,Illinois,"3,776","3,648",128,3.5
Kincaid village,Illinois,"1,449","1,447",2,0.1
Kinderhook village,Illinois,242,246,-4,-1.6
Kingston Mines village,Illinois,249,252,-3,-1.2
Kingston village,Illinois,978,980,-2,-0.2
Kinmundy city,Illinois,885,890,-5,-0.6
Kinsman village,Illinois,108,109,-1,-0.9
Kirkland village,Illinois,"1,184","1,171",13,1.1
Kirkwood village,Illinois,765,777,-12,-1.5
Knoxville city,Illinois,"3,110","3,145",-35,-1.1
La Fayette village,Illinois,222,224,-2,-0.9
La Grange Park village,Illinois,"13,208","13,253",-45,-0.3
La Grange village,Illinois,"15,584","15,535",49,0.3
La Harpe city,Illinois,"1,357","1,377",-20,-1.5
La Moille village,Illinois,763,764,-1,-0.1
La Prairie village,Illinois,59,60,-1,-1.7
La Rose village,Illinois,154,155,-1,-0.6
La Salle city,Illinois,"9,646","9,696",-50,-0.5
Lacon city,Illinois,"1,940","1,950",-10,-0.5
Ladd village,Illinois,"1,307","1,300",7,0.5
Lake Barrington village,Illinois,"4,998","4,852",146,3.0
Lake Bluff village,Illinois,"6,162","6,120",42,0.7
Lake Forest city,Illinois,"20,723","20,499",224,1.1
Lake Ka-ho village,Illinois,256,254,2,0.8
Lake Villa village,Illinois,"7,701","7,192",509,7.1
Lake Zurich village,Illinois,"18,742","18,277",465,2.5
Lake in the Hills village,Illinois,"26,125","25,301",824,3.3
Lakemoor village,Illinois,"3,334","3,199",135,4.2
Lakewood village,Illinois,"2,808","2,612",196,7.5
Lanark city,Illinois,"1,529","1,550",-21,-1.4
Lansing village,Illinois,"28,156","28,254",-98,-0.3
Latham village,Illinois,360,366,-6,-1.6
Lawrenceville city,Illinois,"4,610","4,662",-52,-1.1
Le Roy city,Illinois,"3,361","3,356",5,0.1
Leaf River village,Illinois,551,554,-3,-0.5
Lebanon city,Illinois,"3,520","3,488",32,0.9
Lee village,Illinois,315,312,3,1.0
Leland Grove city,Illinois,"1,567","1,576",-9,-0.6
Leland village,Illinois,954,958,-4,-0.4
Lemont village,Illinois,"14,057","13,637",420,3.1
Lena village,Illinois,"2,829","2,854",-25,-0.9
Lenzburg village,Illinois,573,574,-1,-0.2
Leonore village,Illinois,110,110,-,-
Lerna village,Illinois,319,320,-1,-0.3
Lewistown city,Illinois,"2,470","2,495",-25,-1.0
Lexington city,Illinois,"1,916","1,922",-6,-0.3
Liberty village,Illinois,517,517,-,-
Libertyville village,Illinois,"21,094","20,928",166,0.8
Lily Lake village,Illinois,872,850,22,2.6
Lima village,Illinois,159,159,-,-
Lincoln city,Illinois,"15,070","15,231",-161,-1.1
Lincolnshire village,Illinois,"6,360","6,188",172,2.8
Lincolnwood village,Illinois,"12,329","12,360",-31,-0.3
Lindenhurst village,Illinois,"14,037","13,560",477,3.5
Lisbon village,Illinois,254,254,-,-
Lisle village,Illinois,"21,779","21,534",245,1.1
Litchfield city,Illinois,"6,769","6,760",9,0.1
Little York village,Illinois,263,265,-2,-0.8
Littleton village,Illinois,191,192,-1,-0.5
Liverpool village,Illinois,118,119,-1,-0.8
Livingston village,Illinois,818,822,-4,-0.5
Loami village,Illinois,805,803,2,0.2
Lockport city,Illinois,"17,923","16,776","1,147",6.8
Loda village,Illinois,418,422,-4,-0.9
Lomax village,Illinois,470,475,-5,-1.1
Lombard village,Illinois,"43,251","42,627",624,1.5
London Mills village,Illinois,441,444,-3,-0.7
Long Creek village,Illinois,"1,344","1,353",-9,-0.7
Long Grove village,Illinois,"7,363","7,086",277,3.9
Long Point village,Illinois,245,245,-,-
Longview village,Illinois,152,152,-,-
Loraine village,Illinois,361,361,-,-
Lostant village,Illinois,481,485,-4,-0.8
Louisville village,Illinois,"1,214","1,221",-7,-0.6
Loves Park city,Illinois,"21,205","20,640",565,2.7
Lovington village,Illinois,"1,210","1,214",-4,-0.3
Ludlow village,Illinois,326,322,4,1.2
Lyndon village,Illinois,558,563,-5,-0.9
Lynnville village,Illinois,138,138,-,-
Lynwood village,Illinois,"7,560","7,518",42,0.6
Lyons village,Illinois,"10,434","10,212",222,2.2
Macedonia village,Illinois,50,51,-1,-2.0
Machesney Park village,Illinois,"21,049","20,933",116,0.6
Mackinaw village,Illinois,"1,457","1,445",12,0.8
Macomb city,Illinois,"18,588","18,574",14,0.1
Macon city,Illinois,"1,164","1,183",-19,-1.6
Madison city,Illinois,"4,493","4,521",-28,-0.6
Maeystown village,Illinois,150,148,2,1.4
Magnolia village,Illinois,277,277,-,-
Mahomet village,Illinois,"5,242","5,017",225,4.5
Makanda village,Illinois,421,418,3,0.7
Malden village,Illinois,341,341,-,-
Malta village,Illinois,966,968,-2,-0.2
Manchester village,Illinois,350,353,-3,-0.8
Manhattan village,Illinois,"3,668","3,530",138,3.9
Manito village,Illinois,"1,718","1,725",-7,-0.4
Manlius village,Illinois,349,350,-1,-0.3
Mansfield village,Illinois,936,948,-12,-1.3
Manteno village,Illinois,"6,766","6,656",110,1.7
Maple Park village,Illinois,919,846,73,8.6
Mapleton village,Illinois,218,220,-2,-0.9
Maquon village,Illinois,307,312,-5,-1.6
Marengo city,Illinois,"6,567","6,438",129,2.0
Marietta village,Illinois,149,150,-1,-0.7
Marine village,Illinois,928,917,11,1.2
Marion city,Illinois,"16,168","16,148",20,0.1
Marissa village,Illinois,"2,121","2,127",-6,-0.3
Mark village,Illinois,487,489,-2,-0.4
Markham city,Illinois,"12,626","12,645",-19,-0.2
Maroa city,Illinois,"1,588","1,614",-26,-1.6
Marquette Heights city,Illinois,"2,812","2,801",11,0.4
Marseilles city,Illinois,"4,793","4,778",15,0.3
Marshall city,Illinois,"3,751","3,761",-10,-0.3
Martinsville city,Illinois,"1,221","1,221",-,-
Martinton village,Illinois,383,379,4,1.1
Maryville village,Illinois,"4,843","4,726",117,2.5
Mascoutah city,Illinois,"5,670","5,622",48,0.9
Mason City city,Illinois,"2,540","2,549",-9,-0.4
Mason town,Illinois,394,395,-1,-0.3
Matherville village,Illinois,778,774,4,0.5
Matteson village,Illinois,"13,807","13,396",411,3.1
Mattoon city,Illinois,"17,844","18,039",-195,-1.1
Maunie village,Illinois,175,177,-2,-1.1
Maywood village,Illinois,"26,728","26,907",-179,-0.7
Mazon village,Illinois,907,911,-4,-0.4
McCook village,Illinois,251,253,-2,-0.8
McCullom Lake village,Illinois,"1,033","1,035",-2,-0.2
McHenry city,Illinois,"22,618","22,090",528,2.4
McLean village,Illinois,794,801,-7,-0.9
McLeansboro city,Illinois,"2,876","2,905",-29,-1.0
McNabb village,Illinois,304,305,-1,-0.3
Mechanicsburg village,Illinois,461,460,1,0.2
Media village,Illinois,127,129,-2,-1.6
Medora village,Illinois,495,497,-2,-0.4
Melrose Park village,Illinois,"23,029","23,138",-109,-0.5
Melvin village,Illinois,464,464,-,-
Mendon village,Illinois,879,880,-1,-0.1
Mendota city,Illinois,"7,203","7,248",-45,-0.6
Menominee village,Illinois,237,238,-1,-0.4
Meredosia village,Illinois,"1,025","1,029",-4,-0.4
Merrionette Park village,Illinois,"2,048","2,030",18,0.9
Metamora village,Illinois,"2,743","2,737",6,0.2
Metcalf village,Illinois,208,210,-2,-1.0
Metropolis city,Illinois,"6,362","6,410",-48,-0.7
Mettawa village,Illinois,429,398,31,7.8
Middletown village,Illinois,432,434,-2,-0.5
Midlothian village,Illinois,"14,347","14,382",-35,-0.2
Milan village,Illinois,"5,325","5,350",-25,-0.5
Milford village,Illinois,"1,341","1,354",-13,-1.0
Mill Creek village,Illinois,76,76,-,-
Mill Shoals village,Illinois,232,234,-2,-0.9
Milledgeville village,Illinois,985,998,-13,-1.3
Millington village,Illinois,462,460,2,0.4
Millstadt village,Illinois,"2,891","2,873",18,0.6
Milton village,Illinois,269,272,-3,-1.1
Mineral village,Illinois,268,269,-1,-0.4
Minier village,Illinois,"1,265","1,259",6,0.5
Minonk city,Illinois,"2,152","2,152",-,-
Minooka village,Illinois,"4,398","4,230",168,4.0
Modesto village,Illinois,250,251,-1,-0.4
Mokena village,Illinois,"16,174","15,415",759,4.9
Moline city,Illinois,"43,221","43,470",-249,-0.6
Momence city,Illinois,"3,104","3,134",-30,-1.0
Monee village,Illinois,"3,648","3,316",332,10.0
Monmouth city,Illinois,"9,525","9,638",-113,-1.2
Montgomery village,Illinois,"6,932","5,576","1,356",24.3
Monticello city,Illinois,"5,149","5,136",13,0.3
Montrose village,Illinois,257,257,-,-
Morris city,Illinois,"12,257","12,108",149,1.2
Morrison city,Illinois,"4,402","4,440",-38,-0.9
Morrisonville village,Illinois,"1,058","1,060",-2,-0.2
Morton Grove village,Illinois,"22,502","22,387",115,0.5
Morton village,Illinois,"15,281","15,253",28,0.2
Mound City city,Illinois,683,684,-1,-0.1
Mound Station village,Illinois,124,126,-2,-1.6
Mounds city,Illinois,"1,073","1,087",-14,-1.3
Mount Auburn village,Illinois,526,520,6,1.2
Mount Carmel city,Illinois,"7,748","7,857",-109,-1.4
Mount Carroll city,Illinois,"1,772","1,791",-19,-1.1
Mount Clare village,Illinois,428,430,-2,-0.5
Mount Erie village,Illinois,103,104,-1,-1.0
Mount Morris village,Illinois,"3,007","3,013",-6,-0.2
Mount Olive city,Illinois,"2,116","2,129",-13,-0.6
Mount Prospect village,Illinois,"56,098","56,176",-78,-0.1
Mount Pulaski city,Illinois,"1,657","1,680",-23,-1.4
Mount Sterling city,Illinois,"2,042","2,071",-29,-1.4
Mount Vernon city,Illinois,"16,492","16,409",83,0.5
Mount Zion village,Illinois,"4,831","4,852",-21,-0.4
Moweaqua village,Illinois,"1,879","1,896",-17,-0.9
Muddy village,Illinois,74,76,-2,-2.6
Mulberry Grove village,Illinois,676,668,8,1.2
Muncie village,Illinois,155,156,-1,-0.6
Mundelein village,Illinois,"31,972","31,540",432,1.4
Murphysboro city,Illinois,"8,814","8,826",-12,-0.1
Murrayville village,Illinois,642,642,-,-
Naperville city,Illinois,"135,389","132,430","2,959",2.2
Naplate village,Illinois,520,521,-1,-0.2
Naples town,Illinois,134,134,-,-
Nashville city,Illinois,"3,125","3,146",-21,-0.7
Nason city,Illinois,233,233,-,-
Nauvoo city,Illinois,"1,176","1,058",118,11.2
Nebo village,Illinois,399,404,-5,-1.2
Nelson village,Illinois,161,162,-1,-0.6
Neoga city,Illinois,"1,819","1,840",-21,-1.1
Neponset village,Illinois,511,513,-2,-0.4
New Athens village,Illinois,"2,000","1,983",17,0.9
New Baden village,Illinois,"3,030","3,021",9,0.3
New Bedford village,Illinois,94,94,-,-
New Berlin village,Illinois,"1,087","1,074",13,1.2
New Boston city,Illinois,639,636,3,0.5
New Burnside village,Illinois,247,245,2,0.8
New Canton town,Illinois,407,412,-5,-1.2
New Douglas village,Illinois,371,367,4,1.1
New Grand Chain village,Illinois,226,228,-2,-0.9
New Haven village,Illinois,459,468,-9,-1.9
New Holland village,Illinois,314,316,-2,-0.6
New Lenox village,Illinois,"20,228","19,079","1,149",6.0
New Millford village,Illinois,556,553,3,0.5
New Minden village,Illinois,205,205,-,-
New Salem village,Illinois,132,134,-2,-1.5
Newark village,Illinois,922,904,18,2.0
Newman city,Illinois,948,952,-4,-0.4
Newton city,Illinois,"3,036","3,045",-9,-0.3
Niantic village,Illinois,706,723,-17,-2.4
Niles village,Illinois,"30,076","30,012",64,0.2
Nilwood town,Illinois,282,283,-1,-0.4
Noble village,Illinois,735,736,-1,-0.1
Nokomis city,Illinois,"2,349","2,364",-15,-0.6
Nora village,Illinois,119,119,-,-
Normal town,Illinois,"47,078","46,053","1,025",2.2
Norridge village,Illinois,"14,490","14,552",-62,-0.4
Norris City village,Illinois,"1,042","1,055",-13,-1.2
Norris village,Illinois,191,193,-2,-1.0
North Aurora village,Illinois,"12,648","11,949",699,5.8
North Barrington village,Illinois,"3,140","3,076",64,2.1
North Chicago city,Illinois,"36,097","35,985",112,0.3
North City village,Illinois,638,631,7,1.1
North Henderson village,Illinois,187,187,-,-
North Pekin village,Illinois,"1,560","1,557",3,0.2
North Riverside village,Illinois,"6,635","6,668",-33,-0.5
North Utica village,Illinois,995,988,7,0.7
Northbrook village,Illinois,"33,956","33,672",284,0.8
Northfield village,Illinois,"5,449","5,432",17,0.3
Northlake city,Illinois,"11,802","11,851",-49,-0.4
Norwood village,Illinois,467,467,-,-
O'Fallon city,Illinois,"23,068","22,463",605,2.7
Oak Brook village,Illinois,"8,857","8,806",51,0.6
Oak Forest city,Illinois,"28,370","28,261",109,0.4
Oak Grove village,Illinois,219,220,-1,-0.5
Oak Lawn village,Illinois,"55,406","55,408",-2,-
Oak Park village,Illinois,"51,601","52,073",-472,-0.9
Oakbrook Terrace city,Illinois,"2,293","2,297",-4,-0.2
Oakdale village,Illinois,212,213,-1,-0.5
Oakford village,Illinois,306,307,-1,-0.3
Oakland city,Illinois,967,981,-14,-1.4
Oakwood Hills village,Illinois,"2,272","2,240",32,1.4
Oakwood village,Illinois,"1,502","1,503",-1,-0.1
Oblong village,Illinois,"1,564","1,570",-6,-0.4
Oconee village,Illinois,196,198,-2,-1.0
Odell village,Illinois,"1,005","1,008",-3,-0.3
Odin village,Illinois,"1,117","1,122",-5,-0.4
Ogden village,Illinois,750,745,5,0.7
Oglesby city,Illinois,"3,625","3,635",-10,-0.3
Ohio village,Illinois,531,532,-1,-0.2
Ohlman village,Illinois,67,67,-,-
Okawville village,Illinois,"1,355","1,358",-3,-0.2
Old Mill Creek village,Illinois,254,252,2,0.8
Old Ripley village,Illinois,128,127,1,0.8
Old Shawneetown village,Illinois,273,277,-4,-1.4
Olmsted village,Illinois,292,293,-1,-0.3
Olney city,Illinois,"8,555","8,544",11,0.1
Olympia Fields village,Illinois,"4,758","4,772",-14,-0.3
Omaha village,Illinois,252,257,-5,-1.9
Onarga village,Illinois,"1,416","1,415",1,0.1
Oneida city,Illinois,739,746,-7,-0.9
Oquawka village,Illinois,"1,515","1,531",-16,-1.0
Orangeville village,Illinois,753,753,-,-
Oreana village,Illinois,900,890,10,1.1
Oregon city,Illinois,"4,089","4,072",17,0.4
Orient city,Illinois,298,295,3,1.0
Orion village,Illinois,"1,698","1,711",-13,-0.8
Orland Hills village,Illinois,"7,034","6,915",119,1.7
Orland Park village,Illinois,"53,325","52,468",857,1.6
Oswego village,Illinois,"17,310","15,530","1,780",11.5
Ottawa city,Illinois,"18,453","18,365",88,0.5
Otterville town,Illinois,121,120,1,0.8
Owaneco village,Illinois,253,254,-1,-0.4
Palatine village,Illinois,"66,431","66,071",360,0.5
Palestine village,Illinois,"1,350","1,356",-6,-0.4
Palmer village,Illinois,245,246,-1,-0.4
Palmyra village,Illinois,727,729,-2,-0.3
Palos Heights city,Illinois,"11,996","11,591",405,3.5
Palos Hills city,Illinois,"17,704","17,706",-2,-
Palos Park village,Illinois,"4,814","4,820",-6,-0.1
Pana city,Illinois,"5,535","5,563",-28,-0.5
Panama village,Illinois,322,321,1,0.3
Panola village,Illinois,33,33,-,-
Papineau village,Illinois,197,196,1,0.5
Paris city,Illinois,"8,943","9,077",-134,-1.5
Park City city,Illinois,"6,818","6,747",71,1.1
Park Forest village,Illinois,"23,710","23,763",-53,-0.2
Park Ridge city,Illinois,"37,771","37,802",-31,-0.1
Parkersburg village,Illinois,233,232,1,0.4
Patoka village,Illinois,627,631,-4,-0.6
Paw Paw village,Illinois,844,846,-2,-0.2
Pawnee village,Illinois,"2,637","2,637",-,-
Paxton city,Illinois,"4,522","4,516",6,0.1
Payson village,Illinois,"1,063","1,064",-1,-0.1
Pearl City village,Illinois,776,777,-1,-0.1
Pearl village,Illinois,182,185,-3,-1.6
Pecatonica village,Illinois,"2,068","2,060",8,0.4
Pekin city,Illinois,"33,428","33,569",-141,-0.4
Peoria Heights village,Illinois,"6,428","6,471",-43,-0.7
Peoria city,Illinois,"112,670","112,493",177,0.2
Peotone village,Illinois,"3,550","3,465",85,2.5
Percy village,Illinois,928,936,-8,-0.9
Perry village,Illinois,426,431,-5,-1.2
Peru city,Illinois,"9,794","9,824",-30,-0.3
Pesotum village,Illinois,519,519,-,-
Petersburg city,Illinois,"2,269","2,286",-17,-0.7
Phillipstown village,Illinois,27,28,-1,-3.6
Philo village,Illinois,"1,416","1,367",49,3.6
Phoenix village,Illinois,"2,142","2,152",-10,-0.5
Pierron village,Illinois,663,654,9,1.4
Pinckneyville city,Illinois,"5,446","5,476",-30,-0.5
Pingree Grove village,Illinois,130,127,3,2.4
Piper City village,Illinois,766,773,-7,-0.9
Pittsburg village,Illinois,578,577,1,0.2
Pittsfield city,Illinois,"4,567","4,588",-21,-0.5
Plainfield village,Illinois,"17,193","15,256","1,937",12.7
Plainville village,Illinois,246,247,-1,-0.4
Plano city,Illinois,"5,702","5,672",30,0.5
Pleasant Hill village,Illinois,"1,024","1,035",-11,-1.1
Pleasant Plains village,Illinois,770,772,-2,-0.3
Plymouth village,Illinois,550,559,-9,-1.6
Pocahontas village,Illinois,725,719,6,0.8
Polo city,Illinois,"2,477","2,478",-1,-
Pontiac city,Illinois,"11,832","11,853",-21,-0.2
Pontoon Beach village,Illinois,"5,881","5,811",70,1.2
Pontoosuc village,Illinois,168,171,-3,-1.8
Poplar Grove village,Illinois,"2,027","1,918",109,5.7
Port Byron village,Illinois,"1,559","1,543",16,1.0
Posen village,Illinois,"4,821","4,771",50,1.0
Potomac village,Illinois,675,681,-6,-0.9
Prairie City village,Illinois,452,455,-3,-0.7
Prairie Grove village,Illinois,"1,260","1,115",145,13.0
Prairie du Rocher village,Illinois,601,607,-6,-1.0
Princeton city,Illinois,"7,528","7,529",-1,-
Princeville village,Illinois,"1,567","1,578",-11,-0.7
Prophetstown city,Illinois,"1,992","2,009",-17,-0.8
Prospect Heights city,Illinois,"16,975","17,043",-68,-0.4
Pulaski village,Illinois,264,268,-4,-1.5
Quincy city,Illinois,"39,916","40,042",-126,-0.3
Radom village,Illinois,395,396,-1,-0.3
Raleigh village,Illinois,322,325,-3,-0.9
Ramsey village,Illinois,"1,052","1,052",-,-
Rankin village,Illinois,610,615,-5,-0.8
Ransom village,Illinois,400,403,-3,-0.7
Rantoul village,Illinois,"13,005","13,008",-3,-
Rapids City village,Illinois,958,954,4,0.4
Raritan village,Illinois,137,139,-2,-1.4
Raymond village,Illinois,928,928,-,-
Red Bud city,Illinois,"3,467","3,451",16,0.5
Reddick village,Illinois,218,219,-1,-0.5
Redmon village,Illinois,194,196,-2,-1.0
Reynolds village,Illinois,498,502,-4,-0.8
Richmond village,Illinois,"1,096","1,102",-6,-0.5
Richton Park village,Illinois,"12,831","12,686",145,1.1
Richview village,Illinois,306,307,-1,-0.3
Ridge Farm village,Illinois,899,902,-3,-0.3
Ridgway village,Illinois,890,908,-18,-2.0
Ridott village,Illinois,154,156,-2,-1.3
Ringwood village,Illinois,483,479,4,0.8
Rio village,Illinois,237,239,-2,-0.8
Ripley village,Illinois,101,102,-1,-1.0
River Forest village,Illinois,"11,673","11,579",94,0.8
River Grove village,Illinois,"10,574","10,631",-57,-0.5
Riverdale village,Illinois,"14,923","15,007",-84,-0.6
Riverside village,Illinois,"8,755","8,831",-76,-0.9
Riverton village,Illinois,"3,176","3,124",52,1.7
Riverwoods village,Illinois,"4,029","3,904",125,3.2
Roanoke village,Illinois,"1,989","1,994",-5,-0.3
Robbins village,Illinois,"6,610","6,629",-19,-0.3
Roberts village,Illinois,387,387,-,-
Robinson city,Illinois,"6,641","6,717",-76,-1.1
Rochelle city,Illinois,"9,465","9,458",7,0.1
Rochester village,Illinois,"2,935","2,909",26,0.9
Rock City village,Illinois,315,314,1,0.3
Rock Falls city,Illinois,"9,468","9,552",-84,-0.9
Rock Island city,Illinois,"39,045","39,320",-275,-0.7
Rockbridge village,Illinois,187,187,-,-
Rockdale village,Illinois,"1,922","1,907",15,0.8
Rockford city,Illinois,"151,068","150,170",898,0.6
Rockton village,Illinois,"5,441","5,446",-5,-0.1
Rockwood village,Illinois,41,41,-,-
Rolling Meadows city,Illinois,"24,582","24,603",-21,-0.1
Romeoville village,Illinois,"28,765","25,352","3,413",13.5
Roodhouse city,Illinois,"2,182","2,187",-5,-0.2
Roscoe village,Illinois,"6,332","6,322",10,0.2
Rose Hill village,Illinois,79,79,-,-
Roselle village,Illinois,"23,383","23,282",101,0.4
Rosemont village,Illinois,"4,192","4,212",-20,-0.5
Roseville village,Illinois,"1,045","1,059",-14,-1.3
Rosiclare city,Illinois,"1,194","1,210",-16,-1.3
Rossville village,Illinois,"1,204","1,212",-8,-0.7
Round Lake Beach village,Illinois,"27,966","27,228",738,2.7
Round Lake Heights village,Illinois,"1,902","1,457",445,30.5
Round Lake Park village,Illinois,"6,178","6,125",53,0.9
Round Lake village,Illinois,"7,563","6,548","1,015",15.5
Roxana village,Illinois,"1,537","1,542",-5,-0.3
Royal Lakes village,Illinois,191,190,1,0.5
Royal village,Illinois,283,281,2,0.7
Royalton village,Illinois,"1,141","1,130",11,1.0
Ruma village,Illinois,263,262,1,0.4
Rushville city,Illinois,"3,146","3,153",-7,-0.2
Russellville village,Illinois,119,119,-,-
Rutland village,Illinois,355,354,1,0.3
Sadorus village,Illinois,419,421,-2,-0.5
Sailor Springs village,Illinois,126,126,-,-
Salem city,Illinois,"7,768","7,830",-62,-0.8
San Jose village,Illinois,685,691,-6,-0.9
Sandoval village,Illinois,"1,413","1,426",-13,-0.9
Sandwich city,Illinois,"6,687","6,625",62,0.9
Sauget village,Illinois,249,248,1,0.4
Sauk Village village,Illinois,"10,544","10,478",66,0.6
Saunemin village,Illinois,451,452,-1,-0.2
Savanna city,Illinois,"3,419","3,466",-47,-1.4
Savoy village,Illinois,"4,688","4,583",105,2.3
Sawyerville village,Illinois,292,293,-1,-0.3
Saybrook village,Illinois,756,761,-5,-0.7
Scales Mound village,Illinois,399,400,-1,-0.3
Schaumburg village,Illinois,"74,919","75,198",-279,-0.4
Schiller Park village,Illinois,"11,782","11,827",-45,-0.4
Schram City village,Illinois,640,645,-5,-0.8
Sciota village,Illinois,56,57,-1,-1.8
Scottville village,Illinois,138,139,-1,-0.7
Seaton village,Illinois,237,239,-2,-0.8
Seatonville village,Illinois,301,301,-,-
Secor village,Illinois,372,375,-3,-0.8
Seneca village,Illinois,"2,049","2,054",-5,-0.2
Sesser city,Illinois,"2,127","2,116",11,0.5
Shabbona village,Illinois,921,923,-2,-0.2
Shannon village,Illinois,824,833,-9,-1.1
Shawneetown city,Illinois,"1,356","1,382",-26,-1.9
Sheffield village,Illinois,941,939,2,0.2
Shelbyville city,Illinois,"4,855","4,886",-31,-0.6
Sheldon village,Illinois,"1,206","1,215",-9,-0.7
Sheridan village,Illinois,"2,435","2,413",22,0.9
Sherman village,Illinois,"3,147","2,999",148,4.9
Sherrard village,Illinois,684,688,-4,-0.6
Shiloh village,Illinois,"8,692","8,208",484,5.9
Shipman town,Illinois,654,654,-,-
Shorewood village,Illinois,"8,772","8,217",555,6.8
Shumway village,Illinois,215,216,-1,-0.5
Sibley village,Illinois,328,329,-1,-0.3
Sidell village,Illinois,613,619,-6,-1.0
Sidney village,Illinois,"1,084","1,075",9,0.8
Sigel town,Illinois,395,389,6,1.5
Silvis city,Illinois,"7,267","7,241",26,0.4
Simpson village,Illinois,55,54,1,1.9
Sims village,Illinois,271,271,-,-
Skokie village,Illinois,"63,126","63,248",-122,-0.2
Sleepy Hollow village,Illinois,"3,676","3,617",59,1.6
Smithboro village,Illinois,197,197,-,-
Smithfield village,Illinois,212,213,-1,-0.5
Smithton village,Illinois,"2,467","2,335",132,5.7
Somonauk village,Illinois,"1,364","1,328",36,2.7
Sorento village,Illinois,598,594,4,0.7
South Barrington village,Illinois,"3,897","3,847",50,1.3
South Beloit city,Illinois,"5,432","5,437",-5,-0.1
South Chicago Heights village,Illinois,"3,975","3,971",4,0.1
South Elgin village,Illinois,"19,651","18,114","1,537",8.5
South Holland village,Illinois,"22,197","22,200",-3,-
South Jacksonville village,Illinois,"3,419","3,440",-21,-0.6
South Pekin village,Illinois,"1,138","1,148",-10,-0.9
South Roxana village,Illinois,"1,877","1,884",-7,-0.4
South Wilmington village,Illinois,624,626,-2,-0.3
Southern View village,Illinois,"1,676","1,685",-9,-0.5
Sparland village,Illinois,499,498,1,0.2
