.000,"Supervisors, transportation and material moving workers, and other transportation workers except motor vehicle operators","296","+/-467","0","763"
"C24020",74.000,"Motor vehicle operators","315","+/-359","0","674"
"C24020",75.000,"Material moving workers","416","+/-411","5","827"
"C24030",.,"SEX BY INDUSTRY FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER",,,,
"C24030",.,"Universe:  Civilian employed population 16 years and over",,,,
"C24030",1.000,"Total:","50,227","+/-3,633","46,594","53,860"
