epair occupations:","46,851","+/-33,166","13,685","80,017"
"B24012",67.000,"Construction and extraction occupations","100,000+","***","***","***"
"B24012",68.000,"Installation, maintenance, and repair occupations","46,154","+/-13,215","32,939","59,369"
"B24012",69.000,"Production, transportation, and material moving occupations:","24,463","+/-4,561","19,902","29,024"
"B24012",70.000,"Production occupations","22,047","+/-6,205","15,842","28,252"
"B24012",71.000,"Transportation and material moving occupations
