352","1,386,711,048","1,641,465,752"
"B25121",.,"HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) BY VALUE",,,,
"B25121",.,"Universe:  Owner-occupied housing units",,,,
"B25121",1.000,"Total:","177,757","+/-3,663","174,094","181,420"
"B25121",1.700,"Household income the past 12 months (in 2007 inflation-adjusted dollars) --",,,,
"B25121",2.000,"Less than $10,000:","12,931","+/-1,622","11,309","14,553"
"B25121",3.000,"Value less than $10,000","1,060","+/-392","668","1,452"
"B25121"
