RV, van, etc.","20,608","+/-2,351","18,257","22,959"
"C25032I",.,"UNITS IN STRUCTURE (HISPANIC OR LATINO HOUSEHOLDER)",,,,
"C25032I",.,"Universe:  Occupied housing units with a householder who is Hispanic or Latino",,,,
"C25032I",1.000,"Total:","54,954","+/-3,145","51,809","58,099"
"C25032I",2.000,"1, detached or attached","32,649","+/-2,282","30,367","34,931"
"C25032I",3.000,"2 to 4 units","3,304","+/-1,044","2,260","4,348"
"C25032I",4.000,"5 or more units","16,241","+/-2,194","14,047","18,435"
"C25032I",5
