FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER",,,,
"B24041",.,"Universe:  Full-time, year-round civilian employed population 16 years and over with earnings",,,,
"B24041",1.000,"Total:","32,104","+/-729","31,375","32,833"
"B24041",2.000,"Agriculture, forestry, fishing and hunting, and mining:","53,192","+/-5,906","47,286","59,098"
"B24041",3.000,"Agriculture, forestry, fishing and hunting","12,454","+/-13,743","-1,289","26,197"
"B24041",4.000,"Mining","56,937","+/-5,302","51,6
