    "",            "",            "",            "",            "",            "",            "",            "",            "",
  "50",         -7514,        -23681,        -19393,        -20130,        -27080,        -14480,        -26742,         -7436,
  "51",         -2068,         -3584,         -6047,         -8602,         -7181,         -7642,         -7831,        -15947,
  "52",         -6914,        -15570,         -7462,         -7852,         -7726,         -3163,         -1924,         -557
