full-time, year-round in the past 12 months:","24,274","+/-2,488","21,786","26,762"
"B23010",17.000,"Spouse worked full-time, year-round in the past 12 months","12,077","+/-1,721","10,356","13,798"
"B23010",18.000,"Spouse worked less than full-time, year-round in the past 12 months","4,723","+/-1,134","3,589","5,857"
"B23010",19.000,"Spouse did not work in the past 12 months","7,474","+/-1,322","6,152","8,796"
"B23010",20.000,"Householder worked less than full-time, year-round in the past 12 months:","13,01
