ite alone",145,"Asia","14.9","+/-1.6","5.4","+/-2.2"
"002","White alone",146,"Africa","2.2","+/-1.1","0.4","+/-0.3"
"002","White alone",147,"Oceania","0.3","+/-0.2","0.4","+/-0.3"
"002","White alone",148,"Latin America","67.6","+/-2.5","63.7","+/-4.0"
"002","White alone",149,"Northern America","3.5","+/-0.8","7.0","+/-1.8"
"002","White alone",150,"Population 5 years and over","900,044","+/-5","639,568","+/-8,042"
"002","White alone",151,"English only","71.6","+/-0.8","83.4","+/-0.8"
"002","White alone",152,
