04I",.,"PLACE OF BIRTH BY RACE (HISPANIC OR LATINO) IN THE UNITED STATES",,,,
"B06004I",.,"Universe:  Hispanic or Latino population in the United States",,,,
"B06004I",1.000,"Total:","21,863","+/-4,454","17,409","26,317"
"B06004I",2.000,"Born in state of residence","11,508","+/-2,742","8,766","14,250"
"B06004I",3.000,"Born in other state in the United States","1,099","+/-617","482","1,716"
"B06004I",4.000,"Native; born outside the United States","384","+/-309","75","693"
"B06004I",5.000,"Foreign born","8,87
