11","+/-2,044","14.0","+/-1.8"
"DP05",11.0,"45 to 54 years","12,773","+/-1,910","12.7","+/-1.7"
"DP05",12.0,"55 to 59 years","3,321","+/-726","3.3","+/-0.7"
"DP05",13.0,"60 to 64 years","3,180","+/-834","3.2","+/-0.8"
"DP05",14.0,"65 to 74 years","5,238","+/-1,057","5.2","+/-1.1"
"DP05",15.0,"75 to 84 years","2,958","+/-730","2.9","+/-0.7"
"DP05",16.0,"85 years and over","682","+/-256","0.7","+/-0.3"
"DP05",16.3,,,,,
"DP05",17.0,"Median age (years)","29.9","+/-1.2","(X)","(X)"
"DP05",17.3,,,,,
"DP05",18.0,"
