07 , 32 , 2 , - , - , 2 , 154 , - , - , - , - , 17 , - 
...20-24 years," 1,609 ", 604 , 44 , 1 , 45 , 53 , 750 , 4 , - , 5 , 1 , 101 , - 
...25-29 years," 4,018 "," 2,308 ", 57 , 9 , 235 , 208 , 967 , 11 , 2 , 42 , 4 , 176 , - 
...30-34 years," 6,148 "," 4,208 ", 84 , 15 , 482 , 299 , 808 , 14 , 1 , 96 , 28 , 113 , - 
...35-39 years," 7,705 "," 5,670 ", 67 , 69 , 746 , 341 , 555 , 19 , 10 , 140 , 10 , 78 , - 
...40-44 years," 7,085 "," 5,479 ", 57 , 52 , 695 , 205 , 293 , 28 , 19 , 166 , 39 , 52 , - 
