,8.000,"1 vehicle available","3,740","+/-1,031","2,709","4,771"
"C08014",9.000,"2 vehicles available","9,605","+/-1,490","8,115","11,095"
"C08014",10.000,"3 or more vehicles available","10,228","+/-1,686","8,542","11,914"
"C08014",11.000,"Female:","24,121","+/-2,289","21,832","26,410"
"C08014",12.000,"No vehicle available","145","+/-136","9","281"
"C08014",13.000,"1 vehicle available","5,711","+/-1,293","4,418","7,004"
"C08014",14.000,"2 vehicles available","9,598","+/-1,655","7,943","11,253"
"C08014",15.00
