",25.000,"Value $70,000 to $79,999","2,561","+/-735","1,826","3,296"
"B25121",26.000,"Value $80,000 to $89,999","1,367","+/-544","823","1,911"
"B25121",27.000,"Value $90,000 to $99,999","1,286","+/-562","724","1,848"
"B25121",28.000,"Value $100,000 to $199,999","4,086","+/-910","3,176","4,996"
"B25121",29.000,"Value $200,000 to $249,999","832","+/-469","363","1,301"
"B25121",30.000,"Value $250,000 to $499,999","1,041","+/-559","482","1,600"
"B25121",31.000,"Value $500,000 or more","0","+/-265","0","265"
"B2
