ESENCE OF PEOPLE 65 YEARS AND OVER, HOUSEHOLD SIZE AND HOUSEHOLD TYPE",,,,
"B11007",.,"Universe:  Households",,,,
"B11007",1.000,"Total:","236,700","+/-3,436","233,264","240,136"
"B11007",2.000,"Households with one or more people 65 years and over:","68,806","+/-1,654","67,152","70,460"
"B11007",3.000,"1-person household","30,138","+/-1,879","28,259","32,017"
"B11007",4.000,"2-or-more-person household:","38,668","+/-1,808","36,860","40,476"
"B11007",5.000,"Family households","37,971","+/-1,839","36,132","39
