,"$25,000 to $29,999","18,254","+/-1,922","16,332","20,176"
"B20005A",87.000,"$30,000 to $34,999","16,345","+/-1,883","14,462","18,228"
"B20005A",88.000,"$35,000 to $39,999","16,220","+/-1,830","14,390","18,050"
"B20005A",89.000,"$40,000 to $44,999","15,208","+/-1,875","13,333","17,083"
"B20005A",90.000,"$45,000 to $49,999","9,671","+/-1,227","8,444","10,898"
"B20005A",91.000,"$50,000 to $54,999","11,107","+/-1,576","9,531","12,683"
"B20005A",92.000,"$55,000 to $64,999","12,186","+/-1,548","10,638","13,734"
