","3,374","+/-771","2,603","4,145"
"B25003B",3.000,"Renter occupied","4,717","+/-1,305","3,412","6,022"
"B25003C",.,"TENURE (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER)",,,,
"B25003C",.,"Universe:  Occupied housing units with a householder who is American Indian and Alaska Native alone",,,,
"B25003C",1.000,"Total:","N","N","N","N"
"B25003C",2.000,"Owner occupied","N","N","N","N"
"B25003C",3.000,"Renter occupied","N","N","N","N"
"B25003D",.,"TENURE (ASIAN ALONE HOUSEHOLDER)",,,,
"B25003D",.,"Univers
