sins/sc/indian/1997/q2/,inq21997.tgz,990956.nc,19970428,-10.1683,40.6717,0.700000,836.100,7.27000,28.4100,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,990957.nc,19970428,-11.5500,40.8333,0.700000,836.100,9.26000,29.6600,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,990958.nc,19970428,-12.9533,40.8283,0.700000,836.100,14.9800,28.6200,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,990959.nc,19970429,-14.3333,40.8250,0.700000,836.100,7.34000,28.4400,,
woce-uot,./data/basins/sc/
