,30.0,"Grade enrolled","6.1","(X)","(X)","(X)","(X)","(X)",,,,,,
"S1501",0.0,,,,,,,,,,,,,
"S1501",0.5,,"Total","Margin of Error","Male","Margin of Error","Female","Margin of Error",,,,,,
"S1501",1.0,"Population 18 to 24 years","801,705","+/-1,412","394,385","+/-1,073","407,320","+/-769",,,,,,
"S1501",2.0,"Less than high school graduate","20.1","+/-0.8","23.6","+/-1.2","16.7","+/-1.1",,,,,,
"S1501",3.0,"High school graduate (includes equivalency)","28.1","+/-0.9","30.2","+/-1.3","26.1","+/-1.3",,,,,,
"S1501"
