an/1997/q2/,inq21997.tgz,974047.nc,19970404,-29.4000,32.6000,0.700000,836.100,7.54000,25.7500,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,974048.nc,19970404,-28.9000,34.2833,0.700000,836.100,6.17000,25.4800,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,974049.nc,19970404,-28.5000,36.0333,0.700000,836.100,8.87000,25.7800,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,974050.nc,19970405,-27.9917,37.8967,0.700000,836.100,9.16000,25.4700,,
woce-uot,./data/basins/sc/indian/1997/
