83.000,"Not in labor force","2,499","+/-653","1,846","3,152"
"C23001",84.000,"65 to 74 years:","3,757","+/-670","3,087","4,427"
"C23001",85.000,"In labor force:","710","+/-410","300","1,120"
"C23001",86.000,"Employed","710","+/-410","300","1,120"
"C23001",87.000,"Unemployed","0","+/-292","0","292"
"C23001",88.000,"Not in labor force","3,047","+/-720","2,327","3,767"
"C23001",89.000,"75 years and over:","3,788","+/-783","3,005","4,571"
"C23001",90.000,"In labor force:","119","+/-149","0","268"
"C23001",91.00
