0",.,"TENURE BY ROOMS",,,,
"C25020",.,"Universe:  Occupied housing units",,,,
"C25020",1.000,"Total:","37,478","+/-1,855","35,623","39,333"
"C25020",2.000,"Owner occupied:","24,427","+/-1,845","22,582","26,272"
"C25020",3.000,"1 to 3 rooms","1,453","+/-554","899","2,007"
"C25020",4.000,"4 rooms","3,626","+/-1,167","2,459","4,793"
"C25020",5.000,"5 rooms","6,098","+/-996","5,102","7,094"
"C25020",6.000,"6 rooms","5,718","+/-947","4,771","6,665"
"C25020",7.000,"7 or more rooms","7,532","+/-1,048","6,484","8,5
