
2007 ,933179 ,FOREST PRODUCTS FIREWOOD ,47 ,Merced ,  ,  ,22194 ,158.38 ,CORD ,3515000
2007 ,933179 ,FOREST PRODUCTS FIREWOOD ,49 ,Modoc ,  ,  ,5500 ,100.36 ,CORD ,552000
2007 ,933179 ,FOREST PRODUCTS FIREWOOD ,73 ,San Diego ,  ,  ,  ,  ,  ,579300
2007 ,933179 ,FOREST PRODUCTS FIREWOOD ,109 ,Tuolumne ,  ,  ,  ,  ,  ,1337000
2007 ,933179 ,FOREST PRODUCTS FIREWOOD ,991 ,Sum of Others ,  ,  ,7480 ,125.00 ,CORD ,935000
2007 ,933179 ,FOREST PRODUCTS FIREWOOD , 999, State Totals,0 ,  ,55570 ,146.82 ,    ,1
