G",.,"HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) (TWO OR MORE RACES HOUSEHOLDER)",,,,
"B19001G",.,"Universe:  Households with a householder who is Two or more races",,,,
"B19001G",1.000,"Total:","6,191","+/-1,223","4,968","7,414"
"B19001G",2.000,"Less than $10,000","166","+/-280","0","446"
"B19001G",3.000,"$10,000 to $14,999","259","+/-263","0","522"
"B19001G",4.000,"$15,000 to $19,999","279","+/-270","9","549"
"B19001G",5.000,"$20,000 to $24,999","42","+/-71","0","113"
"B19
