4,335"
"B99253",2.000,"Imputed","2,159","+/-1,089","1,070","3,248"
"B99253",3.000,"Not imputed","47,680","+/-4,288","43,392","51,968"
"B99254",.,"IMPUTATION OF ROOMS",,,,
"B99254",.,"Universe:  Housing units",,,,
"B99254",1.000,"Total:","352,203","+/-5,989","346,214","358,192"
"B99254",2.000,"Imputed","30,168","+/-2,776","27,392","32,944"
"B99254",3.000,"Not imputed","322,035","+/-6,421","315,614","328,456"
"B99255",.,"IMPUTATION OF UNITS IN STRUCTURE",,,,
"B99255",.,"Universe:  Housing units",,,,
"B99255",
