merica:",193,"Sales and office occupations","35.2","+/-1.5","21.9","+/-5.3"
"716","Central America:",194,"Farming, fishing, and forestry occupations","0.2","+/-0.2","0.0","+/-1.2"
"716","Central America:",195,"Construction, extraction, maintenance, and repair occupations","0.6","+/-0.3","1.8","+/-1.9"
"716","Central America:",196,"Production, transportation, and material moving occupations","4.1","+/-0.9","11.2","+/-4.4"
"716","Central America:",197,"Agriculture, forestry, fishing and hunting, and mining","
