",68.000,"$50,000 to $54,999","6,579","+/-1,374","5,205","7,953"
"B20005",69.000,"$55,000 to $64,999","7,452","+/-1,325","6,127","8,777"
"B20005",70.000,"$65,000 to $74,999","4,019","+/-878","3,141","4,897"
"B20005",71.000,"$75,000 to $99,999","5,208","+/-1,208","4,000","6,416"
"B20005",72.000,"$100,000 or more","5,660","+/-1,147","4,513","6,807"
"B20005",73.000,"Other:","205,928","+/-6,031","199,897","211,959"
"B20005",74.000,"No earnings","112,431","+/-4,387","108,044","116,818"
"B20005",75.000,"With earn
