 or Latino",23,"Male","49.4","+/-1.2","51.0","+/-1.0"
"451","White alone, not Hispanic or Latino",24,"Female","50.6","+/-1.2","49.0","+/-1.0"
"451","White alone, not Hispanic or Latino",25,"18 years and over","602,644","+/-5,523","447,817","+/-3,209"
"451","White alone, not Hispanic or Latino",26,"Male","51.0","+/-0.3","50.7","+/-0.2"
"451","White alone, not Hispanic or Latino",27,"Female","49.0","+/-0.3","49.3","+/-0.2"
"451","White alone, not Hispanic or Latino",28,"18 to 34 years","178,662","+/-4,959","1
