35,000 to $49,999","4,369","+/-1,037","9.1","+/-2.1"
"DP03",58.0,"$50,000 to $74,999","8,571","+/-1,604","17.9","+/-3.1"
"DP03",59.0,"$75,000 to $99,999","7,663","+/-1,472","16.0","+/-3.0"
"DP03",60.0,"$100,000 to $149,999","10,495","+/-1,366","21.9","+/-2.7"
"DP03",61.0,"$150,000 to $199,999","2,993","+/-988","6.2","+/-2.0"
"DP03",62.0,"$200,000 or more","4,832","+/-981","10.1","+/-2.1"
"DP03",63.0,"Median household income (dollars)","80,842","+/-5,217","(X)","(X)"
"DP03",64.0,"Mean household income (dolla
