32-045)",22,"Under 18 years","229,964","+/-192","34,472","+/-4,041"
"535","German (032-045)",23,"Male","51.1","+/-0.3","51.9","+/-5.1"
"535","German (032-045)",24,"Female","48.9","+/-0.3","48.1","+/-5.1"
"535","German (032-045)",25,"18 years and over","737,125","+/-192","132,580","+/-5,747"
"535","German (032-045)",26,"Male","48.3","+/-0.1","48.1","+/-1.6"
"535","German (032-045)",27,"Female","51.7","+/-0.1","51.9","+/-1.6"
"535","German (032-045)",28,"18 to 34 years","229,638","+/-811","32,959","+/-3,049"
