  92","     15.0 to 19.9 percent","        13,769","  10.4%","        20,301","  16.7%","   6.3%","+/-3.1%","yes"
"        4","      93","     20.0 to 24.9 percent","        10,833","   8.2%","        11,425","   9.4%","   1.2%","+/-3.1%","no"
"        4","      94","     25.0 to 29.9 percent","         6,808","   5.1%","         6,271","   5.1%","   0.0%","+/-2.1%","no"
"        4","      95","     30.0 to 34.9 percent","         6,517","   4.9%","         6,317","   5.2%","   0.3%","+/-2.6%","no"
"   
