.000,"Accommodation and food services","187","+/-297","0","484"
"B24050",134.000,"Other services, except public administration","0","+/-283","0","283"
"B24050",135.000,"Public administration","310","+/-333","0","643"
"B24050",136.000,"Construction, extraction, maintenance, and repair occupations:","222,752","+/-7,866","214,886","230,618"
"B24050",137.000,"Agriculture, forestry, fishing and hunting, and mining:","2,792","+/-1,261","1,531","4,053"
"B24050",138.000,"Agriculture, forestry, fishing and hunting",
