ousing, and utilities","164","+/-166","0","330"
"C24050",36.000,"Information","0","+/-292","0","292"
"C24050",37.000,"Finance and insurance, and real estate and rental and leasing","149","+/-143","6","292"
"C24050",38.000,"Professional, scientific, and management, and administrative and waste management services","963","+/-465","498","1,428"
"C24050",39.000,"Educational services, and health care and social assistance","4,061","+/-1,140","2,921","5,201"
"C24050",40.000,"Arts, entertainment, and recreation, a
