$40,000 to $44,999","12,491","+/-1,976","10,515","14,467"
"B19001A",10.000,"$45,000 to $49,999","11,037","+/-1,596","9,441","12,633"
"B19001A",11.000,"$50,000 to $59,999","22,848","+/-2,749","20,099","25,597"
"B19001A",12.000,"$60,000 to $74,999","28,381","+/-2,464","25,917","30,845"
"B19001A",13.000,"$75,000 to $99,999","27,788","+/-2,762","25,026","30,550"
"B19001A",14.000,"$100,000 to $124,999","18,392","+/-2,151","16,241","20,543"
"B19001A",15.000,"$125,000 to $149,999","11,035","+/-1,754","9,281","12,7
