ith one or more other races",256,"Related children 5 to 17 years","14.1","+/-2.6","13.0","+/-2.8"
"003","White alone or in combination with one or more other races",257,"18 years and over","10.2","+/-1.1","9.4","+/-1.1"
"003","White alone or in combination with one or more other races",258,"18 to 64 years","10.9","+/-1.2","10.1","+/-1.3"
"003","White alone or in combination with one or more other races",259,"65 years and over","6.9","+/-1.5","6.5","+/-1.5"
"003","White alone or in combination with one or mo
