lone or in combination with one or more other races",78,"Nursery school, preschool","4.7","+/-0.8","4.4","+/-1.6"
"071","Some other race alone or in combination with one or more other races",79,"Kindergarten","4.9","+/-0.7","5.8","+/-1.6"
"071","Some other race alone or in combination with one or more other races",80,"Elementary school (grades 1-8)","38.2","+/-1.1","47.2","+/-3.5"
"071","Some other race alone or in combination with one or more other races",81,"High school (grades 9-12)","20.3","+/-1.0","23.
