18.000,"No disability","1,387,473","+/-8,196","1,379,277","1,395,669"
"C18002",19.000,"65 years and over:","256,838","+/-3,004","253,834","259,842"
"C18002",20.000,"With a disability","99,232","+/-3,298","95,934","102,530"
"C18002",21.000,"No disability","157,606","+/-4,082","153,524","161,688"
"C18003",.,"SEX BY AGE BY SENSORY DISABILITY FOR THE CIVILIAN NONINSTITUTIONALIZED POPULATION 5 YEARS AND OVER",,,,
"C18003",.,"Universe:  Civilian noninstitutionalized population 5 years and over",,,,
"C18003",1.000
