nt, and administrative and waste management services","50,375","+/-3,871","46,504","54,246"
"B08126",11.000,"Educational services, and health care and social assistance","58,789","+/-3,488","55,301","62,277"
"B08126",12.000,"Arts, entertainment, and recreation, and accommodation and food services","58,371","+/-4,379","53,992","62,750"
"B08126",13.000,"Other services (except public administration)","16,938","+/-2,926","14,012","19,864"
"B08126",14.000,"Public administration","13,524","+/-2,023","11,501","15,
