tino",122,"Same county","9.4","+/-1.3","8.9","+/-1.2"
"452","White alone or in combination with one or more other races, not Hispanic or Latino",123,"Different county","6.5","+/-0.8","6.4","+/-0.8"
"452","White alone or in combination with one or more other races, not Hispanic or Latino",124,"Same state","3.2","+/-0.6","3.1","+/-0.6"
"452","White alone or in combination with one or more other races, not Hispanic or Latino",125,"Different state","3.3","+/-0.5","3.3","+/-0.6"
"452","White alone or in combinat
