39,999","2,753","+/-772","1,981","3,525"
"B19001H",9.000,"$40,000 to $44,999","4,066","+/-1,114","2,952","5,180"
"B19001H",10.000,"$45,000 to $49,999","3,157","+/-849","2,308","4,006"
"B19001H",11.000,"$50,000 to $59,999","8,487","+/-1,032","7,455","9,519"
"B19001H",12.000,"$60,000 to $74,999","13,972","+/-1,869","12,103","15,841"
"B19001H",13.000,"$75,000 to $99,999","16,658","+/-1,900","14,758","18,558"
"B19001H",14.000,"$100,000 to $124,999","15,816","+/-1,896","13,920","17,712"
"B19001H",15.000,"$125,00
