17.000,"Less than high school graduate","1,713","+/-714","999","2,427"
"B13014",18.000,"High school graduate (includes equivalency)","2,744","+/-840","1,904","3,584"
"B13014",19.000,"Some college or associate's degree","3,485","+/-847","2,638","4,332"
"B13014",20.000,"Bachelor's degree","1,980","+/-588","1,392","2,568"
"B13014",21.000,"Graduate or professional degree","473","+/-261","212","734"
"B13014",22.000,"Unmarried (never married, widowed and divorced):","18,423","+/-2,557","15,866","20,980"
"B13014",
