ransportation and warehousing, and utilities","1,529","+/-708","821","2,237"
"C24050",78.000,"Information","275","+/-198","77","473"
"C24050",79.000,"Finance and insurance, and real estate and rental and leasing","349","+/-243","106","592"
"C24050",80.000,"Professional, scientific, and management, and administrative and waste management services","1,363","+/-498","865","1,861"
"C24050",81.000,"Educational services, and health care and social assistance","294","+/-250","44","544"
"C24050",82.000,"Arts, enter
