 entertainment, and recreation","12,001","+/-2,394","9,607","14,395"
"C24030",53.000,"Accommodation and food services","18,677","+/-2,511","16,166","21,188"
"C24030",54.000,"Other services, except public administration","9,744","+/-1,730","8,014","11,474"
"C24030",55.000,"Public administration","6,423","+/-1,312","5,111","7,735"
"C24040",.,"SEX BY INDUSTRY FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER",,,,
"C24040",.,"Universe:  Full-time, year-round civilian employed populati
