,9.000,"Female:","10,160","+/-1,688","8,472","11,848"
"C24010A",10.000,"Management, professional, and related occupations","3,594","+/-722","2,872","4,316"
"C24010A",11.000,"Service occupations","2,240","+/-684","1,556","2,924"
"C24010A",12.000,"Sales and office occupations","3,885","+/-1,171","2,714","5,056"
"C24010A",13.000,"Farming, fishing, and forestry occupations","0","+/-292","0","292"
"C24010A",14.000,"Construction, extraction, maintenance, and repair occupations","88","+/-101","0","189"
"C24010A",1
